,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
0,50100640000WB,0.7,0.8,,1,1,6,,2,29
1,50100640000WB,1.8,1.9,,1,1,6,,2,33
2,50100640000WB,2.4,2.5,,1,1,6,,2,35
3,50100640000WB,3.1,3.2,,1,1,6,,2,43
4,50100640000WB,3.4,3.5,,1,1,6,,2,42
5,50100640000WB,1.3,1.4,,1,1,6,,2,75
6,50100640000WB,2.1,2.193,,1,1,6,,2,120
7,50100640000WB,2.72,2.8,,1,1,6,,2,94
8,50100640000WB,0.0,0.0951,,1,1,6,,2,116
9,50100640000WB,1.9,1.963,,1,1,6,,2,66
10,50100640000WB,1.4,1.46,,1,1,6,,2,59
11,50100640000WB,0.126,0.2,,1,1,6,,2,88
12,50100640000WB,0.2,0.3,,1,1,6,,2,30
13,50100640000WB,0.3,0.4,,1,1,6,,2,39
14,50100640000WB,0.4,0.5,,1,1,6,,2,41
15,50100640000WB,0.5,0.6,,1,1,6,,2,37
16,50100640000WB,0.6,0.7,,1,1,6,,2,36
17,50100640000WB,0.8,0.9,,1,1,6,,2,34
18,50100640000WB,1.0,1.1,,1,1,6,,2,39
19,50100640000WB,1.1,1.2,,1,1,6,,2,37
20,50100640000WB,1.5,1.6,,1,1,6,,2,41
21,50100640000WB,1.6,1.7,,1,1,6,,2,39
22,50100640000WB,2.2125,2.3,,1,1,6,,2,89
23,50100640000WB,2.3,2.4,,1,1,6,,2,39
24,50100640000WB,2.5,2.6,,1,1,6,,2,38
25,50100640000WB,2.8,2.9,,1,1,6,,2,43
26,50100640000WB,2.9,3.0,,1,1,6,,2,55
27,50100640000WB,3.0,3.1,,1,1,6,,2,44
28,50100640000WB,3.2,3.3,,1,1,6,,2,30
29,50100640000WB,3.3,3.4,,1,1,6,,2,33
30,50100640000WB,3.5,3.6,,1,1,6,,2,42
31,50100640000WB,3.6,3.7,,1,1,6,,2,38
32,50100640000WB,2.6,2.644,,1,1,6,,2,84
33,50100640000WB,1.46,1.5,,1,1,6,,2,59
34,50100640000WB,2.0539,2.1,,1,1,6,,2,123
35,50100640000WB,0.9,0.9493,,1,1,6,,2,33
36,50100640000WB,0.9493,1.0,,1,1,6,,2,33
37,50100640000WB,1.963,2.0,,1,1,6,,2,66
38,50100640000WB,2.0,2.0352,,1,1,6,,2,123
39,50100640000WB,1.2,1.255,,1,1,6,,2,92
40,50100640000WB,1.7,1.732,,1,1,6,,2,175
41,50100640000WB,1.756,1.8,,1,1,6,,2,175
42,50100640000WB,2.0352,2.0539,,1,1,6,,2,123
43,50100640000WB,2.68,2.7,,1,1,6,,2,84
44,50100640000WB,2.2,2.2125,,1,1,6,,2,89
45,50100640000WB,0.11,0.126,,1,1,6,,2,88
46,50100640000WB,1.255,1.2754,,1,1,6,,2,92
47,50100640000WB,2.644,2.68,,1,1,6,,2,84
48,50100640000WB,2.7,2.72,,1,1,6,,2,94
49,50100640000WB,1.2754,1.2839,,1,1,6,,2,92
50,50100640000WB,0.1,0.11,,1,1,6,,2,88
51,50100640000WB,1.2839,1.293,,1,1,6,,2,92
52,50100640000WB,1.732,1.7412,,1,1,6,,2,175
53,50100640000WB,1.7412,1.756,,1,1,6,,2,175
54,50100640000WB,0.0951,0.1,,1,1,6,,2,116
55,50100640000WB,2.193,2.2,,1,1,6,,2,120
56,50100640000WB,1.293,1.3,,1,1,6,,2,92
57,06100640000WB,7.5,7.6,,1,1,6,,2,150
58,06100640000WB,8.6,8.7,,1,1,6,,2,51
59,50100640000WB,5.0,5.1,,1,1,6,,2,75
60,50100640000WB,5.7,5.8,,1,1,6,,2,54
61,50100640000WB,3.7,3.8,,1,1,6,,2,40
62,50100640000WB,4.0,4.1,,1,1,6,,2,87
63,50100640000WB,4.7,4.8,,1,1,6,,2,45
64,06100640000WB,8.215,8.3,,1,1,6,,2,137
65,50100640000WB,5.8,5.87,,1,1,6,,2,46
66,06100640000WB,7.1,7.183,,1,1,6,,2,138
67,50100640000WB,4.3,4.388,,1,1,6,,2,41
68,06100640000WB,6.126,6.2,,1,1,6,,2,182
