,RouteId,BeginPoint,EndPoint,AadtVn,FsystemVn,FacilityTypeVn,UrbanIdVn,NhsVn
0,2440009000000,2.802,3.783,,5,2,99999,
1,2440009000000,2.5215,2.7796,,5,2,99999,
2,2440009000000,2.3867,2.5131,,5,2,99999,
3,2440009000000,2.2115,2.3867,,5,2,99999,
4,2440009000000,2.786,2.802,,5,2,99999,
5,2440009000000,2.5131,2.5215,,5,2,99999,
6,2440009000000,2.7796,2.786,,5,2,99999,
7,2440009000000,7.8715,9.2,,5,2,99999,
8,2440011000000,0.0724,1.9626,,5,2,99999,
9,2430016000000,4.47,5.1746,,4,2,99999,
10,2440009000000,4.617,5.5581,,5,2,99999,
11,2430016000000,0.9065,1.6236,,4,2,99999,
12,2430016000000,1.73,2.2445,,4,2,99999,
13,2440009000000,7.035,7.87,,5,2,99999,
14,2430016000000,5.1746,5.6556,,4,2,99999,
15,2440009000000,5.6871,5.9337,,5,2,99999,
16,2430016000000,3.387,3.7229,,4,2,99999,
17,2430016000000,4.05,4.47,,4,2,99999,
18,2440009000000,4.0442,4.381,,5,2,99999,
19,2440009000000,6.3894,7.015,,5,2,99999,
20,2440009060000,0.015,0.6864,,5,2,99999,
21,2430016000000,5.9942,6.16,,4,2,99999,
22,2430016000000,2.5107,2.7296,,4,2,99999,
23,2430016000000,2.7296,2.8684,,4,2,99999,
24,2430016000000,5.6556,5.9942,,4,2,99999,
25,2430016000000,2.9547,3.1432,,4,2,99999,
26,2430016000000,0.4329,0.6778,,4,2,99999,
27,2430016000000,0.6778,0.9065,,4,2,99999,
28,2440009000000,3.803,4.0442,,5,2,99999,
29,2440009000000,4.401,4.5764,,5,2,99999,
30,2440009000000,6.057,6.1662,,5,2,99999,
31,2440009060000,0.6864,0.835,,5,2,99999,
32,2440009060000,0.843,1.06,,5,2,99999,
33,2430016000000,2.8684,2.9547,,4,2,99999,
34,2440009000000,5.5699,5.6871,,5,2,99999,
35,2430016000000,3.2007,3.2906,,4,2,99999,
36,2430016000000,2.2445,2.3394,,4,2,99999,
