,RouteId,BeginPoint,EndPoint,AadtsingleUnitVn,FsystemVn,FacilityTypeVn,SampleId
0,2440009000000,7.8715,9.2,,5.0,2.0,240090000787
1,2430016000000,4.47,5.1746,,4.0,2.0,240160000405
2,2430016000000,0.9065,1.6236,,4.0,2.0,240160000006
3,2430016000000,5.1746,5.6556,,4.0,2.0,240160000405
4,2430016000000,4.05,4.47,,4.0,2.0,240160000405
5,2430016000000,5.9942,6.16,,4.0,2.0,240160000405
6,2430016000000,5.6556,5.9942,,4.0,2.0,240160000405
7,2430016000000,0.4329,0.6778,,4.0,2.0,240160000006
8,2430016000000,0.6778,0.9065,,4.0,2.0,240160000006
9,2430016000000,1.6236,1.73,,4.0,2.0,240160000006
10,2430016000000,0.157,0.284,,4.0,2.0,240160000006
11,2430016000000,0.06,0.1412,,4.0,2.0,240160000006
12,2430016000000,0.3716,0.4329,,4.0,2.0,240160000006
13,2430016000000,0.284,0.3535,,4.0,2.0,240160000006
14,2430016000000,0.3535,0.3716,,4.0,2.0,240160000006
15,2430016000000,0.147,0.157,,4.0,2.0,240160000006
16,2430016000000,6.16,6.18,,4.0,2.0,240160000405
17,2430016000000,0.1412,0.147,,4.0,2.0,240160000006
18,2440009000000,7.87,7.8715,,5.0,2.0,240090000787
19,30200520000EB,18.1,18.2,,3.0,2.0,
20,30200520000EB,18.5,18.6,,3.0,2.0,
21,30200520000EB,19.8,19.9,,3.0,2.0,
22,30200520000EB,20.3,20.4,,3.0,2.0,
23,30201190000NB,0.0,0.0683,,3.0,2.0,
24,30200520000EB,20.4,20.47,,3.0,2.0,
25,30200520000EB,17.7,17.8,,3.0,2.0,
26,30200520000EB,17.8,17.9,,3.0,2.0,
27,30200520000EB,18.0,18.1,,3.0,2.0,
28,30200520000EB,18.6,18.7,,3.0,2.0,
29,30200520000EB,18.7,18.8,,3.0,2.0,
30,30200520000EB,18.8,18.88,,3.0,2.0,
31,30200520000EB,18.9,19.0,,3.0,2.0,
32,30200520000EB,19.408,19.5,,3.0,2.0,
