,RouteId,BeginPoint,EndPoint,NumberSignalsVn,SignalTypeVn,SampleId
0,17200500000EB,18.0199,18.0618,,3,170500000018
1,17200500000EB,18.2088,18.25,,3,170500000018
2,17200500000EB,18.0618,18.087,,3,170500000018
3,17200500000EB,18.161,18.2,,3,170500000018
4,17200500000EB,18.2551,18.3,,3,170500000018
5,17200500000EB,18.1123,18.134,,3,170500000018
6,17200500000EB,18.0,18.0199,,3,170500000018
7,17200500000EB,18.1,18.1123,,3,170500000018
8,17200500000EB,18.1417,18.161,,3,170500000018
9,17200500000EB,18.3,18.32,,3,170500000018
10,17200500000EB,18.087,18.1,,3,170500000018
11,17200500000EB,18.134,18.1417,,3,170500000018
12,17200500000EB,18.25,18.2551,,3,170500000018
13,17200500000EB,18.2,18.2088,,3,170500000018
