,RouteId,BeginPoint,EndPoint,StopSignsVn,SampleId
25,2030622000000,2.5123,2.5735,,206220000232
26,2030622000000,2.32,2.4021,,206220000232
27,2030622000000,2.4021,2.46,,206220000232
28,2030622000000,2.65,2.684,,206220000232
29,2030622000000,2.6157,2.65,,206220000232
30,2030622000000,2.46,2.5123,,206220000232
31,2030622000000,2.5735,2.6157,,206220000232
32,2030622000000,2.684,2.7161,,206220000232
33,2030622000000,2.7161,2.72,,206220000232
49,27200350000NB,10.26,10.3,,270350009644
50,27200350000NB,10.3,10.36,,270350009644
51,27200350000NB,11.76,11.8,,270350011532
52,27200350000NB,11.8,11.87,,270350011532
55,27200350000NB,10.36,10.37,,270350009644
56,28200190000NB,11.63,11.7,,280190001076
59,0230009000000,10.52,10.532,,20090001052
