,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
0,2440009000000,7.8715,9.2,,240090000787
1,2430016000000,4.47,5.1746,,240160000405
2,2430016000000,0.9065,1.6236,,240160000006
3,2430016000000,5.1746,5.6556,,240160000405
4,2430016000000,4.05,4.47,,240160000405
5,2430016000000,5.9942,6.16,,240160000405
6,2430016000000,5.6556,5.9942,,240160000405
7,2430016000000,0.4329,0.6778,,240160000006
8,2430016000000,0.6778,0.9065,,240160000006
9,2430016000000,1.6236,1.73,,240160000006
10,2430016000000,0.157,0.284,,240160000006
11,2430016000000,0.06,0.1412,,240160000006
12,2430016000000,0.3716,0.4329,,240160000006
13,2430016000000,0.284,0.3535,,240160000006
14,2430016000000,0.3535,0.3716,,240160000006
15,2430016000000,0.147,0.157,,240160000006
16,2430016000000,6.16,6.18,,240160000405
17,2430016000000,0.1412,0.147,,240160000006
18,2440009000000,7.87,7.8715,,240090000787
19,30200520000EB,21.2192,21.3,,300520002106
20,30200520000EB,21.3,21.4,,300520002106
21,30200520000EB,21.5,21.6,,300520002106
22,30200520000EB,21.114,21.2,,300520002106
23,30200520004NB,0.22,0.3051,,30052N000096
24,30200520004NB,0.3051,0.39,,30052N000096
25,30200520004NB,0.17,0.2191,,30052N000096
26,30200520000EB,20.8019,20.86,,300520002078
27,30200520004NB,0.096,0.17,,30052N000096
28,30200520000EB,21.06,21.09,,300520002106
29,30200520000EB,21.4,21.44,,300520002106
30,30200520000EB,20.86,20.9,,300520002078
31,30200520000EB,21.7,21.7366,,300520002106
32,30200520000EB,21.6211,21.6701,,300520002106
33,30200520000EB,21.4468,21.5,,300520002106
34,30200520000EB,21.6,21.6211,,300520002106
35,30200520000EB,20.6808,20.7,,300520002068
36,30200520000EB,20.7,20.7542,,300520002068
37,30200520000EB,21.6701,21.7,,300520002106
38,30200520000EB,21.2063,21.2192,,300520002106
39,30200520000EB,20.7564,20.78,,300520002068
40,30200520000EB,20.78,20.8,,300520002078
41,30200520000EB,20.9,20.91,,300520002078
42,30200520000EB,21.1,21.114,,300520002106
43,30200520000EB,21.44,21.4468,,300520002106
44,30200520000EB,21.09,21.1,,300520002106
45,30200520000EB,21.2,21.2063,,300520002106
46,30200520000EB,20.7542,20.7564,,300520002068
47,30200520000EB,20.8,20.8019,,300520002078
48,30200520000EB,20.68,20.6808,,300520002068
49,30200520004NB,0.2191,0.22,,30052N000096
50,30200520000EB,10.6,10.7,,300520000995
51,30200520000EB,11.2,11.3,,300520000995
52,30200520000EB,11.6,11.65,,300520000995
53,30200520000EB,10.1,10.2,,300520000995
54,30200520000EB,10.2,10.3,,300520000995
55,30200520000EB,10.4,10.5,,300520000995
56,30200520000EB,10.5,10.6,,300520000995
57,30200520000EB,10.7,10.8,,300520000995
58,30200520000EB,10.8,10.9,,300520000995
59,30200520000EB,10.9,11.0,,300520000995
60,30200520000EB,11.0,11.1,,300520000995
61,30200520000EB,11.1,11.2,,300520000995
62,30200520000EB,11.3,11.4,,300520000995
63,30200520000EB,11.4,11.5,,300520000995
64,30200520000EB,11.5,11.6,,300520000995
65,30200520000EB,9.95,10.0,,300520000995
66,30200520000EB,10.0,10.1,,300520000995
67,30200520000EB,10.3,10.3787,,300520000995
68,30200520000EB,10.3787,10.4,,300520000995
69,2430083000000,1.1,1.2,,240830000000
70,2430083000000,0.8,0.9,,240830000000
71,2430083000000,0.6,0.7,,240830000000
72,2430083000000,0.5,0.6,,240830000000
73,2430083000000,0.3,0.4,,240830000000
74,2430083000000,0.1,0.2,,240830000000
75,2430083000000,5.04,5.1,,240830000000
76,2430083000000,4.6,4.68,,240830000000
77,2430083000000,4.12,4.2,,240830000000
78,2430083000000,1.84,1.9,,240830000000
79,2430083000000,1.2,1.27,,240830000000
80,2430083000000,0.7,0.8,,240830000000
81,2430083000000,0.4,0.5,,240830000000
82,2430083000000,0.0,0.1,,240830000000
83,2430083000000,0.2,0.3,,240830000000
84,2430083000000,1.7,1.8,,240830000000
85,2430083000000,1.9,2.0,,240830000000
86,2430083000000,2.2,2.3,,240830000000
87,2430083000000,2.3,2.4,,240830000000
88,2430083000000,1.4,1.4911,,240830000000
89,2430083000000,2.0,2.1,,240830000000
90,2430083000000,0.9106,1.0,,240830000000
91,2430083000000,1.0,1.1,,240830000000
92,2430083000000,1.6,1.7,,240830000000
93,2430083000000,3.21,3.3,,240830000000
94,2430083000000,3.3,3.4,,240830000000
95,2430083000000,3.8036,3.9,,240830000000
96,2430083000000,3.9448,4.0,,240830000000
97,2430083000000,4.0,4.0843,,240830000000
98,2430083000000,4.3,4.3782,,240830000000
99,2430083000000,4.4,4.5,,240830000000
100,2430083000000,4.9,5.0,,240830000000
101,2430083000000,2.401,2.5,,240830000000
102,2430083000000,2.5,2.6,,240830000000
103,2430083000000,2.7,2.8,,240830000000
104,2430083000000,2.8,2.8989,,240830000000
105,2430083000000,2.9079,3.0,,240830000000
106,2430083000000,3.0,3.1,,240830000000
107,2430083000000,3.4,3.5,,240830000000
108,2430083000000,3.7,3.8,,240830000000
109,2430083000000,4.7,4.8,,240830000000
110,2430083000000,4.5269,4.5897,,240830000000
