,RouteId,BeginPoint,EndPoint,ShoulderTypeVn,SampleId
0,2440009000000,7.8715,9.2,,240090000787
1,2430016000000,4.47,5.1746,,240160000405
2,2430016000000,0.9065,1.6236,,240160000006
3,2430016000000,5.1746,5.6556,,240160000405
4,2430016000000,4.05,4.47,,240160000405
5,2430016000000,5.9942,6.16,,240160000405
6,2430016000000,5.6556,5.9942,,240160000405
7,2430016000000,0.4329,0.6778,,240160000006
8,2430016000000,0.6778,0.9065,,240160000006
9,2430016000000,1.6236,1.73,,240160000006
10,2430016000000,0.157,0.284,,240160000006
11,2430016000000,0.06,0.1412,,240160000006
12,2430016000000,0.3716,0.4329,,240160000006
13,2430016000000,0.284,0.3535,,240160000006
14,2430016000000,0.3535,0.3716,,240160000006
15,2430016000000,0.147,0.157,,240160000006
16,2430016000000,6.16,6.18,,240160000405
17,2430016000000,0.1412,0.147,,240160000006
18,2440009000000,7.87,7.8715,,240090000787
19,30200520004NB,0.22,0.3051,,30052N000096
20,30200520004NB,0.3051,0.39,,30052N000096
21,30200520004NB,0.17,0.2191,,30052N000096
22,30200520004NB,0.096,0.17,,30052N000096
23,30200520004NB,0.2191,0.22,,30052N000096
24,2430016000000,9.49,10.14,,240160000947
25,2430016000000,13.75,13.9463,,240160001375
26,2430016000000,13.9833,14.0431,,240160001375
27,2430016000000,13.9463,13.9833,,240160001375
28,2430016000000,9.474,9.49,,240160000947
29,2430016000000,14.0431,14.05,,240160001375
30,2430016000000,9.47,9.474,,240160000947
31,3040065050000,5.74,6.1303,,300650500574
32,3040065050000,6.1303,6.2,,300650500574
33,3030065000000,10.6141,10.9014,,300650001003
34,3030065000000,10.3052,10.5351,,300650001003
35,3030065000000,10.0768,10.23,,300650001003
36,3030065000000,10.9014,11.05,,300650001003
37,3030065000000,10.5351,10.6,,300650001003
38,3030065000000,10.23,10.3052,,300650001003
39,3030065000000,10.03,10.0768,,300650001003
40,3030065000000,10.6,10.6141,,300650001003
41,3040065050000,6.2,6.948,,300650500574
42,3040065050000,6.948,7.1034,,300650500574
43,3040065050000,7.109,7.117,,300650500574
44,3040065050000,7.1034,7.109,,300650500574
45,3040065050000,7.117,7.12,,300650500574
46,2340005000000,1.64,1.736,,230050000045
47,2330044000000,16.16,16.46,,230440001602
48,2330044000000,16.46,16.62,,230440001602
49,2340005000000,0.57,0.71,,230050000045
50,2340005000000,1.3748,1.53,,230050000045
51,2340005000000,1.9473,2.17,,230050000045
52,2330044000000,16.6642,16.9,,230440001602
53,2340005000000,1.2,1.3519,,230050000045
54,2340005000000,2.4084,2.57,,230050000045
55,2340005000000,0.92,1.08,,230050000045
56,2340005000000,2.2312,2.32,,230050000045
57,2340005000000,0.45,0.55,,230050000045
58,2340005000000,0.71,0.86,,230050000045
59,2340005000000,2.17,2.224,,230050000045
60,2340005000000,2.6442,2.75,,230050000045
61,2340005000000,1.805,1.8696,,230050000045
62,2340005000000,2.32,2.4084,,230050000045
63,2340005000000,1.08,1.129,,230050000045
64,2330044000000,16.9,16.997,,230440001602
65,2330044000000,17.0254,17.07,,230440001602
66,2340005000000,1.59,1.62,,230050000045
67,2340005000000,1.56,1.59,,230050000045
68,2340005000000,1.16,1.2,,230050000045
69,2340005000000,0.86,0.91,,230050000045
70,2340005000000,1.5347,1.56,,230050000045
71,2340005000000,1.8696,1.9473,,230050000045
72,2330044000000,16.62,16.6642,,230440001602
73,2340005000000,2.5832,2.6442,,230050000045
74,2340005000000,2.75,2.789,,230050000045
75,2340005000000,1.736,1.77,,230050000045
76,2340005000000,1.77,1.79,,230050000045
77,2340005000000,1.13,1.16,,230050000045
78,2340005000000,0.55,0.57,,230050000045
79,2330044000000,16.997,17.017,,230440001602
80,2340005000000,1.62,1.64,,230050000045
81,2340005000000,1.3589,1.3748,,230050000045
82,2340005000000,1.79,1.805,,230050000045
83,2340005000000,2.224,2.2312,,230050000045
84,2340005000000,2.57,2.58,,230050000045
85,2340005000000,0.91,0.92,,230050000045
86,2340005000000,1.53,1.5347,,230050000045
87,2340005000000,1.3519,1.3589,,230050000045
88,2330044000000,17.017,17.0254,,230440001602
89,2340005000000,2.58,2.5832,,230050000045
90,2340005000000,1.129,1.13,,230050000045
91,2330017000000,0.6002,1.1,,230170000032
92,2340110580000,0.0214,0.2456,,231105800000
93,2340110580000,0.4573,0.5992,,231105800044
94,2330017000000,0.328,0.6002,,230170000032
95,2340110580000,0.8872,0.9714,,231105800044
96,2340110580000,0.66,0.7808,,231105800044
97,2340110580000,0.2456,0.3448,,231105800000
98,2340110580000,0.3448,0.44,,231105800000
99,2330044000000,16.02,16.16,,230440001602
100,2340110580000,0.8327,0.8872,,231105800044
101,2340110580000,0.5992,0.6574,,231105800044
102,2340110580000,0.7808,0.8244,,231105800044
103,2340110580000,0.0,0.0214,,231105800000
104,2340110580000,0.44,0.4573,,231105800044
105,2340110580000,0.9714,0.98,,231105800044
106,2340110580000,0.8244,0.8327,,231105800044
107,2330017000000,0.32,0.328,,230170000032
108,2340110580000,0.6574,0.66,,231105800044
109,2340119900000,0.0991,0.36,,231199000000
110,2340119900000,0.0,0.0991,,231199000000
