,RouteId,BeginPoint,EndPoint,CurvesAVn,CurvesBVn,CurvesCVn,CurvesDVn,CurvesEVn,CurvesFVn,FsystemVn,UrbanIdVn,SurfaceTypeVn,SampleId
0,27200350000NB,16.3,16.4,0.2,,,,,,3,99999,6.0,
1,27200350000NB,17.632,17.7,0.1,,,,,,3,99998,6.0,
2,27200350000NB,17.753,17.8,0.2,0.2,,,,,3,99998,6.0,
3,27200350000NB,17.7,17.753,0.1,,,,,,3,99998,6.0,
4,27200350000NB,17.8,17.85,0.2,0.2,,,,,3,99998,6.0,
5,27200350000NB,17.362,17.39,0.2,,,,,,3,99998,6.0,
6,27200350000NB,17.3,17.362,0.2,,,,,,3,99998,6.0,
7,27200350000NB,16.6,16.64,0.6,,,,,,3,99999,6.0,
8,27200350000NB,18.322,18.35,0.4,,,,,,3,99998,3.0,
9,27200350000NB,17.28,17.3,0.2,,,,,,3,99998,6.0,
10,27200350000NB,16.4,16.41,0.2,,,,,,3,99999,6.0,
11,27200350000NB,16.293,16.3,0.2,,,,,,3,99999,6.0,
12,2730817000000,8.543,8.82,0.3,0.0,,,,,3,99999,,
13,27200350000NB,9.534,9.6,0.7,,,,,,3,99999,3.0,
14,27200350000NB,9.6,9.644,0.7,,,,,,3,99999,3.0,
15,27200350000NB,11.422,11.5,0.2,0.1,,,,,3,99999,3.0,
16,27200350000NB,11.5,11.532,0.2,0.1,,,,,3,99999,3.0,
17,27200350023WB,0.64,0.67,0.3,0.0,,,,,3,99999,,
18,13202190000NB,14.154,14.16,0.2,,,,,,3,99998,6.0,
19,36200330000EB,33.184,33.2,0.3,0.2,0.1,0.1,,,4,99999,6.0,
20,36200330000EB,33.2,33.21,0.3,0.2,0.1,0.1,,,4,99999,6.0,
21,0230009000000,11.15,11.2,0.3,0.0,,,,,3,36190,3.0,
22,0230009000000,11.2,11.243,0.3,0.0,,,,,3,36190,6.0,
