,RouteId,BeginPoint,EndPoint,PctPassSightVn,UrbanIdVn,SurfaceTypeVn,SampleId,MedianTypeVn,ThroughLanesVn
0,52202500000NB,9.05,9.1,,99999,6,522500000905,1,2
1,52202500000NB,9.13,9.2,,99999,3,522500000905,1,2
2,52202500000NB,9.1,9.13,,99999,3,522500000905,1,2
3,31200190000NB,8.3,8.4,,99999,6,310190000829,1,2
4,31200190000NB,8.4,8.5,,99999,6,310190000829,1,2
5,31200190000NB,8.5,8.6,,99999,6,310190000829,1,2
6,31200190000NB,8.6,8.7,,99999,6,310190000829,1,2
7,31200190000NB,8.7,8.8,,99999,6,310190000829,1,2
8,31200190000NB,8.29,8.3,,99999,6,310190000829,1,2
9,31200190000NB,8.8,8.806,,99999,6,310190000829,1,2
