,RouteId,BeginPoint,EndPoint,RuttingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn
0,20100770005SB,0.6311,0.67,,6,1,1,1,20077S000000,1.0
1,20100770000NB,100.6021,100.7,,6,2,1,1,200770010028,3.0
2,20100770005SB,0.6,0.6311,,6,1,1,1,20077S000000,1.0
3,20100770000NB,100.4556,100.5,,6,2,1,1,200770010028,3.0
4,20100770000NB,100.532,100.6,,6,2,1,1,200770010028,3.0
5,20100770000NB,100.4367,100.4556,,6,2,1,1,200770010028,3.0
6,20100770000NB,100.4,100.4272,,6,2,1,1,200770010028,3.0
7,20100770000NB,99.12,99.1469,,6,2,1,1,200770009912,3.0
8,20100770000NB,99.157,99.2,,6,2,1,1,200770009912,3.0
9,20100770000NB,100.5,100.532,,6,2,1,1,200770010028,3.0
10,20100770000NB,99.1,99.12,,6,2,1,1,200770009828,3.0
11,20100770000NB,99.1469,99.157,,6,2,1,1,200770009912,3.0
12,20100770000NB,100.4272,100.4367,,6,2,1,1,200770010028,3.0
13,20100770000NB,100.6,100.6021,,6,2,1,1,200770010028,3.0
14,47202190000NB,21.9,21.916,,6,2,3,1,,
15,47202190000NB,21.916,21.92,,6,2,3,1,,
16,3530002000000,2.002,2.0725,,6,1,3,1,350020000190,
17,35300020005SB,1.1322,1.159,,6,2,3,1,,
18,35300020005SB,1.159,1.2,,6,2,3,1,,
19,35300020005SB,1.1,1.1322,,6,2,3,1,,
20,3530002000000,2.0917,2.1,,6,1,3,1,350020000190,
21,3530002000000,2.0808,2.088,,6,1,3,1,350020000190,
22,3530002000000,2.0725,2.0808,,6,1,3,1,350020000190,
23,3530002000000,2.088,2.0917,,6,1,3,1,350020000190,
24,3530002000000,2.0,2.002,,6,1,3,1,350020000190,
25,31100790000NB,149.4332,149.5,,6,2,1,1,310790014938,3.0
26,31100790000NB,149.4,149.4332,,6,2,1,1,310790014938,3.0
27,16200480000EB,25.6,25.6874,,6,2,3,1,,
28,16200480000EB,25.7,25.8,,6,2,3,1,,
29,16200480000EB,25.6874,25.7,,6,2,3,1,,
