,RouteId,BeginPoint,EndPoint,FaultingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
0,30201190000NB,0.0,0.0683,,3,2,3,1.0,,,,185
1,30200520000EB,19.408,19.5,,3,2,3,1.0,,,,186
2,30200520000EB,19.2,19.3,,3,2,3,1.0,,,,141
3,30200520000EB,18.32,18.4,,3,2,3,1.0,,,,153
4,30200520000EB,19.1,19.141,,3,2,3,1.0,,,,152
5,30200520000EB,18.212,18.3,,3,2,3,1.0,,,,173
6,30200520000EB,19.155,19.186,,3,2,3,1.0,,,,152
7,30200520000EB,18.3,18.32,,3,2,3,1.0,,,,153
8,30200520000EB,19.186,19.2,,3,2,3,1.0,,,,152
9,30200520000EB,19.141,19.155,,3,2,3,1.0,,,,152
10,30200520000EB,18.2,18.212,,3,2,3,1.0,,,,173
11,30200520000EB,19.4,19.408,,3,2,3,1.0,,,,186
12,30201190000NB,0.0683,0.07,,3,2,3,1.0,,,,185
13,30200520000EB,13.9,13.9707,,3,2,3,1.0,,,,207
14,30200520000EB,17.5,17.6,,3,2,3,1.0,,,,118
15,30200520000EB,13.9707,14.0,,3,2,3,1.0,,,,207
16,30200520000EB,17.4,17.434,,3,2,3,1.0,,,,197
17,30200520000EB,17.434,17.5,,3,2,3,1.0,,,,197
18,30201190000NB,7.635,7.698,,3,2,3,1.0,,,,209
19,30201190000NB,7.606,7.6314,,3,2,3,1.0,,,,209
20,30201190000NB,7.6,7.606,,3,2,3,1.0,,,,209
21,30201190000NB,7.6314,7.635,,3,2,3,1.0,,,,209
22,30201190000NB,7.698,7.7,,3,2,3,1.0,,,,209
23,30200520000EB,2.7,2.8,,3,2,3,1.0,,,,278
24,50200520000EB,54.3,54.308,,3,2,3,1.0,,,,142
25,50200520000EB,54.308,54.32,,3,2,3,1.0,,,,142
26,24200520000EB,4.0,4.0563,,3,2,3,1.0,,,,172
27,24200520000EB,4.071,4.1,,3,2,3,1.0,,,,172
28,24200520000EB,4.06,4.071,,3,2,3,1.0,,,,172
29,24200520000EB,4.0563,4.06,,3,2,3,1.0,,,,172
30,30200520000EB,54.317,54.393,,3,2,3,1.0,,,,184
31,30200520000EB,54.3,54.31,,3,2,3,1.0,,,,184
32,30200520000EB,54.31,54.317,,3,2,3,1.0,,,,184
33,30200520000EB,54.393,54.4,,3,2,3,1.0,,,,184
34,2330010000000,11.9,11.979,,3,2,3,1.0,,,,162
35,2330010000000,12.0542,12.1,,3,2,3,1.0,,,,77
36,2330010000000,12.0,12.0542,,3,2,3,1.0,,,,77
37,2330010000000,11.9828,12.0,,3,2,3,1.0,,,,162
38,2330010000000,11.979,11.9828,,3,2,3,1.0,,,,162
39,30201190000NB,20.7,20.78,,3,2,3,1.0,,,,185
40,30201190000NB,20.78,20.8,,3,2,3,1.0,,,,185
41,23201190000NB,5.3181,5.4,,3,2,3,1.0,,,,83
43,2330073000000,2.3088,2.353,,3,2,3,1.0,,,,169
44,2330073000000,2.1,2.15,,3,2,3,1.0,230730000031,,,217
47,23201190000NB,5.27,5.3,,3,2,3,1.0,,,,100
49,2330073000000,1.4,1.451,,3,2,3,1.0,230730000031,,,131
50,2330073000000,1.451,1.5,,3,2,3,1.0,230730000031,,,131
51,2330073000000,2.353,2.377,,3,2,3,1.0,,,,169
52,2330073000000,2.1641,2.2,,3,2,3,1.0,,,,217
55,2330073000000,2.377,2.4,,3,2,3,1.0,,,,169
56,2330073000000,2.15,2.1641,,3,2,3,1.0,,,,217
58,2330073000000,2.3,2.3088,,3,2,3,1.0,,,,169
59,23201190000NB,5.3,5.3181,,3,2,3,1.0,,,,83
60,2330080000000,0.021,0.081,,3,2,3,1.0,,,,198
61,2330080000000,0.0817,0.1,,3,2,3,1.0,,,,198
62,2330080000000,0.0,0.0101,,3,2,3,1.0,,,,198
63,2330080000000,0.0101,0.021,,3,2,3,1.0,,,,198
64,2330080000000,0.081,0.0817,,3,2,3,1.0,,,,198
65,2330010000000,8.627,8.7,,3,2,3,1.0,,,,108
66,2330010000000,8.7,8.8,,3,2,3,1.0,,,,75
