,RouteId,BeginPoint,EndPoint,YearLastImprovementVd,SampleId,SurfaceTypeVn,YearLastConstructionVd
0,30200520000EB,20.8019,20.86,,300520002078,6.0,
1,30200520000EB,20.86,20.9,,300520002078,6.0,
2,30200520000EB,20.6808,20.7,,300520002068,6.0,
3,30200520000EB,20.7,20.7542,,300520002068,6.0,
4,30200520000EB,20.7564,20.78,,300520002068,6.0,
5,30200520000EB,20.78,20.8,,300520002078,6.0,
6,30200520000EB,20.9,20.91,,300520002078,6.0,
7,30200520000EB,20.7542,20.7564,,300520002068,6.0,
8,30200520000EB,20.8,20.8019,,300520002078,6.0,
9,30200520000EB,20.68,20.6808,,300520002068,6.0,
10,3030080000000,4.6,4.66,,300800000460,6.0,
11,3030080000000,4.75,4.8,,300800000460,6.0,
12,3030080000000,4.8,4.82,,300800000460,6.0,
13,3030080000000,4.7,4.75,,300800000460,6.0,
14,3030080000000,4.82,4.84,,300800000460,6.0,
15,3030080000000,4.66,4.7,,300800000460,6.0,
16,30200520000EB,44.2,44.3,,300520004329,3.0,
17,30200520000EB,44.0,44.1,,300520004329,3.0,
18,30200520000EB,44.1,44.2,,300520004329,3.0,
19,30200520000EB,44.5,44.6,,300520004329,3.0,
20,30200520000EB,44.3,44.4,,300520004329,3.0,
21,30200520000EB,44.4,44.5,,300520004329,3.0,
22,23200520000EB,0.0,0.1,,230520000000,6.0,
23,30200520000EB,43.3,43.4,,300520004329,3.0,
24,30200520000EB,43.4,43.5,,300520004329,3.0,
25,30200520000EB,43.5,43.6,,300520004329,3.0,
26,30200520000EB,43.6,43.7,,300520004329,3.0,
27,30200520000EB,43.7,43.8,,300520004329,6.0,
28,30200520000EB,43.9,44.0,,300520004329,3.0,
29,30200520000EB,44.6,44.6898,,300520004329,6.0,
30,23200520000EB,0.3,0.4,,230520000000,6.0,
31,23200520000EB,0.1,0.2,,230520000000,6.0,
32,23200520000EB,0.2,0.3,,230520000000,6.0,
33,30200520000EB,43.8,43.9,,300520004329,3.0,
34,23200520000EB,0.4,0.43,,230520000000,6.0,
35,30200520000EB,44.7,44.74,,300520004329,6.0,
36,30200520000EB,43.29,43.3,,300520004329,3.0,
37,30200520000EB,44.6898,44.7,,300520004329,6.0,
38,3030080000000,4.84,4.9,,300800000460,6.0,
39,3030080000000,4.9,5.0,,300800000460,6.0,
40,3030080000000,5.0,5.1,,300800000460,6.0,
41,3030080000000,5.1,5.2,,300800000460,6.0,
42,3030080000000,5.2,5.3,,300800000460,6.0,
43,3030080000000,5.3078,5.4,,300800000460,6.0,
44,3030080000000,5.4,5.5,,300800000460,6.0,
45,3030080000000,5.5,5.6,,300800000460,6.0,
46,3030080000000,5.3,5.3078,,300800000460,6.0,
47,2330010000000,10.7,10.76,,230001001058,3.0,
48,2330010000000,10.6,10.7,,230001001058,3.0,
49,2330010000000,10.58,10.6,,230001001058,3.0,
50,50100640000EB,1.265,1.2845,,500640000125,6.0,
51,50100640000EB,1.25,1.265,,500640000125,6.0,
52,50100640000EB,1.2845,1.29,,500640000125,6.0,
53,0630527000100,0.0,0.0962,,06527A000000,6.0,
54,06200520000EB,0.01,0.1,,060520000001,3.0,
55,06200520000EB,0.1,0.2,,060520000001,3.0,
56,06200520000EB,0.2,0.3,,060520000001,3.0,
57,0630527000100,0.1,0.19,,06527A000000,6.0,
58,0630527000100,0.2409,0.29,,06527A000019,6.0,
59,0630527000000,0.9353,0.98,,065270000088,6.0,
60,0630527000100,0.3366,0.3814,,06527A000019,6.0,
61,06200600000EB,3.17,3.2,,060600000317,6.0,
62,06200600000EB,3.2,3.2651,,060600000317,6.0,
63,0630527000000,0.9,0.9353,,065270000088,6.0,
64,0630527000100,0.3,0.3366,,06527A000019,6.0,
65,0630527000100,0.2,0.2409,,06527A000019,6.0,
66,06200520000EB,0.3,0.33,,060520000001,6.0,
67,0630527000000,0.89,0.9,,065270000088,6.0,
68,0630527000100,0.3814,0.39,,06527A000019,6.0,
69,06200600000EB,3.2651,3.27,,060600000317,6.0,
70,0630527000100,0.19,0.1931,,06527A000019,6.0,
71,0630527000100,0.29,0.3,,06527A000019,6.0,
72,0630527000100,0.1931,0.2,,06527A000019,6.0,
73,0630527000100,0.0962,0.1,,06527A000000,6.0,
74,0630010000000,17.21,17.25,,060100001721,6.0,
75,0630010000000,17.25,17.3,,060100001721,6.0,
76,0630010000000,17.3429,17.37,,060100001721,6.0,
77,0630010000000,17.3,17.3209,,060100001721,6.0,
78,0630010000000,17.3209,17.3429,,060100001721,6.0,
79,06200600000EB,5.8,5.9,,060600000576,6.0,
80,06200600000EB,5.76,5.8,,060600000576,6.0,
81,06200600000EB,5.9,5.9448,,060600000576,6.0,
82,06200600000EB,5.9448,5.96,,060600000576,6.0,
83,06200600000EB,11.0,11.05,,060600001076,6.0,
84,06200600000EB,10.9511,11.0,,060600001076,6.0,
85,06200600000EB,11.1,11.2,,060600001076,6.0,
86,06200600000EB,11.81,11.9,,060600001151,6.0,
87,06200600000EB,12.0,12.09,,060600001151,6.0,
88,06200600000EB,10.8,10.8576,,060600001076,6.0,
89,06200600000EB,11.51,11.6,,060600001151,6.0,
90,06200600000EB,11.6111,11.7,,060600001151,6.0,
91,06200600000EB,11.7,11.8,,060600001151,6.0,
92,06200600000EB,12.1,12.2,,060600001151,6.0,
93,06200600000EB,11.05,11.1,,060600001076,6.0,
94,06200600000EB,11.2,11.25,,060600001076,6.0,
95,06200600000EB,11.9,11.93,,060600001151,6.0,
96,06200600000EB,11.9611,12.0,,060600001151,6.0,
97,06200600000EB,10.8576,10.9,,060600001076,6.0,
98,06200600000EB,10.9,10.94,,060600001076,6.0,
99,06200600000EB,10.76,10.8,,060600001076,6.0,
100,06200600000EB,12.2,12.23,,060600001151,6.0,
101,06200600000EB,10.94,10.9511,,060600001076,6.0,
102,06200600000EB,11.93,11.9611,,060600001151,6.0,
103,06200600000EB,11.6,11.6111,,060600001151,6.0,
104,06200600000EB,11.8,11.81,,060600001151,6.0,
105,06200600000EB,12.09,12.1,,060600001151,6.0,
106,03201190000NB,1.4,1.5,,031190000000,6.0,1/1/2015 12:00:00 AM
107,03201190000NB,1.8,1.9,,031190000000,6.0,1/1/2015 12:00:00 AM
108,03201190000NB,0.9,1.0,,031190000000,6.0,1/1/2015 12:00:00 AM
109,03201190000NB,2.5,2.6,,031190000000,6.0,1/1/2015 12:00:00 AM
110,03201190000NB,0.4,0.5,,031190000000,6.0,1/1/2015 12:00:00 AM
111,03201190000NB,2.23,2.3,,031190000000,6.0,1/1/2015 12:00:00 AM
112,03201190000NB,0.3023,0.4,,031190000000,6.0,1/1/2015 12:00:00 AM
113,03201190000NB,0.0,0.1,,031190000000,6.0,1/1/2015 12:00:00 AM
114,03201190000NB,0.1,0.2,,031190000000,6.0,1/1/2015 12:00:00 AM
115,03201190000NB,0.2,0.3,,031190000000,6.0,1/1/2015 12:00:00 AM
116,03201190000NB,0.6,0.7,,031190000000,6.0,1/1/2015 12:00:00 AM
117,03201190000NB,0.7,0.8,,031190000000,6.0,1/1/2015 12:00:00 AM
118,03201190000NB,1.0,1.1,,031190000000,6.0,1/1/2015 12:00:00 AM
119,03201190000NB,1.1,1.2,,031190000000,6.0,1/1/2015 12:00:00 AM
120,03201190000NB,1.2,1.3,,031190000000,6.0,1/1/2015 12:00:00 AM
121,03201190000NB,1.3,1.4,,031190000000,6.0,1/1/2015 12:00:00 AM
122,03201190000NB,1.6,1.7,,031190000000,6.0,1/1/2015 12:00:00 AM
123,03201190000NB,1.7,1.8,,031190000000,6.0,1/1/2015 12:00:00 AM
124,03201190000NB,2.3,2.4,,031190000000,6.0,1/1/2015 12:00:00 AM
125,03201190000NB,2.4,2.5,,031190000000,6.0,1/1/2015 12:00:00 AM
126,03201190000NB,2.7,2.8,,031190000000,6.0,1/1/2015 12:00:00 AM
127,03201190000NB,2.8,2.9,,031190000000,6.0,1/1/2015 12:00:00 AM
128,03201190000NB,2.0,2.1,,031190000000,6.0,1/1/2015 12:00:00 AM
129,03201190000NB,2.1,2.183,,031190000000,6.0,1/1/2015 12:00:00 AM
130,03201190000NB,1.9,1.9582,,031190000000,6.0,1/1/2015 12:00:00 AM
131,03201190000NB,0.8648,0.9,,031190000000,6.0,1/1/2015 12:00:00 AM
132,03201190000NB,2.6,2.672,,031190000000,6.0,1/1/2015 12:00:00 AM
133,03201190000NB,0.5,0.5535,,031190000000,6.0,1/1/2015 12:00:00 AM
134,03201190000NB,0.5535,0.6,,031190000000,6.0,1/1/2015 12:00:00 AM
135,03201190000NB,0.8,0.8648,,031190000000,6.0,1/1/2015 12:00:00 AM
136,03201190000NB,1.5429,1.6,,031190000000,6.0,1/1/2015 12:00:00 AM
137,03201190000NB,1.9582,2.0,,031190000000,6.0,1/1/2015 12:00:00 AM
138,03201190000NB,2.9,2.93,,031190000000,6.0,1/1/2015 12:00:00 AM
139,03201190000NB,1.5,1.537,,031190000000,6.0,1/1/2015 12:00:00 AM
140,03201190000NB,2.2,2.23,,031190000000,6.0,1/1/2015 12:00:00 AM
141,03201190000NB,2.672,2.7,,031190000000,6.0,1/1/2015 12:00:00 AM
142,03201190000NB,2.187,2.2,,031190000000,6.0,1/1/2015 12:00:00 AM
143,03201190000NB,2.183,2.187,,031190000000,6.0,1/1/2015 12:00:00 AM
144,03201190000NB,0.3,0.3023,,031190000000,6.0,1/1/2015 12:00:00 AM
145,03201190000NB,1.537,1.541,,031190000000,6.0,1/1/2015 12:00:00 AM
146,03201190000NB,1.541,1.5429,,031190000000,6.0,1/1/2015 12:00:00 AM
147,03201190000NB,9.5,9.6,,031190000944,6.0,1/1/2013 12:00:00 AM
148,03201190000NB,9.6,9.7,,031190000944,6.0,1/1/2013 12:00:00 AM
149,03201190000NB,9.8,9.9,,031190000944,6.0,1/1/2013 12:00:00 AM
150,03201190000NB,9.9,10.0,,031190000944,6.0,1/1/2013 12:00:00 AM
151,03201190000NB,9.44,9.5,,031190000944,6.0,1/1/2013 12:00:00 AM
152,03201190000NB,9.7,9.76,,031190000944,6.0,1/1/2013 12:00:00 AM
153,03201190000NB,9.766,9.8,,031190000944,6.0,1/1/2013 12:00:00 AM
154,03201190000NB,9.76,9.766,,031190000944,6.0,1/1/2013 12:00:00 AM
155,03201190000NB,17.1,17.2,,031190001697,3.0,1/1/1973 12:00:00 AM
156,03201190000NB,10.1,10.2,,031190000944,6.0,1/1/2013 12:00:00 AM
157,03201190000NB,10.2,10.3,,031190000944,6.0,1/1/2013 12:00:00 AM
158,03201190000NB,10.3,10.4,,031190000944,6.0,1/1/2013 12:00:00 AM
159,03201190000NB,10.5,10.6,,031190000944,6.0,1/1/2013 12:00:00 AM
160,03201190000NB,10.6,10.7,,031190000944,6.0,1/1/2013 12:00:00 AM
161,03201190000NB,10.7,10.7776,,031190000944,6.0,1/1/2013 12:00:00 AM
162,03201190000NB,10.8,10.9,,031190000944,6.0,1/1/2013 12:00:00 AM
163,03201190000NB,10.9,11.0,,031190000944,6.0,1/1/2013 12:00:00 AM
164,03201190000NB,11.0,11.1,,031190000944,6.0,1/1/2013 12:00:00 AM
165,03201190000NB,11.2,11.3,,031190000944,6.0,1/1/2013 12:00:00 AM
166,03201190000NB,11.3,11.4,,031190000944,6.0,1/1/2013 12:00:00 AM
167,03201190000NB,11.4,11.483,,031190000944,6.0,1/1/2013 12:00:00 AM
168,03201190000NB,11.5,11.6,,031190001149,6.0,1/1/2013 12:00:00 AM
169,03201190000NB,11.6,11.7,,031190001149,6.0,1/1/2013 12:00:00 AM
170,03201190000NB,12.2,12.3,,031190001149,6.0,1/1/2013 12:00:00 AM
171,03201190000NB,12.415,12.5,,031190001149,3.0,1/1/2013 12:00:00 AM
172,03201190000NB,12.5209,12.6,,031190001149,3.0,1/1/2013 12:00:00 AM
173,03201190000NB,12.709,12.8,,031190001149,3.0,1/1/2013 12:00:00 AM
174,03201190000NB,12.83,12.9,,031190001283,3.0,1/1/1973 12:00:00 AM
175,03201190000NB,12.9,12.9899,,031190001283,3.0,1/1/1973 12:00:00 AM
176,03201190000NB,13.0,13.1,,031190001283,3.0,1/1/1973 12:00:00 AM
177,03201190000NB,13.1,13.2,,031190001283,3.0,1/1/1973 12:00:00 AM
178,03201190000NB,13.3,13.4,,031190001283,3.0,1/1/1973 12:00:00 AM
179,03201190000NB,13.4,13.5,,031190001283,3.0,1/1/1973 12:00:00 AM
180,03201190000NB,17.0,17.1,,031190001697,3.0,1/1/1973 12:00:00 AM
181,03201190000NB,17.2404,17.3,,031190001697,3.0,1/1/1973 12:00:00 AM
182,03201190000NB,17.3,17.4,,031190001697,3.0,1/1/1973 12:00:00 AM
183,03201190000NB,17.4,17.5,,031190001697,3.0,1/1/1973 12:00:00 AM
184,03201190000NB,17.5,17.595,,031190001697,3.0,1/1/1973 12:00:00 AM
185,03201190000NB,17.6,17.7,,031190001697,3.0,1/1/1973 12:00:00 AM
186,03201190000NB,10.0,10.0802,,031190000944,6.0,1/1/2013 12:00:00 AM
187,03201190000NB,11.8,11.9,,031190001149,6.0,1/1/2013 12:00:00 AM
188,03201190000NB,11.9,12.0,,031190001149,6.0,1/1/2013 12:00:00 AM
189,03201190000NB,12.0,12.1,,031190001149,6.0,1/1/2013 12:00:00 AM
190,03201190000NB,17.2,17.2404,,031190001697,3.0,1/1/1973 12:00:00 AM
191,03201190000NB,10.42,10.5,,031190000944,6.0,1/1/2013 12:00:00 AM
192,03201190000NB,11.1,11.2,,031190000944,6.0,1/1/2013 12:00:00 AM
193,03201190000NB,12.13,12.2,,031190001149,6.0,1/1/2013 12:00:00 AM
194,03201190000NB,12.3,12.36,,031190001149,6.0,1/1/2013 12:00:00 AM
195,03201190000NB,12.6,12.6465,,031190001149,3.0,1/1/2013 12:00:00 AM
196,03201190000NB,13.2,13.2758,,031190001283,3.0,1/1/1973 12:00:00 AM
197,03201190000NB,13.5,13.54,,031190001283,3.0,1/1/1973 12:00:00 AM
198,03201190000NB,11.7267,11.8,,031190001149,6.0,1/1/2013 12:00:00 AM
199,03201190000NB,10.0802,10.1,,031190000944,6.0,1/1/2013 12:00:00 AM
200,03201190000NB,10.4,10.42,,031190000944,6.0,1/1/2013 12:00:00 AM
201,03201190000NB,11.7,11.7267,,031190001149,6.0,1/1/2013 12:00:00 AM
202,03201190000NB,12.1,12.13,,031190001149,6.0,1/1/2013 12:00:00 AM
203,03201190000NB,12.3742,12.4,,031190001149,6.0,1/1/2013 12:00:00 AM
204,03201190000NB,12.5,12.5209,,031190001149,3.0,1/1/2013 12:00:00 AM
205,03201190000NB,12.66,12.7,,031190001149,3.0,1/1/2013 12:00:00 AM
206,03201190000NB,12.8,12.83,,031190001149,3.0,1/1/2013 12:00:00 AM
207,03201190000NB,13.2758,13.3,,031190001283,3.0,1/1/1973 12:00:00 AM
208,03201190000NB,16.97,17.0,,031190001697,3.0,1/1/1973 12:00:00 AM
209,03201190000NB,12.36,12.3742,,031190001149,6.0,1/1/2013 12:00:00 AM
210,03201190000NB,12.6465,12.66,,031190001149,3.0,1/1/2013 12:00:00 AM
211,03201190000NB,10.7776,10.8,,031190000944,6.0,1/1/2013 12:00:00 AM
212,03201190000NB,11.49,11.5,,031190001149,6.0,1/1/2013 12:00:00 AM
213,03201190000NB,12.4,12.415,,031190001149,3.0,1/1/2013 12:00:00 AM
214,03201190000NB,12.7,12.709,,031190001149,3.0,1/1/2013 12:00:00 AM
215,03201190000NB,12.9899,13.0,,031190001283,3.0,1/1/1973 12:00:00 AM
216,03201190000NB,11.483,11.49,,031190000944,6.0,1/1/2013 12:00:00 AM
217,03201190000NB,17.595,17.6,,031190001697,3.0,1/1/1973 12:00:00 AM
218,22201190000NB,3.6,3.7,,221190000337,6.0,
219,22201190000NB,3.8,3.9,,221190000337,6.0,
220,22201190000NB,4.0,4.1,,221190000337,6.0,
221,03201190000NB,17.7,17.8,,031190001697,3.0,1/1/1973 12:00:00 AM
222,22201190000NB,3.51,3.6,,221190000337,6.0,
223,22201190000NB,3.72,3.8,,221190000337,6.0,
224,22201190000NB,3.9449,4.0,,221190000337,6.0,
225,03201190000NB,17.8,17.83,,031190001697,6.0,1/1/1973 12:00:00 AM
226,22201190000NB,3.37,3.4,,221190000337,3.0,
227,22201190000NB,3.4,3.5,,221190000337,6.0,
228,22201190000NB,3.7,3.72,,221190000337,6.0,
229,22201190000NB,3.9,3.9449,,221190000337,6.0,
230,22201190000NB,3.5,3.51,,221190000337,6.0,
231,22201190000NB,4.7,4.8,,221190000337,6.0,
232,22201190000NB,4.1,4.2,,221190000337,6.0,
233,22201190000NB,4.2,4.3,,221190000337,6.0,
234,22201190000NB,4.3,4.4,,221190000337,6.0,
235,22201190000NB,4.4,4.5,,221190000337,6.0,
236,22201190000NB,4.5,4.6,,221190000337,6.0,
237,22201190000NB,4.8,4.9,,221190000337,6.0,
238,22201190000NB,4.9,5.0,,221190000337,6.0,
239,22201190000NB,5.0,5.1,,221190000337,6.0,
240,22201190000NB,5.1,5.2,,221190000337,6.0,
241,22201190000NB,5.2,5.3,,221190000337,6.0,
242,22201190000NB,5.3,5.4,,221190000337,6.0,
253,22201190000NB,4.62,4.7,,221190000337,6.0,
254,22201190000NB,4.6,4.62,,221190000337,6.0,
257,20201190000NB,11.8,11.9,,201190001134,6.0,
258,20201190000NB,11.9,12.0,,201190001134,6.0,
259,20201190000NB,12.0,12.0972,,201190001134,6.0,
260,20201190000NB,12.1,12.2,,201190001134,6.0,
261,20201190000NB,11.64,11.7,,201190001134,6.0,
262,20201190000NB,11.7,11.759,,201190001134,6.0,
263,20201190000NB,11.759,11.8,,201190001134,6.0,
264,20201190000NB,12.2,12.2462,,201190001134,6.0,
265,20201190000NB,12.0972,12.1,,201190001134,6.0,
266,20100770016NB,91.5,91.6,,200770008950,6.0,
267,20100770016NB,94.435,94.4982,,200770009443,6.0,
268,20100770016NB,93.8,93.9,,200770009331,6.0,
269,20100770016NB,94.0,94.1,,200770009393,6.0,
270,20100770016NB,94.3,94.4,,200770009393,6.0,
271,20100770016NB,93.7,93.8,,200770009331,6.0,
272,20100770016NB,93.5,93.6,,200770009331,6.0,
273,20100770016NB,93.31,93.4,,200770009331,6.0,
274,20100770016NB,93.4,93.5,,200770009331,6.0,
275,20100770016NB,93.2,93.3,,200770008950,6.0,
276,20100770016NB,93.1,93.2,,200770008950,6.0,
277,20100770016NB,93.0,93.1,,200770008950,6.0,
278,20100770016NB,92.9,93.0,,200770008950,6.0,
279,20100770016NB,92.8,92.9,,200770008950,6.0,
280,20100770016NB,92.7,92.8,,200770008950,6.0,
281,20100770016NB,92.6,92.7,,200770008950,6.0,
282,20100770016NB,92.5,92.6,,200770008950,6.0,
283,20100770016NB,92.4,92.5,,200770008950,6.0,
284,20100770016NB,92.3,92.4,,200770008950,6.0,
285,20100770016NB,92.2,92.3,,200770008950,6.0,
286,20100770016NB,92.1,92.2,,200770008950,6.0,
287,20100770016NB,92.0,92.1,,200770008950,6.0,
288,20100770016NB,91.9,92.0,,200770008950,6.0,
289,20100770016NB,91.8,91.9,,200770008950,6.0,
290,20100770016NB,91.6,91.7,,200770008950,6.0,
291,20100770016NB,91.7,91.8,,200770008950,6.0,
292,20100770016NB,91.4,91.5,,200770008950,6.0,
293,20100770016NB,91.3,91.4,,200770008950,6.0,
294,20100770016NB,91.2,91.3,,200770008950,6.0,
295,20100770016NB,91.1,91.2,,200770008950,6.0,
296,20100770016NB,90.9,91.0,,200770008950,6.0,
297,20100770016NB,90.5,90.6,,200770008950,6.0,
298,20100770016NB,90.4,90.5,,200770008950,6.0,
299,20100770016NB,90.1,90.2,,200770008950,6.0,
300,20100770016NB,89.9,90.0,,200770008950,6.0,
301,20100770016NB,89.8,89.9,,200770008950,6.0,
302,20100770016NB,89.5,89.6,,200770008950,6.0,
303,20100770000NB,95.9,96.0,,200770009587,6.0,
304,20100770000NB,96.0,96.1,,200770009587,6.0,
305,20100770016NB,89.3,89.396,,200770008918,6.0,
306,20100770016NB,90.809,90.9,,200770008950,6.0,
307,20100770016NB,90.2,90.278,,200770008950,6.0,
308,20100770016NB,90.304,90.4,,200770008950,6.0,
309,20100770016NB,93.93,94.0,,200770009393,6.0,
310,20100770016NB,94.1,94.1324,,200770009393,6.0,
311,20100770016NB,90.7425,90.8,,200770008950,3.0,
312,20100770016NB,90.7,90.7425,,200770008950,3.0,
