,RouteId,BeginPoint,EndPoint,YearLastConstructionVd,SampleId,SurfaceTypeVn
0,30200520000EB,21.2192,21.3,,300520002106,6
1,30200520000EB,21.3,21.4,,300520002106,6
2,30200520000EB,21.5,21.6,,300520002106,6
3,30200520000EB,21.114,21.2,,300520002106,6
4,30200520000EB,20.8019,20.86,,300520002078,6
5,30200520000EB,21.06,21.09,,300520002106,6
6,30200520000EB,21.4,21.44,,300520002106,6
7,30200520000EB,20.86,20.9,,300520002078,6
8,30200520000EB,21.7,21.7366,,300520002106,6
9,30200520000EB,21.6211,21.6701,,300520002106,6
10,30200520000EB,21.4468,21.5,,300520002106,6
11,30200520000EB,21.6,21.6211,,300520002106,6
12,30200520000EB,20.6808,20.7,,300520002068,6
13,30200520000EB,20.7,20.7542,,300520002068,6
14,30200520000EB,21.6701,21.7,,300520002106,6
15,30200520000EB,21.2063,21.2192,,300520002106,6
16,30200520000EB,20.7564,20.78,,300520002068,6
17,30200520000EB,20.78,20.8,,300520002078,6
18,30200520000EB,20.9,20.91,,300520002078,6
19,30200520000EB,21.1,21.114,,300520002106,6
20,30200520000EB,21.44,21.4468,,300520002106,6
21,30200520000EB,21.09,21.1,,300520002106,6
22,30200520000EB,21.2,21.2063,,300520002106,6
23,30200520000EB,20.7542,20.7564,,300520002068,6
24,30200520000EB,20.8,20.8019,,300520002078,6
25,30200520000EB,20.68,20.6808,,300520002068,6
26,3030080000000,4.6,4.66,,300800000460,6
27,3030080000000,4.75,4.8,,300800000460,6
28,3030080000000,4.8,4.82,,300800000460,6
29,3030080000000,4.7,4.75,,300800000460,6
30,3030080000000,4.82,4.84,,300800000460,6
31,3030080000000,4.66,4.7,,300800000460,6
32,30200520000EB,22.1,22.2,,300052002197,6
33,30200520000EB,22.0,22.1,,300052002197,6
34,30200520000EB,21.8,21.9,,300520002106,6
35,30200520000EB,21.7366,21.7989,,300520002106,6
36,30200520000EB,22.2,22.2716,,300052002197,6
37,30200520000EB,21.97,22.0,,300052002197,6
38,30200520000EB,21.9056,21.95,,300520002106,6
39,30200520000EB,22.2716,22.28,,300052002197,6
40,30200520000EB,21.9,21.9056,,300520002106,6
41,30200520000EB,21.7989,21.8,,300520002106,6
42,30200520000EB,44.2,44.3,,300520004329,3
43,30200520000EB,44.0,44.1,,300520004329,3
44,30200520000EB,44.1,44.2,,300520004329,3
45,30200520000EB,44.5,44.6,,300520004329,3
46,30200520000EB,44.3,44.4,,300520004329,3
47,30200520000EB,44.4,44.5,,300520004329,3
48,23200520000EB,0.0,0.1,,230520000000,6
49,30200520000EB,43.3,43.4,,300520004329,3
50,30200520000EB,43.4,43.5,,300520004329,3
51,30200520000EB,43.5,43.6,,300520004329,3
52,30200520000EB,43.6,43.7,,300520004329,3
53,30200520000EB,43.7,43.8,,300520004329,6
54,30200520000EB,43.9,44.0,,300520004329,3
55,30200520000EB,44.6,44.6898,,300520004329,6
56,23200520000EB,0.3,0.4,,230520000000,6
57,23200520000EB,0.1,0.2,,230520000000,6
58,23200520000EB,0.2,0.3,,230520000000,6
59,30200520000EB,43.8,43.9,,300520004329,3
60,23200520000EB,0.4,0.43,,230520000000,6
61,30200520000EB,44.7,44.74,,300520004329,6
62,30200520000EB,43.29,43.3,,300520004329,3
63,30200520000EB,44.6898,44.7,,300520004329,6
64,3030080000000,4.84,4.9,,300800000460,6
65,3030080000000,4.9,5.0,,300800000460,6
66,3030080000000,5.0,5.1,,300800000460,6
67,3030080000000,5.1,5.2,,300800000460,6
68,3030080000000,5.2,5.3,,300800000460,6
69,3030080000000,5.3078,5.4,,300800000460,6
70,3030080000000,5.4,5.5,,300800000460,6
71,3030080000000,5.5,5.6,,300800000460,6
72,3030080000000,5.3,5.3078,,300800000460,6
73,2330010000000,10.7,10.76,,230001001058,3
74,2330010000000,10.6,10.7,,230001001058,3
75,2330010000000,10.58,10.6,,230001001058,3
76,50100640000EB,1.265,1.2845,,500640000125,6
77,50100640000EB,1.25,1.265,,500640000125,6
78,50100640000EB,1.2845,1.29,,500640000125,6
79,0630527000100,0.0,0.0962,,06527A000000,6
80,06200520000EB,0.01,0.1,,060520000001,3
81,06200520000EB,0.1,0.2,,060520000001,3
82,06200520000EB,0.2,0.3,,060520000001,3
83,0630527000100,0.1,0.19,,06527A000000,6
84,0630527000100,0.2409,0.29,,06527A000019,6
85,0630527000000,0.9353,0.98,,065270000088,6
86,0630527000100,0.3366,0.3814,,06527A000019,6
87,06200600000EB,3.17,3.2,,060600000317,6
88,06200600000EB,3.2,3.2651,,060600000317,6
89,0630527000000,0.9,0.9353,,065270000088,6
90,0630527000100,0.3,0.3366,,06527A000019,6
91,0630527000100,0.2,0.2409,,06527A000019,6
92,06200520000EB,0.3,0.33,,060520000001,6
93,0630527000000,0.89,0.9,,065270000088,6
94,0630527000100,0.3814,0.39,,06527A000019,6
95,06200600000EB,3.2651,3.27,,060600000317,6
96,0630527000100,0.19,0.1931,,06527A000019,6
97,0630527000100,0.29,0.3,,06527A000019,6
98,0630527000100,0.1931,0.2,,06527A000019,6
99,0630527000100,0.0962,0.1,,06527A000000,6
100,0630010000000,17.21,17.25,,060100001721,6
101,0630010000000,17.25,17.3,,060100001721,6
