,RouteId,BeginPoint,EndPoint,LastOverlayThicknessVn,SampleId,SurfaceTypeVn
0,18100770000NB,153.9,154.0,,180770015379,6.0
1,18100770000NB,154.2,154.3,,180770015379,6.0
2,18100770000NB,155.9,156.0,,180770015441,6.0
3,18100770000NB,153.8,153.9,,180770015379,6.0
4,18100770000NB,154.1,154.2,,180770015379,6.0
5,18100770000NB,154.5,154.6,,180770015441,6.0
6,18100770000NB,154.7,154.7595,,180770015441,6.0
7,18100770000NB,154.8,154.9,,180770015441,6.0
8,18100770000NB,155.3,155.4,,180770015441,6.0
9,18100770000NB,155.4,155.5,,180770015441,6.0
10,18100770000NB,155.5,155.6,,180770015441,6.0
11,18100770000NB,155.6,155.7,,180770015441,6.0
12,18100770000NB,155.7,155.8,,180770015441,6.0
13,18100770000NB,155.8,155.9,,180770015441,6.0
14,18100770000NB,155.0,155.1,,180770015441,6.0
15,18100770000NB,155.1,155.2,,180770015441,6.0
16,18100770000NB,155.2,155.3,,180770015441,6.0
17,18100770000NB,154.9,154.969,,180770015441,6.0
18,18100770000NB,154.41,154.45,,180770015441,6.0
19,18100770000NB,154.0,154.0478,,180770015379,6.0
20,18100770000NB,154.0478,154.1,,180770015379,6.0
21,18100770000NB,154.45,154.5,,180770015441,6.0
22,18100770000NB,154.6,154.6633,,180770015441,6.0
23,18100770000NB,154.3,154.351,,180770015379,6.0
24,18100770000NB,154.6633,154.7,,180770015441,6.0
25,18100770000NB,154.7595,154.8,,180770015441,6.0
26,18100770000NB,154.3581,154.381,,180770015379,6.0
27,18100770000NB,154.381,154.4,,180770015379,6.0
28,18100770000NB,154.973,155.0,,180770015441,6.0
29,18100770000NB,153.79,153.8,,180770015379,6.0
30,18100770000NB,154.4,154.41,,180770015379,6.0
31,18100770000NB,156.0,156.01,,180770015441,6.0
32,18100770000NB,154.351,154.3581,,180770015379,6.0
33,18100770000NB,154.97,154.973,,180770015441,6.0
34,18100770000NB,154.969,154.97,,180770015441,6.0
35,18100770000NB,156.2,156.3,,180770015601,6.0
36,18100770000NB,156.3,156.4,,180770015601,6.0
37,18100770000NB,156.5,156.6,,180770015601,6.0
38,18100770000NB,156.7,156.8,,180770015601,6.0
39,18100770000NB,156.8,156.9,,180770015601,6.0
40,18100770000NB,156.9,156.99,,180770015601,6.0
41,18100770000NB,156.1,156.2,,180770015601,6.0
42,18100770000NB,156.4,156.4816,,180770015601,6.0
43,18100770000NB,156.6,156.7,,180770015601,6.0
44,18100770000NB,156.01,156.1,,180770015601,6.0
45,18100770000NB,156.4816,156.5,,180770015601,6.0
47,42200330000EB,8.0,8.05,,420330000776,3.0
48,42200330000EB,7.8,7.892,,420330000776,3.0
49,42200330000EB,7.9,7.94,,420330000776,3.0
50,42200330000EB,7.76,7.8,,420330000776,3.0
51,42200330000EB,7.94,7.97,,420330000776,3.0
52,42200330000EB,7.97,8.0,,420330000776,3.0
53,42200330000EB,7.892,7.9,,420330000776,3.0
54,12200480000EB,0.0,0.1,,120480000000,3.0
55,12200480000EB,0.1,0.2,,120480000000,3.0
56,12200480000EB,0.2,0.3,,120480000000,3.0
57,12200480000EB,0.3,0.4,,120480000000,3.0
58,12200480000EB,0.4,0.5,,120480000000,3.0
59,12200480000EB,0.5,0.6,,120480000000,3.0
60,12200480000EB,0.6,0.7,,120480000000,3.0
61,12200480000EB,1.0,1.1,,120480000000,3.0
62,12200480000EB,1.1,1.2,,120480000000,3.0
63,12200480000EB,0.9,1.0,,120480000000,3.0
64,12200480000EB,0.8,0.9,,120480000000,3.0
65,12200480000EB,1.2,1.3,,120480000000,3.0
66,12200480000EB,0.7,0.7485,,120480000000,3.0
67,12200480000EB,0.7485,0.8,,120480000000,3.0
68,12200480000EB,2.6,2.7,,120480000000,3.0
69,12200480000EB,3.7,3.8,,120480000000,3.0
70,12200480000EB,4.0,4.1,,120480000000,3.0
71,12200480000EB,4.7,4.8,,120480000000,3.0
72,12200480000EB,5.0,5.1,,120480000000,3.0
73,12200480000EB,5.7,5.8,,120480000000,3.0
74,12200480000EB,2.0,2.1,,120480000000,3.0
75,12200480000EB,2.3,2.4,,120480000000,3.0
76,12200480000EB,3.1,3.2,,120480000000,3.0
77,12200480000EB,3.4,3.5,,120480000000,3.0
78,12200480000EB,4.434,4.5,,120480000000,3.0
79,12200480000EB,4.8,4.87,,120480000000,3.0
80,12200480000EB,3.0,3.1,,120480000000,3.0
81,12200480000EB,3.5,3.6,,120480000000,3.0
82,12200480000EB,3.6,3.7,,120480000000,3.0
83,12200480000EB,3.8,3.9,,120480000000,3.0
84,12200480000EB,3.9,4.0,,120480000000,3.0
85,12200480000EB,4.1,4.2,,120480000000,3.0
86,12200480000EB,4.2,4.3,,120480000000,3.0
87,12200480000EB,4.3,4.4,,120480000000,3.0
88,12200480000EB,5.4,5.5,,120480000000,3.0
89,12200480000EB,5.5,5.6,,120480000000,3.0
90,12200480000EB,5.6,5.7,,120480000000,3.0
91,12200480000EB,1.4,1.5,,120480000000,3.0
92,12200480000EB,1.6,1.678,,120480000000,3.0
93,12200480000EB,1.7,1.8,,120480000000,3.0
94,12200480000EB,4.5,4.6,,120480000000,3.0
95,12200480000EB,4.6,4.7,,120480000000,3.0
96,12200480000EB,4.9,5.0,,120480000000,3.0
97,12200480000EB,5.1,5.2,,120480000000,3.0
98,12200480000EB,1.8,1.9,,120480000000,3.0
99,12200480000EB,1.9,1.948,,120480000000,3.0
