,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
0,50100640017WB0001D,0.0275,0.327,,4,1
1,50100640017EB0001A,0.0,0.308,,4,1
2,50100640017EB0001B,0.0,0.161,,4,1
3,50100640017WB0001H,0.0,0.039,,4,1
4,50100640017WB0001D,0.0,0.0275,,4,1
5,06100640017EB0006B,0.1305,0.472,,4,1
6,06100640017EB0008A,0.0,0.2264,,4,1
7,06100640017WB0006C,0.0,0.218,,4,1
8,06100640017WB0008C,0.0,0.156,,4,1
9,06100640017WB0008D,0.0264,0.229,,4,1
10,06100640017EB0006B,0.0,0.1184,,4,1
11,06100640017EB0008A,0.2264,0.294,,4,1
12,06100640017EB0008B,0.0,0.0947,,4,1
13,06100640017EB0008B,0.0947,0.235,,4,1
14,06100640017EB0008E,0.0,0.035,,4,1
15,06100640017EB0008F,0.0,0.037,,4,1
16,06100640017WB0008G,0.0,0.064,,4,1
17,06100640017WB0008L,0.0,0.082,,4,1
18,06100640017WB0008C,0.156,0.192,,4,1
19,06100640017WB0008H,0.0,0.025,,4,1
20,06100640017WB0008D,0.0,0.0264,,4,1
21,06100640017EB0006B,0.1184,0.1305,,4,1
22,06100640017WB0011C,0.0,0.2726,,4,1
23,06100640017EB0011A,0.0,0.263,,4,1
24,06100640017WB0011D,0.036,0.371,,4,1
25,06100640017EB0011B,0.0,0.24,,4,1
26,06100640017WB0011C,0.2726,0.411,,4,1
27,06100640017EB0011A,0.263,0.293,,4,1
28,06100640017WB0011G,0.0,0.013,,4,1
29,06100640017WB0011D,0.014,0.036,,4,1
30,06100640017WB0011D,0.0,0.0098,,4,1
31,06100640017EB0011A,0.293,0.298,,4,1
32,06100640017WB0011D,0.0098,0.014,,4,1
33,06100640017EB0015A,0.0,0.2188,,4,1
34,06100640017EB0015B,0.0718,0.273,,4,1
35,06100640017WB0015C,0.0,0.2309,,4,1
36,06100640017WB0015C,0.2309,0.386,,4,1
37,06100640017WB0015D,0.0607,0.281,,4,1
38,06100640017WB0018C,0.0,0.284,,4,1
39,06100640017EB0018B,0.0118,0.197,,4,1
40,06100640017WB0018D,0.0124,0.177,,4,1
41,06100640017EB0018A,0.0,0.222,,4,1
42,06100640017EB0015A,0.2188,0.33,,4,1
43,06100640017EB0015E,0.0,0.08,,4,1
44,06100640017WB0015G,0.0,0.09,,4,1
45,06100640017WB0015D,0.0,0.0607,,4,1
46,06100640017EB0015B,0.0,0.0718,,4,1
47,06100640017EB0015F,0.0,0.044,,4,1
48,06100640017WB0015H,0.0,0.036,,4,1
49,06100640017WB0018D,0.0,0.0124,,4,1
50,06100640017EB0018A,0.228,0.244,,4,1
51,06100640017EB0018B,0.0,0.0118,,4,1
52,06100640017EB0018A,0.222,0.228,,4,1
53,20100770017NB0095A,0.0,0.1276,,4,1
54,20100770017NB0095B,0.5935,0.881,,4,1
55,20100770017SB0095C,0.0,0.2488,,4,1
56,20100770017SB0095C,0.2488,0.3852,,4,1
57,20100770017SB0095D,0.0,0.2026,,4,1
58,20100770017SB0095D,0.2026,0.577,,4,1
59,20100770017SB0089C,0.0735,0.269,,4,1
60,20100770017NB0089B,0.0,0.1805,,4,1
61,20100770017NB0095A,0.541,0.6868,,4,1
