,Year_Record,State_Code,ROUTEID,BMP,EMP,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,F_System,1.7,3,,,
1,01/01/2022,54,01200330000EB,1.7,3.9,F_System,2.2,3,,,
2,01/01/2022,54,01200330000EB,3.9,4.43,F_System,0.53,3,,,
3,01/01/2022,54,01200330000WB,0.0,1.7,F_System,1.7,3,,,
4,01/01/2022,54,01200330000WB,1.7,3.9,F_System,2.2,3,,,
5,01/01/2022,54,01200330000WB,3.9,4.43,F_System,0.53,3,,,
6,01/01/2022,54,01201190000NB,0.0,18.68,F_System,18.68,4,,,
7,01/01/2022,54,01201190000SB,0.0,18.68,F_System,18.68,4,,,
8,01/01/2022,54,01202500000NB,0.0,5.3,F_System,5.3,4,,,
9,01/01/2022,54,01202500000NB,5.3,5.78,F_System,0.48,4,,,
10,01/01/2022,54,01202500000NB,5.78,17.31,F_System,11.53,4,,,
11,01/01/2022,54,01202500000SB,0.0,4.86,F_System,4.86,4,,,
12,01/01/2022,54,01202500000SB,4.86,5.78,F_System,0.92,4,,,
13,01/01/2022,54,01202500000SB,5.78,17.31,F_System,11.53,4,,,
14,01/01/2022,54,01202500002NB,0.0,0.033,F_System,0.033,4,,,
15,01/01/2022,54,01202500002SB,0.0,0.033,F_System,0.033,4,,,
16,01/01/2022,54,01202500013NB,0.0,0.82,F_System,0.82,5,,,
17,01/01/2022,54,01202500013SB,0.0,0.82,F_System,0.82,5,,,
18,01/01/2022,54,0130020000000,0.0,3.94,F_System,3.94,4,,,
19,01/01/2022,54,0130038000000,0.0,2.7,F_System,2.7,5,,,
20,01/01/2022,54,0130038000000,2.7,2.73,F_System,0.03,5,,,
21,01/01/2022,54,0130038000000,2.73,12.0,F_System,9.27,5,,,
22,01/01/2022,54,0130057000000,0.0,9.63,F_System,9.63,5,,,
23,01/01/2022,54,0130076000000,0.0,6.62,F_System,6.62,5,,,
24,01/01/2022,54,0130092000000,5.43,9.265,F_System,3.835,5,,,
25,01/01/2022,54,0130092000000,9.265,11.14,F_System,1.875,5,,,
26,01/01/2022,54,0130092000000,11.14,11.21,F_System,0.07,5,,,
27,01/01/2022,54,0130092000000,11.21,14.565,F_System,3.355,5,,,
28,01/01/2022,54,0130092000000,14.565,16.84,F_System,2.275,5,,,
29,01/01/2022,54,0130092000000,17.21,26.93,F_System,9.72,5,,,
30,01/01/2022,54,0130092000000,26.93,26.94,F_System,0.01,5,,,
31,01/01/2022,54,0140001000000,0.0,3.96,F_System,3.96,7,,,
32,01/01/2022,54,0140001010000,0.0,0.43,F_System,0.43,7,,,
33,01/01/2022,54,0140001010000,0.43,4.24,F_System,3.81,7,,,
34,01/01/2022,54,0140002000000,0.0,1.86,F_System,1.86,7,,,
35,01/01/2022,54,0140002000000,1.86,3.43,F_System,1.57,7,,,
36,01/01/2022,54,0140002020000,0.0,1.8,F_System,1.8,7,,,
37,01/01/2022,54,0140002020000,1.8,3.35,F_System,1.55,7,,,
38,01/01/2022,54,0140002030000,0.0,0.84,F_System,0.84,7,,,
39,01/01/2022,54,0140002040000,0.0,2.74,F_System,2.74,7,,,
40,01/01/2022,54,0140003000000,0.0,1.52,F_System,1.52,7,,,
41,01/01/2022,54,0140003000000,1.52,3.22,F_System,1.7,7,,,
42,01/01/2022,54,0140003010000,1.04,1.28,F_System,0.24,7,,,
43,01/01/2022,54,0140003010000,1.28,1.7,F_System,0.42,7,,,
44,01/01/2022,54,0140003020000,0.0,0.13,F_System,0.13,7,,,
45,01/01/2022,54,0140003020000,1.33,1.64,F_System,0.31,7,,,
46,01/01/2022,54,0140004000000,0.0,2.2,F_System,2.2,7,,,
47,01/01/2022,54,0140004010000,0.0,1.17,F_System,1.17,7,,,
48,01/01/2022,54,0140004020000,0.0,0.7,F_System,0.7,7,,,
49,01/01/2022,54,0140004030000,0.0,0.08,F_System,0.08,7,,,
50,01/01/2022,54,0140005000000,0.0,0.11,F_System,0.11,7,,,
51,01/01/2022,54,0140005000000,0.11,1.5,F_System,1.39,7,,,
52,01/01/2022,54,0140005000000,1.5,1.96,F_System,0.46,7,,,
53,01/01/2022,54,0140005000000,1.96,3.56,F_System,1.6,7,,,
54,01/01/2022,54,0140005010000,0.0,0.99,F_System,0.99,7,,,
55,01/01/2022,54,0140005020000,0.0,1.46,F_System,1.46,7,,,
56,01/01/2022,54,0140005030000,0.0,0.36,F_System,0.36,7,,,
57,01/01/2022,54,0140005030000,0.36,0.89,F_System,0.53,7,,,
58,01/01/2022,54,0140005040000,0.0,1.99,F_System,1.99,7,,,
59,01/01/2022,54,0140005060000,0.0,0.79,F_System,0.79,7,,,
60,01/01/2022,54,0140005070000,0.0,1.5,F_System,1.5,7,,,
61,01/01/2022,54,0140005080000,0.0,1.09,F_System,1.09,7,,,
62,01/01/2022,54,0140005080000,1.09,2.5,F_System,1.41,7,,,
63,01/01/2022,54,0140005090000,0.0,0.85,F_System,0.85,7,,,
64,01/01/2022,54,0140005100000,0.0,1.46,F_System,1.46,7,,,
65,01/01/2022,54,0140005110000,0.0,0.1,F_System,0.1,7,,,
66,01/01/2022,54,0140006000000,0.0,5.65,F_System,5.65,5,,,
67,01/01/2022,54,0140006000000,5.65,5.78,F_System,0.13,7,,,
68,01/01/2022,54,0140006000000,5.78,6.18,F_System,0.4,7,,,
69,01/01/2022,54,0140006000000,6.18,6.69,F_System,0.51,7,,,
70,01/01/2022,54,0140006030000,0.0,1.15,F_System,1.15,7,,,
71,01/01/2022,54,0140006050000,0.0,0.18,F_System,0.18,7,,,
72,01/01/2022,54,0140006050000,0.18,0.81,F_System,0.63,7,,,
73,01/01/2022,54,0140006060000,0.0,1.46,F_System,1.46,7,,,
74,01/01/2022,54,0140007000000,0.0,5.39,F_System,5.39,5,,,
75,01/01/2022,54,0140007000000,5.39,6.98,F_System,1.59,7,,,
76,01/01/2022,54,0140007000000,6.98,8.54,F_System,1.56,7,,,
77,01/01/2022,54,0140007000000,8.54,11.41,F_System,2.87,7,,,
78,01/01/2022,54,0140007020000,0.0,0.42,F_System,0.42,7,,,
