35_NAT_FUNCTIONAL_CLASS,36_NHS,RouteID,BMP,EMP,F_SYSTEM,label
14,1.0,2071054001900,0.0,3.71,3,FANS 1054
2,1.0,38202190000NB,0.0,42.28,3,US 219
14,1.0,20200600000EB,2.44,14.84,3,US 60
14,1.0,20200600000EB,18.64,20.83,3,US 60
14,1.0,20200600000EB,21.97,37.72,3,US 60
2,1.0,20200600000EB,37.72,44.55,3,US 60
14,1.0,20301140000SB,0.23,0.39,3,WV 114
14,2.0,20301140000SB,0.39,1.98,3,WV 114
2,1.0,2430083000000,0.0,18.05,3,WV 83
1,1.0,20100770016SB,67.21,78.008,1,I 77
11,1.0,20100770016SB,78.008,95.34,1,I 77
2,1.0,2630002000000,0.0,17.918,3,WV 2
14,1.0,2630002000000,17.918,20.16,3,WV 2
14,1.0,3530088000000,6.18,10.64,3,WV 88
14,1.0,20300610006EB,0.0,0.19,3,WV 61
14,1.0,20300610000SB,21.2,26.32,3,WV 61
14,4.0,20300610000SB,26.32,27.01,3,WV 61
14,1.0,20300610000SB,27.01,28.44,3,WV 61
14,1.0,2030061000000,21.2,26.32,3,WV 61
14,4.0,2030061000000,26.32,27.01,3,WV 61
14,1.0,2030061000000,27.01,28.44,3,WV 61
14,1.0,3130705000000,0.0,3.55,3,WV 705
11,1.0,06100640000EB,5.87,31.77,1,I 64
2,1.0,2930972000000,0.0,2.19,3,WV 972
1,1.0,41100770016NB,27.26,28.969,1,I 77
11,1.0,41100770016NB,28.969,48.34,1,I 77
1,1.0,41100770016NB,48.34,52.58,1,I 77
2,1.0,28200520018EB,0.0,0.2,3,US 52
2,1.0,09200500000EB,0.0,18.87,3,US 50
11,1.0,31100680004NB,0.0,0.84,1,I 68
11,1.0,20100790000NB,0.0,7.476,1,I 79
1,1.0,20100790000NB,7.476,21.28,1,I 79
2,1.0,5230007000000,35.64,37.19,3,WV 7
11,1.0,50100640000EB,0.0,5.87,1,I 64
2,1.0,24200520003WB,0.0,0.06,3,US 52
2,1.0,24200520003WB,0.12,0.2,3,US 52
14,1.0,0630002001300,0.0,0.39,3,WV 2
2,1.0,49200330000EB,0.0,0.64,3,US 33
14,1.0,49200330000EB,0.64,7.192,3,US 33
2,1.0,49200330000EB,7.192,15.4,3,US 33
2,1.0,5230002000000,0.0,4.442,3,WV 2
14,1.0,5230002000000,4.442,11.655,3,WV 2
2,1.0,5230002000000,11.655,12.12,3,WV 2
11,1.0,02100810000NB,0.0,26.0,1,I 81
14,1.0,3140857000000,6.21,7.39,3,CO 857
14,1.0,50200520018WB,0.0,0.12,3,US 52
14,1.0,35200400003EB,0.0,0.1,3,US 40
2,1.0,1830002000000,0.0,11.28,3,WV 2
2,1.0,1830002000000,13.53,13.88,3,WV 2
11,1.0,40100640000WB,31.77,41.53,1,I 64
1,1.0,40100640000WB,41.53,42.764,1,I 64
11,1.0,40100640000WB,42.764,45.39,1,I 64
14,1.0,23300730000WB,0.08,2.28,3,WV 73
14,1.0,23300730000WB,2.28,2.87,3,WV 73
2,1.0,52202500000SB,1.18,11.07,3,US 250
11,1.0,41100640017WB,0.0,0.82,1,I 64
14,1.0,50200600000EB,0.0,5.6,3,US 60
14,1.0,06305270000NB,0.0,0.37,3,WV 527
