ROUTEID,BMP,EMP,F_SYSTEM,NHS,NN,STRAHNET_TYPE,hash
01200330000EB,0.0,1.7,3.0,1.0,,,01200330000EB-0.0-1.7
01200330000EB,0.0,4.43,,,2.0,,01200330000EB-0.0-4.43
01200330000EB,1.7,3.9,3.0,1.0,,,01200330000EB-1.7-3.9
01200330000EB,3.9,4.43,3.0,1.0,,,01200330000EB-3.9-4.43
01200330000WB,0.0,1.7,3.0,1.0,,,01200330000WB-0.0-1.7
01200330000WB,1.7,3.9,3.0,1.0,,,01200330000WB-1.7-3.9
01200330000WB,3.9,4.43,3.0,1.0,,,01200330000WB-3.9-4.43
01201190000NB,0.0,18.68,4.0,,,,01201190000NB-0.0-18.68
01201190000NB,9.29,11.61,,,2.0,,01201190000NB-9.29-11.61
01201190000SB,0.0,18.68,4.0,,,,01201190000SB-0.0-18.68
01202500000NB,0.0,5.3,4.0,,2.0,,01202500000NB-0.0-5.3
01202500000NB,5.3,5.78,4.0,,2.0,,01202500000NB-5.3-5.78
01202500000NB,5.78,17.15,,,2.0,,01202500000NB-5.78-17.15
01202500000NB,5.78,17.31,4.0,,,,01202500000NB-5.78-17.31
01202500000SB,0.0,4.86,4.0,,,,01202500000SB-0.0-4.86
01202500000SB,4.86,5.78,4.0,,,,01202500000SB-4.86-5.78
01202500000SB,5.78,17.31,4.0,,,,01202500000SB-5.78-17.31
01202500002NB,0.0,0.033,4.0,,2.0,,01202500002NB-0.0-0.033
01202500002SB,0.0,0.033,4.0,,,,01202500002SB-0.0-0.033
01202500013NB,0.0,0.82,5.0,,,,01202500013NB-0.0-0.82
01202500013SB,0.0,0.82,5.0,,,,01202500013SB-0.0-0.82
0130020000000,0.0,3.94,4.0,,,,0130020000000-0.0-3.94
0130038000000,0.0,2.7,5.0,,,,0130038000000-0.0-2.7
0130038000000,2.7,2.73,5.0,,,,0130038000000-2.7-2.73
0130038000000,2.73,12.0,5.0,,,,0130038000000-2.73-12.0
0130057000000,0.0,9.63,5.0,,,,0130057000000-0.0-9.63
0130076000000,0.0,6.62,5.0,,,,0130076000000-0.0-6.62
0130092000000,5.43,9.265,5.0,,,,0130092000000-5.43-9.265
0130092000000,9.265,11.14,5.0,,,,0130092000000-9.265-11.14
0130092000000,11.14,11.21,5.0,,,,0130092000000-11.14-11.21
0130092000000,11.21,14.565,5.0,,,,0130092000000-11.21-14.565
0130092000000,14.565,16.84,5.0,,,,0130092000000-14.565-16.84
0130092000000,17.21,26.93,5.0,,,,0130092000000-17.21-26.93
0130092000000,26.93,26.94,5.0,,,,0130092000000-26.93-26.94
0140001000000,0.0,3.96,7.0,,,,0140001000000-0.0-3.96
0140001010000,0.0,0.43,7.0,,,,0140001010000-0.0-0.43
0140001010000,0.43,4.24,7.0,,,,0140001010000-0.43-4.24
0140002000000,0.0,1.86,7.0,,,,0140002000000-0.0-1.86
0140002000000,1.86,3.43,7.0,,,,0140002000000-1.86-3.43
0140002020000,0.0,1.8,7.0,,,,0140002020000-0.0-1.8
0140002020000,1.8,3.35,7.0,,,,0140002020000-1.8-3.35
0140002030000,0.0,0.84,7.0,,,,0140002030000-0.0-0.84
0140002040000,0.0,2.74,7.0,,,,0140002040000-0.0-2.74
0140003000000,0.0,1.52,7.0,,,,0140003000000-0.0-1.52
0140003000000,1.52,3.22,7.0,,,,0140003000000-1.52-3.22
0140003010000,1.04,1.28,7.0,,,,0140003010000-1.04-1.28
0140003010000,1.28,1.7,7.0,,,,0140003010000-1.28-1.7
0140003020000,0.0,0.13,7.0,,,,0140003020000-0.0-0.13
0140003020000,1.33,1.64,7.0,,,,0140003020000-1.33-1.64
0140004000000,0.0,2.2,7.0,,,,0140004000000-0.0-2.2
0140004010000,0.0,1.17,7.0,,,,0140004010000-0.0-1.17
0140004020000,0.0,0.7,7.0,,,,0140004020000-0.0-0.7
0140004030000,0.0,0.08,7.0,,,,0140004030000-0.0-0.08
0140005000000,0.0,0.11,7.0,,,,0140005000000-0.0-0.11
0140005000000,0.11,1.5,7.0,,,,0140005000000-0.11-1.5
0140005000000,1.5,1.96,7.0,,,,0140005000000-1.5-1.96
0140005000000,1.96,3.56,7.0,,,,0140005000000-1.96-3.56
0140005010000,0.0,0.99,7.0,,,,0140005010000-0.0-0.99
0140005020000,0.0,1.46,7.0,,,,0140005020000-0.0-1.46
0140005030000,0.0,0.36,7.0,,,,0140005030000-0.0-0.36
0140005030000,0.36,0.89,7.0,,,,0140005030000-0.36-0.89
0140005040000,0.0,1.99,7.0,,,,0140005040000-0.0-1.99
0140005060000,0.0,0.79,7.0,,,,0140005060000-0.0-0.79
0140005070000,0.0,1.5,7.0,,,,0140005070000-0.0-1.5
0140005080000,0.0,1.09,7.0,,,,0140005080000-0.0-1.09
0140005080000,1.09,2.5,7.0,,,,0140005080000-1.09-2.5
0140005090000,0.0,0.85,7.0,,,,0140005090000-0.0-0.85
0140005100000,0.0,1.46,7.0,,,,0140005100000-0.0-1.46
0140005110000,0.0,0.1,7.0,,,,0140005110000-0.0-0.1
0140006000000,0.0,5.65,5.0,,,,0140006000000-0.0-5.65
0140006000000,5.65,5.78,7.0,,,,0140006000000-5.65-5.78
0140006000000,5.78,6.18,7.0,,,,0140006000000-5.78-6.18
0140006000000,6.18,6.69,7.0,,,,0140006000000-6.18-6.69
0140006030000,0.0,1.15,7.0,,,,0140006030000-0.0-1.15
0140006050000,0.0,0.18,7.0,,,,0140006050000-0.0-0.18
0140006050000,0.18,0.81,7.0,,,,0140006050000-0.18-0.81
0140006060000,0.0,1.46,7.0,,,,0140006060000-0.0-1.46
0140007000000,0.0,5.39,5.0,,,,0140007000000-0.0-5.39
0140007000000,5.39,6.98,7.0,,,,0140007000000-5.39-6.98
0140007000000,6.98,8.54,7.0,,,,0140007000000-6.98-8.54
0140007000000,8.54,11.41,7.0,,,,0140007000000-8.54-11.41
0140007020000,0.0,0.42,7.0,,,,0140007020000-0.0-0.42
0140007020000,2.54,3.25,7.0,,,,0140007020000-2.54-3.25
0140007020000,3.25,3.34,7.0,,,,0140007020000-3.25-3.34
0140007040000,0.0,0.31,7.0,,,,0140007040000-0.0-0.31
0140007040000,0.31,1.79,7.0,,,,0140007040000-0.31-1.79
0140007050000,0.0,1.17,7.0,,,,0140007050000-0.0-1.17
0140007060000,0.0,0.62,7.0,,,,0140007060000-0.0-0.62
0140007060000,0.62,1.95,7.0,,,,0140007060000-0.62-1.95
0140007060000,1.95,2.04,7.0,,,,0140007060000-1.95-2.04
0140007070000,0.09,0.48,7.0,,,,0140007070000-0.09-0.48
0140007070000,0.5,1.11,7.0,,,,0140007070000-0.5-1.11
0140007090000,0.0,0.34,7.0,,,,0140007090000-0.0-0.34
0140007100000,0.0,0.13,7.0,,,,0140007100000-0.0-0.13
0140008000000,0.0,0.35,7.0,,,,0140008000000-0.0-0.35
0140008000000,0.35,0.6,7.0,,,,0140008000000-0.35-0.6
0140008000000,0.6,1.56,7.0,,,,0140008000000-0.6-1.56
0140008000000,1.56,2.92,7.0,,,,0140008000000-1.56-2.92
0140008000000,2.92,4.15,7.0,,,,0140008000000-2.92-4.15
0140008000000,4.15,5.17,7.0,,,,0140008000000-4.15-5.17
0140008010000,0.0,0.51,7.0,,,,0140008010000-0.0-0.51
0140008010000,0.51,0.71,7.0,,,,0140008010000-0.51-0.71
0140008020000,0.0,0.34,7.0,,,,0140008020000-0.0-0.34
0140008030000,0.0,0.95,7.0,,,,0140008030000-0.0-0.95
0140008040000,0.0,1.35,7.0,,,,0140008040000-0.0-1.35
0140008040000,1.35,2.11,7.0,,,,0140008040000-1.35-2.11
0140008040000,2.11,3.53,7.0,,,,0140008040000-2.11-3.53
0140009000000,0.0,2.93,6.0,,,,0140009000000-0.0-2.93
0140009000000,2.93,2.97,7.0,,,,0140009000000-2.93-2.97
0140009000000,2.97,3.8,7.0,,,,0140009000000-2.97-3.8
0140009000000,3.8,4.75,7.0,,,,0140009000000-3.8-4.75
0140009000000,4.75,6.03,7.0,,,,0140009000000-4.75-6.03
0140009000000,6.03,8.52,6.0,,,,0140009000000-6.03-8.52
0140009000000,8.52,9.97,7.0,,,,0140009000000-8.52-9.97
0140009000000,9.97,11.1,7.0,,,,0140009000000-9.97-11.1
0140009010000,0.0,0.31,7.0,,,,0140009010000-0.0-0.31
0140009020000,0.0,1.23,7.0,,,,0140009020000-0.0-1.23
0140009030000,0.0,0.13,7.0,,,,0140009030000-0.0-0.13
0140009030000,0.13,0.23,7.0,,,,0140009030000-0.13-0.23
0140009050000,0.0,0.9,7.0,,,,0140009050000-0.0-0.9
0140009070000,0.0,1.56,7.0,,,,0140009070000-0.0-1.56
0140009080000,0.0,1.79,7.0,,,,0140009080000-0.0-1.79
0140010000000,0.55,1.96,7.0,,,,0140010000000-0.55-1.96
0140010000000,2.31,3.27,7.0,,,,0140010000000-2.31-3.27
0140010000000,3.27,5.57,7.0,,,,0140010000000-3.27-5.57
0140010000000,5.57,7.28,7.0,,,,0140010000000-5.57-7.28
0140010000000,7.41,11.73,5.0,,,,0140010000000-7.41-11.73
0140010010000,0.0,1.03,7.0,,,,0140010010000-0.0-1.03
0140010010000,1.03,1.72,7.0,,,,0140010010000-1.03-1.72
0140010010000,1.72,1.79,7.0,,,,0140010010000-1.72-1.79
0140010030000,0.0,1.1,7.0,,,,0140010030000-0.0-1.1
0140010030000,1.1,1.27,7.0,,,,0140010030000-1.1-1.27
0140010040000,0.0,0.34,7.0,,,,0140010040000-0.0-0.34
0140010040000,0.34,1.47,7.0,,,,0140010040000-0.34-1.47
0140010050000,0.0,0.66,7.0,,,,0140010050000-0.0-0.66
0140010060000,0.0,0.28,7.0,,,,0140010060000-0.0-0.28
0140010070000,0.0,0.92,7.0,,,,0140010070000-0.0-0.92
0140010080000,0.0,1.75,7.0,,,,0140010080000-0.0-1.75
0140010090000,0.0,0.95,7.0,,,,0140010090000-0.0-0.95
0140010100000,0.0,0.41,7.0,,,,0140010100000-0.0-0.41
0140010120000,0.0,0.2,7.0,,,,0140010120000-0.0-0.2
0140010130000,0.0,1.8,7.0,,,,0140010130000-0.0-1.8
0140010130000,1.8,2.55,7.0,,,,0140010130000-1.8-2.55
0140010140000,0.0,0.2,7.0,,,,0140010140000-0.0-0.2
0140011000000,0.0,3.78,5.0,,,,0140011000000-0.0-3.78
0140011000000,3.78,5.79,7.0,,,,0140011000000-3.78-5.79
0140011000000,5.79,15.87,5.0,,,,0140011000000-5.79-15.87
0140011020000,0.0,0.72,7.0,,,,0140011020000-0.0-0.72
0140011020000,0.72,0.78,7.0,,,,0140011020000-0.72-0.78
0140011030000,0.0,3.62,7.0,,,,0140011030000-0.0-3.62
0140011040000,0.0,1.04,7.0,,,,0140011040000-0.0-1.04
0140011050000,0.0,0.16,7.0,,,,0140011050000-0.0-0.16
0140011050000,0.16,2.19,7.0,,,,0140011050000-0.16-2.19
0140011050000,2.23,2.35,7.0,,,,0140011050000-2.23-2.35
0140011060000,0.0,1.73,5.0,,,,0140011060000-0.0-1.73
0140011080000,0.0,0.62,7.0,,,,0140011080000-0.0-0.62
0140011080000,0.62,1.57,7.0,,,,0140011080000-0.62-1.57
0140011090000,0.0,0.4,7.0,,,,0140011090000-0.0-0.4
0140011090000,0.4,0.64,7.0,,,,0140011090000-0.4-0.64
0140011090000,0.64,0.98,7.0,,,,0140011090000-0.64-0.98
0140011100000,2.22,3.0,7.0,,,,0140011100000-2.22-3.0
0140011110000,0.0,0.15,7.0,,,,0140011110000-0.0-0.15
0140011110000,0.15,1.03,7.0,,,,0140011110000-0.15-1.03
0140011120000,0.0,1.4,7.0,,,,0140011120000-0.0-1.4
0140011130000,0.0,0.7,7.0,,,,0140011130000-0.0-0.7
0140011150000,0.0,0.82,7.0,,,,0140011150000-0.0-0.82
0140011160000,0.0,1.42,7.0,,,,0140011160000-0.0-1.42
0140011160000,1.42,1.94,7.0,,,,0140011160000-1.42-1.94
0140011160000,1.94,2.02,7.0,,,,0140011160000-1.94-2.02
0140011170000,0.0,0.2,7.0,,,,0140011170000-0.0-0.2
0140011180000,0.0,0.06,7.0,,,,0140011180000-0.0-0.06
0140011190000,0.0,0.32,7.0,,,,0140011190000-0.0-0.32
0140011200000,0.0,0.19,7.0,,,,0140011200000-0.0-0.19
0140011210000,0.0,0.1,7.0,,,,0140011210000-0.0-0.1
0140011220000,0.0,0.09,7.0,,,,0140011220000-0.0-0.09
0140011230000,0.0,0.03,7.0,,,,0140011230000-0.0-0.03
0140011230000,0.03,0.22,7.0,,,,0140011230000-0.03-0.22
0140011240000,0.0,0.1,7.0,,,,0140011240000-0.0-0.1
0140011250000,0.0,0.21,7.0,,,,0140011250000-0.0-0.21
0140011260000,0.0,0.12,7.0,,,,0140011260000-0.0-0.12
0140011290000,0.0,0.16,7.0,,,,0140011290000-0.0-0.16
0140011300000,0.0,0.23,7.0,,,,0140011300000-0.0-0.23
0140011310000,0.0,0.09,7.0,,,,0140011310000-0.0-0.09
0140011350000,0.0,0.04,7.0,,,,0140011350000-0.0-0.04
0140011360000,0.0,0.31,7.0,,,,0140011360000-0.0-0.31
0140012000000,0.0,2.38,7.0,,,,0140012000000-0.0-2.38
0140012000000,2.38,2.46,5.0,,,,0140012000000-2.38-2.46
0140012000000,2.46,2.63,5.0,,,,0140012000000-2.46-2.63
0140012000000,2.63,5.12,7.0,,,,0140012000000-2.63-5.12
0140012000000,5.12,5.34,7.0,,,,0140012000000-5.12-5.34
0140012000000,5.34,6.71,7.0,,,,0140012000000-5.34-6.71
0140012010000,0.0,1.39,7.0,,,,0140012010000-0.0-1.39
0140012010000,1.39,2.91,7.0,,,,0140012010000-1.39-2.91
0140012010000,2.91,3.54,7.0,,,,0140012010000-2.91-3.54
0140012020000,0.0,1.46,7.0,,,,0140012020000-0.0-1.46
0140012020000,1.46,1.53,7.0,,,,0140012020000-1.46-1.53
0140012020000,1.53,1.75,7.0,,,,0140012020000-1.53-1.75
0140012030000,0.0,2.66,7.0,,,,0140012030000-0.0-2.66
0140012040000,0.0,2.05,7.0,,,,0140012040000-0.0-2.05
0140012040000,2.05,4.0,7.0,,,,0140012040000-2.05-4.0
0140012060000,0.0,1.46,7.0,,,,0140012060000-0.0-1.46
0140012070000,0.0,2.94,7.0,,,,0140012070000-0.0-2.94
0140012080000,0.0,2.7,7.0,,,,0140012080000-0.0-2.7
0140013000000,0.0,1.2,7.0,,,,0140013000000-0.0-1.2
0140013010000,0.0,0.18,7.0,,,,0140013010000-0.0-0.18
0140013010000,0.18,1.82,7.0,,,,0140013010000-0.18-1.82
0140013020000,0.0,0.72,7.0,,,,0140013020000-0.0-0.72
0140013040000,0.0,0.99,7.0,,,,0140013040000-0.0-0.99
0140014000000,0.0,0.44,7.0,,,,0140014000000-0.0-0.44
0140014000000,0.44,2.65,7.0,,,,0140014000000-0.44-2.65
0140014020000,0.0,1.03,7.0,,,,0140014020000-0.0-1.03
0140014030000,0.0,0.68,7.0,,,,0140014030000-0.0-0.68
0140014040000,0.0,0.26,7.0,,,,0140014040000-0.0-0.26
0140015000000,0.0,2.08,7.0,,,,0140015000000-0.0-2.08
0140015000000,2.08,4.46,7.0,,,,0140015000000-2.08-4.46
0140015010000,0.0,1.29,7.0,,,,0140015010000-0.0-1.29
0140015010000,1.29,2.36,7.0,,,,0140015010000-1.29-2.36
0140015010000,2.36,2.99,7.0,,,,0140015010000-2.36-2.99
0140015030000,0.0,0.13,7.0,,,,0140015030000-0.0-0.13
0140015040000,0.0,0.04,7.0,,,,0140015040000-0.0-0.04
0140015050000,0.0,0.27,7.0,,,,0140015050000-0.0-0.27
0140015070000,0.0,0.19,7.0,,,,0140015070000-0.0-0.19
0140016000000,0.0,0.25,7.0,,,,0140016000000-0.0-0.25
0140016000000,0.25,2.3,7.0,,,,0140016000000-0.25-2.3
0140016000000,2.3,4.61,7.0,,,,0140016000000-2.3-4.61
0140016010000,0.0,0.24,7.0,,,,0140016010000-0.0-0.24
0140016020000,0.0,1.5,7.0,,,,0140016020000-0.0-1.5
0140016020000,1.5,2.46,7.0,,,,0140016020000-1.5-2.46
0140016040000,0.0,0.38,7.0,,,,0140016040000-0.0-0.38
0140016050000,0.0,0.44,7.0,,,,0140016050000-0.0-0.44
0140016060000,0.0,0.15,7.0,,,,0140016060000-0.0-0.15
0140016070000,0.0,0.31,7.0,,,,0140016070000-0.0-0.31
0140016080000,0.0,0.18,7.0,,,,0140016080000-0.0-0.18
0140016090000,0.0,0.07,7.0,,,,0140016090000-0.0-0.07
0140016100000,0.0,0.12,7.0,,,,0140016100000-0.0-0.12
0140017000000,0.0,2.16,6.0,,,,0140017000000-0.0-2.16
0140017000000,2.16,3.31,7.0,,,,0140017000000-2.16-3.31
0140017000000,3.31,4.36,6.0,,,,0140017000000-3.31-4.36
0140017000000,4.36,8.344,7.0,,,,0140017000000-4.36-8.344
0140017000000,8.344,8.54,7.0,,,,0140017000000-8.344-8.54
0140017000000,8.54,10.37,7.0,,,,0140017000000-8.54-10.37
0140017000000,10.37,12.0,7.0,,,,0140017000000-10.37-12.0
0140017010000,0.0,0.98,6.0,,,,0140017010000-0.0-0.98
0140017010000,0.98,1.5,7.0,,,,0140017010000-0.98-1.5
0140017010000,1.5,2.08,7.0,,,,0140017010000-1.5-2.08
0140017010000,2.08,2.85,7.0,,,,0140017010000-2.08-2.85
0140017020000,0.0,1.45,6.0,,,,0140017020000-0.0-1.45
0140017030000,0.0,0.4,7.0,,,,0140017030000-0.0-0.4
0140017030000,0.99,1.2,7.0,,,,0140017030000-0.99-1.2
0140017030000,1.2,1.46,7.0,,,,0140017030000-1.2-1.46
0140017050000,0.0,0.74,7.0,,,,0140017050000-0.0-0.74
0140017060000,0.0,1.36,7.0,,,,0140017060000-0.0-1.36
0140017060000,1.36,2.73,7.0,,,,0140017060000-1.36-2.73
