StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,CURVES_C_VN,CURVES_C_VT,CURVES_C_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.87,CURVES_C,1/1/2022 12:00:00 AM,0.176,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,1.87,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,01201190000NB,6.95,9.29,CURVES_C,1/1/2022 12:00:00 AM,0.216,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,2.34,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,01201190000NB,10.66,11.5,CURVES_C,1/1/2022 12:00:00 AM,0.152,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,0.84,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130020000000,0.0,2.15,CURVES_C,1/1/2022 12:00:00 AM,0.219,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,2.15,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130038000000,0.43,2.43,CURVES_C,1/1/2022 12:00:00 AM,0.173,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,2.0,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130038000000,5.53,6.31,CURVES_C,1/1/2022 12:00:00 AM,0.06,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,0.78,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130076000000,1.75,6.62,CURVES_C,1/1/2022 12:00:00 AM,0.376,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,4.87,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130092000000,8.64,9.265,CURVES_C,1/1/2022 12:00:00 AM,0.04,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,0.625,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130092000000,9.265,10.73,CURVES_C,1/1/2022 12:00:00 AM,0.04,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,1.465,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140006000000,0.11,3.13,CURVES_C,1/1/2022 12:00:00 AM,0.28,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,3.02,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140010000000,7.41,8.63,CURVES_C,1/1/2022 12:00:00 AM,0.2,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,1.22,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140011000000,3.05,3.78,CURVES_C,1/1/2022 12:00:00 AM,0.077,,,,5/16/2023 5:45:20 PM,12/31/9999 12:00:00 AM,0.73,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
