label,length
CO 114/1,1.07
CO 19/24,1.31
CO 3/1,0.59
CO 3/2,1.25
CO 32,0.23
CO 60/62,0.61
CO 60/63,0.5
CO 857,2.352
FANS 1054,7.42
FANS 4273,0.11
FANS 5798,0.86
I 470,7.88
I 64,249.14
I 68,66.99
I 70,28.9
I 77,377.85
I 79,321.03999999999996
I 81,52.0
US 11,3.1
US 119,167.78
US 19,175.278
US 219,388.34000000000003
US 22,11.78
US 220,8.280000000000001
US 250,106.05
US 30,1.22
US 33,81.218
US 340,32.39
US 35,70.42
US 40,2.05
US 460,40.676
US 48,105.6
US 50,169.78
US 52,360.198
US 522,37.48
US 60,105.49
WV 10,26.17
WV 106,0.9460000000000001
WV 114,3.5
WV 14,11.27
WV 152,0.6
WV 16,33.36
WV 193,6.74
WV 2,202.39
WV 25,11.629999999999999
WV 3,0.25
WV 32,2.4499999999999997
WV 41,0.5
WV 43,8.06
WV 44,0.1
WV 527,4.26
WV 54,13.759999999999998
WV 55,8.955
WV 598,2.71
WV 61,14.72
WV 618,0.07
WV 68,8.43
WV 7,29.919000000000004
WV 705,6.31
WV 73,5.66
WV 80,12.17
WV 817,3.1900000000000004
WV 83,18.05
WV 88,4.46
WV 9,64.55
WV 92,2.04
WV 93,27.781
WV 95,4.969
WV 97,12.12
WV 972,2.19
