Year_Record,State_Code,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments,OwnershipVn,ValidationDescription,RouteID,BMP,EMP
01/01/2022,54,Ownership,1.79,1,,,,,,3140043030000,0,1.79
01/01/2022,54,Ownership,0.15,1,,,,,,2480901640000,0,0.15
01/01/2022,54,Ownership,0.42,1,,,,,,1340033000000,0,0.42
01/01/2022,54,Ownership,3.02,1,,,,,,1340033000000,0.42,3.44
01/01/2022,54,Ownership,1.12,1,,,,,,1340033000000,3.44,4.56
01/01/2022,54,Ownership,2.6,1,,,,,,1340033000000,4.56,7.16
01/01/2022,54,Ownership,0.13,1,,,,,,1740020620000,0,0.13
01/01/2022,54,Ownership,1.99,1,,,,,,5240076000000,0,1.99
01/01/2022,54,Ownership,2.31,1,,,,,,5240076000000,1.99,4.3
,,,,,,,,,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,5240076000000,4.3,5.32
,,,,,,,,,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,5240076000000,5.32,5.35
01/01/2022,54,Ownership,1.9,1,,,,,,5240076000000,5.35,7.25
01/01/2022,54,Ownership,2.32,1,,,,,,5240076000000,7.25,9.57
01/01/2022,54,Ownership,0.43,1,,,,,,5240076000000,9.57,10
01/01/2022,54,Ownership,0.28,1,,,,,,4240025000000,0,0.28
01/01/2022,54,Ownership,0.46,1,,,,,,4240025000000,0.28,0.74
01/01/2022,54,Ownership,0.2,1,,,,,,4240025000000,0.74,0.94
,,,,,,,,,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4240025000000,0.94,1.06
01/01/2022,54,Ownership,0.3,1,,,,,,4240025000000,1.06,1.36
01/01/2022,54,Ownership,0.37,1,,,,,,4240025000000,1.36,1.73
01/01/2022,54,Ownership,0.82,1,,,,,,4240025000000,1.73,2.55
01/01/2022,54,Ownership,0.6,1,,,,,,4240025000000,2.55,3.15
01/01/2022,54,Ownership,0.06,1,,,,,,4240025000000,3.15,3.21
01/01/2022,54,Ownership,0.6,1,,,,,,4240025000000,3.21,3.81
01/01/2022,54,Ownership,1.68,1,,,,,,4240025000000,3.81,5.49
01/01/2022,54,Ownership,1.73,1,,,,,,4240025000000,5.49,7.22
01/01/2022,54,Ownership,1.51,1,,,,,,4240025000000,7.22,8.73
01/01/2022,54,Ownership,0.04,1,,,,,,2340116180000,0,0.04
01/01/2022,54,Ownership,2.34,1,,,,,,0240005060000,0,2.34
01/01/2022,54,Ownership,0.32,1,,,,,,4940002030000,0,0.32
01/01/2022,54,Ownership,0.22,1,,,,,,2540019840000,0,0.22
01/01/2022,54,Ownership,0.32,1,,,,,,2880901520000,0,0.32
01/01/2022,54,Ownership,0.2,1,,,,,,2280932000000,0,0.2
01/01/2022,54,Ownership,0.1,1,,,,,,1040021520000,0,0.1
01/01/2022,54,Ownership,0.23,1,,,,,,1040061770000,0,0.23
01/01/2022,54,Ownership,0.45,1,,,,,,2340008020000,0,0.45
01/01/2022,54,Ownership,0.03,1,,,,,,5580901190000,0,0.03
01/01/2022,54,Ownership,0.08,1,,,,,,5580901190000,0.03,0.11
01/01/2022,54,Ownership,0.78,1,,,,,,4280919000000,0,0.78
01/01/2022,54,Ownership,0.34,1,,,,,,0340119830000,0,0.34
01/01/2022,54,Ownership,0.58,1,,,,,,2540064200000,0,0.58
01/01/2022,54,Ownership,0.57,1,,,,,,3240003230000,0,0.57
01/01/2022,54,Ownership,2.37,1,,,,,,2440103080000,0,2.37
01/01/2022,54,Ownership,1.3,1,,,,,,4440119030000,0,1.3
,,,,,,,,,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4440119030000,1.3,1.5
01/01/2022,54,Ownership,0.13,1,,,,,,1840038040000,0,0.13
01/01/2022,54,Ownership,0.64,1,,,,,,1840038040000,0.13,0.77
01/01/2022,54,Ownership,0.04,1,,,,,,5580901050000,0,0.04
01/01/2022,54,Ownership,15.4,1,,,,,,3930007000000,0,15.4
01/01/2022,54,Ownership,0.18,1,,,,,,3930007000000,15.4,15.58
01/01/2022,54,Ownership,11.94,1,,,,,,3930007000000,15.58,27.52
01/01/2022,54,Ownership,1.79,1,,,,,,5240066000000,0,1.79
01/01/2022,54,Ownership,0.37,1,,,,,,5240066000000,1.79,2.16
01/01/2022,54,Ownership,0.54,1,,,,,,5240066000000,2.16,2.7
01/01/2022,54,Ownership,1.21,1,,,,,,5240066000000,2.7,3.91
01/01/2022,54,Ownership,0.6,1,,,,,,2040046100000,0,0.6
01/01/2022,54,Ownership,0.112,4,,,,,,4673003001900,0,0.112
01/01/2022,54,Ownership,0.4,1,,,,,,4440005270000,0,0.4
01/01/2022,54,Ownership,1.05,1,,,,,,4240045040000,0,1.05
01/01/2022,54,Ownership,4.68,1,,,,,,4540012020000,0,4.68
01/01/2022,54,Ownership,0.11,1,,,,,,0580923000000,0,0.11
01/01/2022,54,Ownership,0.4,1,,,,,,0840034010000,0,0.4
01/01/2022,54,Ownership,0.41,1,,,,,,4140041330000,0,0.41
01/01/2022,54,Ownership,0.12,1,,,,,,1980901810000,0,0.12
01/01/2022,54,Ownership,0.5,1,,,,,,2340016480000,0,0.5
01/01/2022,54,Ownership,1.46,1,,,,,,0140012060000,0,1.46
01/01/2022,54,Ownership,1.35,1,,,,,,2340006000000,0,1.35
01/01/2022,54,Ownership,0.25,1,,,,,,0540011010000,0,0.25
01/01/2022,54,Ownership,0.92,1,,,,,,0540011010000,0.25,1.17
01/01/2022,54,Ownership,2.0,1,,,,,,1140023000000,0,2
01/01/2022,54,Ownership,2.1,1,,,,,,1140023000000,2,4.1
01/01/2022,54,Ownership,4.3,1,,,,,,1140023000000,4.1,8.4
01/01/2022,54,Ownership,3.75,1,,,,,,1140023000000,8.4,12.15
01/01/2022,54,Ownership,0.7,1,,,,,,2040057010000,0,0.7
,,,,,,,,,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2040057010000,0.7,1.89
01/01/2022,54,Ownership,0.2,1,,,,,,2040057010000,1.89,2.09
01/01/2022,54,Ownership,0.09,1,,,,,,3980914000000,0,0.09
01/01/2022,54,Ownership,0.55,1,,,,,,4040039020000,0,0.55
01/01/2022,54,Ownership,1.31,1,,,,,,4040039020000,0.55,1.86
01/01/2022,54,Ownership,0.42,1,,,,,,4040039020000,1.86,2.28
01/01/2022,54,Ownership,0.66,1,,,,,,3140043080000,0,0.66
01/01/2022,54,Ownership,0.566,1,,,,,,4140001180000,0,0.566
01/01/2022,54,Ownership,0.064,1,,,,,,4140001180000,0.566,0.63
