ValidationRule,ValidationDescription,ROUTEID,BMP,EMP,DataItemsImpacted,StateId,DataYear,FacilityTypeVn,MaintenanceOperationsVn,NhsVn,OwnershipVn,AadtVn,AadtVd,FsystemVn,ThroughLanesVn,CountyIdVn,IsRestrictedVn,RouteQualifier,RouteSigning,RouteName,RouteNumber,SectionLength,UrbanIdVn,StrahnetTypeVn,NhfnVn,NnVn,signsystem,supp_code
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440009020000,3.4,4.39,Road Designation,54,2022,,,,,,,,,,,,,,,0.99,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2480902860000,0.22,0.22,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,8,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440012060000,3.43,4.05,Road Designation,54,2022,,,,,,,,,,,,,,,0.62,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440016040000,0.04,0.04,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040014130000,0.0,0.08,Road Designation,54,2022,,,,,,,,,,,,,,,0.08,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040015000000,3.06,3.06,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040052310000,1.2,1.2,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040014020000,0.9,0.9,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040014160000,0.22,0.22,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040052370000,0.42,0.42,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040065710000,0.12,0.12,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,5040052340000,0.87,0.87,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040252190000,0.18,0.18,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040003150000,0.4,0.4,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,5040052480000,0.95,3.35,Road Designation,54,2022,,,,,,,,,,,,,,,2.4,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,5040052590000,0.0,0.48,Road Designation,54,2022,,,,,,,,,,,,,,,0.48,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040002000000,10.92,10.92,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040049250000,0.18,0.18,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040049180000,0.07,0.07,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440003040000,2.84,2.84,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,3040008040000,2.12,2.12,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440083180000,1.66,1.66,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2480902630000,0.18,0.18,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,8,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440083540000,0.0161,0.058,Road Designation,54,2022,,,,,,,,,,,,,,,0.0419,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440083540000,0.0026,0.0161,Road Designation,54,2022,,,,,,,,,,,,,,,0.0135,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440083540000,0.0,0.0026,Road Designation,54,2022,,,,,,,,,,,,,,,0.0026,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440005070000,0.0709,1.05,Road Designation,54,2022,,,,,,,,,,,,,,,0.9791,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440083120000,0.5,1.03,Road Designation,54,2022,,,,,,,,,,,,,,,0.53,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440005070000,0.0,0.058,Road Designation,54,2022,,,,,,,,,,,,,,,0.058,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440005070000,0.058,0.0709,Road Designation,54,2022,,,,,,,,,,,,,,,0.0129,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440005050000,2.35,2.35,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440005090000,3.53,3.53,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,2440009040000,1.15,1.1757,Road Designation,54,2022,,,,,,,,,,,,,,,0.0257,,,,,4,0
