BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2025|54|01201190000NB|11.397|11.401|STRUCTURE_TYPE|1|01A097||
01/01/2025|54|01201190000NB|13.6|13.606|STRUCTURE_TYPE|1|01A085||
01/01/2025|54|01201190000SB|15.896|15.962|STRUCTURE_TYPE|1|01A086||
01/01/2025|54|01201190000SB|17.482|17.522|STRUCTURE_TYPE|1|01A087||
01/01/2025|54|01201190000SB|18.483|18.488|STRUCTURE_TYPE|1|01A088||
01/01/2025|54|01202500000NB|0.47|0.479|STRUCTURE_TYPE|1|01A090||
01/01/2025|54|01202500000NB|5.419|5.425|STRUCTURE_TYPE|1|01A091||
01/01/2025|54|01202500000SB|17.237|17.296|STRUCTURE_TYPE|1|01A092||
01/01/2025|54|01202500013SB|0.347|0.517|STRUCTURE_TYPE|1|01A107||
01/01/2025|54|0130020000000|1.772|1.778|STRUCTURE_TYPE|1|01A032||
01/01/2025|54|0130038000000|2.688|2.7|STRUCTURE_TYPE|1|01A049||
01/01/2025|54|0130038000000|2.7|2.724|STRUCTURE_TYPE|1|01A049||
01/01/2025|54|0130038000000|6.839|6.85|STRUCTURE_TYPE|1|01A050||
01/01/2025|54|0130038000000|7.352|7.366|STRUCTURE_TYPE|1|01A103||
01/01/2025|54|0130038000000|9.883|9.899|STRUCTURE_TYPE|1|01A052||
01/01/2025|54|0130038000000|10.893|10.899|STRUCTURE_TYPE|1|01A053||
01/01/2025|54|0130057000000|5.438|5.443|STRUCTURE_TYPE|1|01A064||
01/01/2025|54|0130057000000|7.237|7.243|STRUCTURE_TYPE|1|01A098||
01/01/2025|54|0130076000000|0.551|0.563|STRUCTURE_TYPE|1|01A072||
01/01/2025|54|0130092000000|7.542|7.547|STRUCTURE_TYPE|1|01A074||
01/01/2025|54|0130092000000|9.243|9.252|STRUCTURE_TYPE|1|01A075||
01/01/2025|54|0130092000000|19.144|19.168|STRUCTURE_TYPE|1|01A076||
01/01/2025|54|0130092000000|19.416|19.43|STRUCTURE_TYPE|1|01A077||
01/01/2025|54|0130092000000|26.732|26.737|STRUCTURE_TYPE|1|01A078||
01/01/2025|54|01300920000SB|26.928|26.9564|STRUCTURE_TYPE|1|01A100||
01/01/2025|54|0140001000000|3.392|3.397|STRUCTURE_TYPE|1|01A001||
01/01/2025|54|0140001000000|3.671|3.676|STRUCTURE_TYPE|1|01A002||
01/01/2025|54|0140001000000|3.945|3.96|STRUCTURE_TYPE|1|01A126||
01/01/2025|54|0140001010000|4.236|4.24|STRUCTURE_TYPE|1|01A099||
01/01/2025|54|0140003000000|0.644|0.649|STRUCTURE_TYPE|1|01A005||
01/01/2025|54|0140005030000|0.881|0.888|STRUCTURE_TYPE|1|01A006||
01/01/2025|54|0140007000000|11.379|11.384|STRUCTURE_TYPE|1|01A007||
01/01/2025|54|0140007100000|0.093|0.101|STRUCTURE_TYPE|1|01A106||
01/01/2025|54|0140009000000|3.773|3.779|STRUCTURE_TYPE|1|01A008||
01/01/2025|54|0140009000000|5.791|5.795|STRUCTURE_TYPE|1|01A009||
01/01/2025|54|0140009000000|7.915|7.923|STRUCTURE_TYPE|1|01A121||
01/01/2025|54|0140010000000|9.922|9.988|STRUCTURE_TYPE|1|01A118||
01/01/2025|54|0140010000000|10.67|10.689|STRUCTURE_TYPE|1|01A122||
01/01/2025|54|0140011000000|1.314|1.32|STRUCTURE_TYPE|1|01A116||
01/01/2025|54|0140011000000|2.505|2.552|STRUCTURE_TYPE|1|01A015||
01/01/2025|54|0140011000000|6.346|6.369|STRUCTURE_TYPE|1|01A016||
01/01/2025|54|0140011000000|15.775|15.816|STRUCTURE_TYPE|1|01A101||
01/01/2025|54|0140011020000|0.639|0.643|STRUCTURE_TYPE|1|01A102||
01/01/2025|54|0140011030000|0.018|0.03|STRUCTURE_TYPE|1|01A110||
01/01/2025|54|0140012000000|6.009|6.083|STRUCTURE_TYPE|1|01A119||
01/01/2025|54|0140012000000|6.332|6.338|STRUCTURE_TYPE|1|01A020||
01/01/2025|54|0140012000000|6.391|6.397|STRUCTURE_TYPE|1|01A021||
01/01/2025|54|0140012030000|0.025|0.044|STRUCTURE_TYPE|1|01A022||
01/01/2025|54|0140012080000|0.134|0.162|STRUCTURE_TYPE|1|01A023||
01/01/2025|54|0140013000000|1.07|1.078|STRUCTURE_TYPE|1|01A024||
01/01/2025|54|0140013010000|0.798|0.806|STRUCTURE_TYPE|1|01A025||
01/01/2025|54|0140013040000|0.095|0.105|STRUCTURE_TYPE|1|01A026||
01/01/2025|54|0140015000000|2.082|2.087|STRUCTURE_TYPE|1|01A027||
01/01/2025|54|0140016040000|0.014|0.019|STRUCTURE_TYPE|1|01A028||
01/01/2025|54|0140017000000|4.405|4.411|STRUCTURE_TYPE|1|01A029||
01/01/2025|54|0140017120000|0.383|0.406|STRUCTURE_TYPE|1|01A030||
01/01/2025|54|0140018000000|0.788|0.794|STRUCTURE_TYPE|1|01A031||
01/01/2025|54|0140020030000|1.322|1.328|STRUCTURE_TYPE|1|01A113||
01/01/2025|54|0140021000000|0.557|0.562|STRUCTURE_TYPE|1|01A065||
01/01/2025|54|0140024000000|4.998|5.014|STRUCTURE_TYPE|1|01A037||
01/01/2025|54|0140026000000|1.265|1.271|STRUCTURE_TYPE|1|01A038||
01/01/2025|54|0140026000000|1.969|1.976|STRUCTURE_TYPE|1|01A039||
01/01/2025|54|0140026000000|2.378|2.388|STRUCTURE_TYPE|1|01A040||
01/01/2025|54|0140026000000|4.398|4.409|STRUCTURE_TYPE|1|01A042||
01/01/2025|54|0140026000000|6.319|6.325|STRUCTURE_TYPE|1|01A104||
01/01/2025|54|0140026010000|2.371|2.381|STRUCTURE_TYPE|1|01A043||
01/01/2025|54|0140026050000|0.017|0.025|STRUCTURE_TYPE|1|01A041||
01/01/2025|54|0140030000000|8.638|8.643|STRUCTURE_TYPE|1|01A045||
01/01/2025|54|0140030000000|10.807|10.811|STRUCTURE_TYPE|1|01A112||
01/01/2025|54|0140032000000|1.322|1.33|STRUCTURE_TYPE|1|01A046||
01/01/2025|54|0140032000000|8.052|8.058|STRUCTURE_TYPE|1|01A047||
01/01/2025|54|0140036000000|4.724|4.753|STRUCTURE_TYPE|1|01A048||
01/01/2025|54|0140040000000|5.164|5.182|STRUCTURE_TYPE|1|01A055||
01/01/2025|54|0140040010000|1.223|1.241|STRUCTURE_TYPE|1|01A108||
01/01/2025|54|0140040040000|0.013|0.031|STRUCTURE_TYPE|1|01A111||
01/01/2025|54|0140040050000|0.031|0.045|STRUCTURE_TYPE|1|01A124||
01/01/2025|54|0140046000000|2.387|2.393|STRUCTURE_TYPE|1|01A059||
01/01/2025|54|0140046010000|1.593|1.62|STRUCTURE_TYPE|1|01A105||
01/01/2025|54|0140048000000|2.098|2.104|STRUCTURE_TYPE|1|01A061||
01/01/2025|54|0140056000000|0.015|0.061|STRUCTURE_TYPE|1|01A123||
01/01/2025|54|0140057010000|0.022|0.041|STRUCTURE_TYPE|1|01A066||
01/01/2025|54|0140057060000|0.093|0.107|STRUCTURE_TYPE|1|01A109||
01/01/2025|54|0140057070000|1.885|1.897|STRUCTURE_TYPE|1|01A069||
01/01/2025|54|0140057100000|0.123|0.134|STRUCTURE_TYPE|1|01A070||
01/01/2025|54|0140057100000|0.369|0.377|STRUCTURE_TYPE|1|01A071||
01/01/2025|54|0140057150000|0.006|0.024|STRUCTURE_TYPE|1|01A115||
01/01/2025|54|0140077010000|0.07|0.076|STRUCTURE_TYPE|1|01A073||
01/01/2025|54|0140092120000|0.706|0.711|STRUCTURE_TYPE|1|01A080||
01/01/2025|54|0140092170000|0.086|0.094|STRUCTURE_TYPE|1|01A117||
01/01/2025|54|0140092180000|2.627|2.634|STRUCTURE_TYPE|1|01A120||
01/01/2025|54|0140092200000|0.801|0.81|STRUCTURE_TYPE|1|01A083||
01/01/2025|54|0140093000000|3.665|3.671|STRUCTURE_TYPE|1|01A084||
01/01/2025|54|0140119020000|0.07|0.076|STRUCTURE_TYPE|1|01A114||
01/01/2025|54|0140119210000|0.058|0.122|STRUCTURE_TYPE|1|01A093||
01/01/2025|54|0200683000000|0.176|0.1835|STRUCTURE_TYPE|1|02A907||
01/01/2025|54|0200683000000|0.619|0.6241|STRUCTURE_TYPE|1|02A905||
01/01/2025|54|0201509000000|0.016|0.0249|STRUCTURE_TYPE|1|02A908||
01/01/2025|54|02100810000NB|3.277|3.29|STRUCTURE_TYPE|1|02A178||
01/01/2025|54|02100810000NB|11.64|11.664|STRUCTURE_TYPE|1|02A133||
