BeginPoint|EndPoint|RouteID|ValueText|BeginDate|ValueNumeric|DataItem|StateID|Comments|ValueDate
26.923|26.952|0130092000000|01A100|01/01/2022|1|STRUCTURE_TYPE|54||
0.044|0.053|1040061050000|10A308|01/01/2022|1|STRUCTURE_TYPE|54||
0.173|0.193|1030612000000|10A324|01/01/2022|1|STRUCTURE_TYPE|54||
7.778|7.837|1440001000000|14A134|01/01/2022|1|STRUCTURE_TYPE|54||
0.043|0.049|1700048160000|17A918|01/01/2022|1|STRUCTURE_TYPE|54||
0.977|1.062|20201190005SB|20A399|01/01/2022|1|STRUCTURE_TYPE|54||
17.897|17.983|20201190000NB|20A400|01/01/2022|1|STRUCTURE_TYPE|54||
27.118|27.175|20300610000SB|20A534|01/01/2022|1|STRUCTURE_TYPE|54||
11.237|11.244|3040013000000|24A007|01/01/2022|1|STRUCTURE_TYPE|54||
1.29|1.323|2440007000000|24A381|01/01/2022|1|STRUCTURE_TYPE|54||
32.547|32.562|30200520000EB|30A184|01/01/2022|1|STRUCTURE_TYPE|54||
0.021|0.081|2330080000000|30A240|01/01/2022|1|STRUCTURE_TYPE|54||
0.029|0.035|3174817001900|31A905|01/01/2022|1|STRUCTURE_TYPE|54||
0.078|0.085|3174817001900|31A906|01/01/2022|1|STRUCTURE_TYPE|54||
1.535|1.541|38U0001080000|38A143|01/01/2022|1|STRUCTURE_TYPE|54||
14.757|14.886|40200350000SB|40A177|01/01/2022|1|STRUCTURE_TYPE|54||
14.753|14.887|40200350000NB|40A179|01/01/2022|1|STRUCTURE_TYPE|54||
11.848|11.856|40200350000SB|40A180|01/01/2022|1|STRUCTURE_TYPE|54||
11.848|11.856|40200350000NB|40A181|01/01/2022|1|STRUCTURE_TYPE|54||
43.86|44.13|40100640000EB|40A182|01/01/2022|1|STRUCTURE_TYPE|54||
36.013|36.051|4130003000000|41A027|01/01/2022|1|STRUCTURE_TYPE|54||
0.093|0.141|4101105000000|41A237|01/01/2022|1|STRUCTURE_TYPE|54||
0.126|0.143|4102581000000|41A238|01/01/2022|1|STRUCTURE_TYPE|54||
14.347|14.37|41200190000NB|41A334|01/01/2022|1|STRUCTURE_TYPE|54||
1.726|1.752|42202500000SB|42A263|01/01/2022|1|STRUCTURE_TYPE|54||
20.141|20.152|4330074000000|43A202|01/01/2022|1|STRUCTURE_TYPE|54||
12.648|12.671|4330047000000|43A203|01/01/2022|1|STRUCTURE_TYPE|54||
1.207|1.213|4340031050000|43A204|01/01/2022|1|STRUCTURE_TYPE|54||
0.096|0.104|4440119160000|44A186|01/01/2022|1|STRUCTURE_TYPE|54||
0.233|0.241|4440119160000|44A187|01/01/2022|1|STRUCTURE_TYPE|54||
0.241|0.247|4440014150000|44A188|01/01/2022|1|STRUCTURE_TYPE|54||
7.46|7.47|4440009000000|44A189|01/01/2022|1|STRUCTURE_TYPE|54||
0.124|0.13|4440046010000|44A190|01/01/2022|1|STRUCTURE_TYPE|54||
0.655|0.668|4730038000000|47A096|01/01/2022|1|STRUCTURE_TYPE|54||
0.0|0.057|5000060040000|50A136|01/01/2022|1|STRUCTURE_TYPE|54||
2.997|3.005|5040037030000|50A248|01/01/2022|1|STRUCTURE_TYPE|54||
0.0|0.007|5130082000000|51A105|01/01/2022|1|STRUCTURE_TYPE|54||
27.393|27.454|5430014000000|54A260|01/01/2022|1|STRUCTURE_TYPE|54||
0.003|0.009|5580901220000|55A223|01/01/2022|1|STRUCTURE_TYPE|54||
5.064|5.073|5530010000000|55A249|01/01/2022|1|STRUCTURE_TYPE|54||
7.402|7.412|5530010000000|55A250|01/01/2022|1|STRUCTURE_TYPE|54||
42.565|42.574|5530010000000|55A251|01/01/2022|1|STRUCTURE_TYPE|54||
48.065|48.072|5530010000000|55A252|01/01/2022|1|STRUCTURE_TYPE|54||
22.787|22.815|5530097000000|55A253|01/01/2022|1|STRUCTURE_TYPE|54||
3.393|3.397|0140001000000|01A001|01/01/2022|1|STRUCTURE_TYPE|54||
3.672|3.678|0140001000000|01A002|01/01/2022|1|STRUCTURE_TYPE|54||
3.945|3.971|0140001000000|01A003|01/01/2022|1|STRUCTURE_TYPE|54||
0.643|0.649|0140003000000|01A005|01/01/2022|1|STRUCTURE_TYPE|54||
0.879|0.885|0140005030000|01A006|01/01/2022|1|STRUCTURE_TYPE|54||
11.382|11.388|0140007000000|01A007|01/01/2022|1|STRUCTURE_TYPE|54||
3.773|3.779|0140009000000|01A008|01/01/2022|1|STRUCTURE_TYPE|54||
5.791|5.795|0140009000000|01A009|01/01/2022|1|STRUCTURE_TYPE|54||
2.507|2.555|0140011000000|01A015|01/01/2022|1|STRUCTURE_TYPE|54||
6.347|6.371|0140011000000|01A016|01/01/2022|1|STRUCTURE_TYPE|54||
6.331|6.337|0140012000000|01A020|01/01/2022|1|STRUCTURE_TYPE|54||
6.392|6.398|0140012000000|01A021|01/01/2022|1|STRUCTURE_TYPE|54||
0.027|0.047|0140012030000|01A022|01/01/2022|1|STRUCTURE_TYPE|54||
0.128|0.156|0140012080000|01A023|01/01/2022|1|STRUCTURE_TYPE|54||
1.069|1.077|0140013000000|01A024|01/01/2022|1|STRUCTURE_TYPE|54||
0.798|0.806|0140013010000|01A025|01/01/2022|1|STRUCTURE_TYPE|54||
0.095|0.105|0140013040000|01A026|01/01/2022|1|STRUCTURE_TYPE|54||
2.084|2.088|0140015000000|01A027|01/01/2022|1|STRUCTURE_TYPE|54||
0.012|0.016|0140016040000|01A028|01/01/2022|1|STRUCTURE_TYPE|54||
4.406|4.412|0140017000000|01A029|01/01/2022|1|STRUCTURE_TYPE|54||
0.381|0.405|0140017120000|01A030|01/01/2022|1|STRUCTURE_TYPE|54||
0.788|0.794|0140018000000|01A031|01/01/2022|1|STRUCTURE_TYPE|54||
1.774|1.78|0130020000000|01A032|01/01/2022|1|STRUCTURE_TYPE|54||
4.997|5.013|0140024000000|01A037|01/01/2022|1|STRUCTURE_TYPE|54||
1.265|1.271|0140026000000|01A038|01/01/2022|1|STRUCTURE_TYPE|54||
1.97|1.976|0140026000000|01A039|01/01/2022|1|STRUCTURE_TYPE|54||
