ROUTE_ID,BMP,EMP,data
01200330000EB,0.0,4.43,ARNOLD
01200330000WB,0.0,4.43,ARNOLD
01201190000NB,0.0,18.68,ARNOLD
01201190000SB,0.0,18.68,ARNOLD
01202500000NB,0.0,17.31,ARNOLD
01202500000SB,0.0,17.31,ARNOLD
01202500002NB,0.0,0.033,ARNOLD
01202500002SB,0.0,0.033,ARNOLD
01202500013SB,0.0,0.82,ARNOLD
0130020000000,0.0,3.94,ARNOLD
0130038000000,0.0,12.0,ARNOLD
0130057000000,0.0,9.63,ARNOLD
0130076000000,0.0,6.62,ARNOLD
0130092000000,5.43,16.84,ARNOLD
0130092000000,17.21,26.94,ARNOLD
0140001000000,0.0,3.96,ARNOLD
0140001010000,0.0,4.24,ARNOLD
0140002000000,0.0,3.43,ARNOLD
0140002020000,0.0,3.35,ARNOLD
0140002030000,0.0,0.84,ARNOLD
0140002040000,0.0,2.74,ARNOLD
0140003000000,0.0,3.78,ARNOLD
0140003010000,0.0,1.7,ARNOLD
0140003020000,0.0,1.64,ARNOLD
0140004000000,0.0,2.2,ARNOLD
0140004010000,0.0,1.17,ARNOLD
0140004020000,0.0,0.7,ARNOLD
0140004030000,0.0,0.56,ARNOLD
0140005000000,0.0,3.56,ARNOLD
0140005010000,0.0,0.99,ARNOLD
0140005020000,0.0,1.46,ARNOLD
0140005030000,0.0,0.89,ARNOLD
0140005040000,0.0,1.99,ARNOLD
0140005060000,0.0,0.79,ARNOLD
0140005070000,0.0,1.5,ARNOLD
0140005080000,0.0,2.5,ARNOLD
0140005090000,0.0,0.85,ARNOLD
0140005100000,0.0,1.46,ARNOLD
0140005110000,0.0,0.1,ARNOLD
0140006000000,0.0,6.69,ARNOLD
0140006030000,0.0,1.15,ARNOLD
0140006050000,0.0,0.81,ARNOLD
0140006060000,0.0,1.46,ARNOLD
0140007000000,0.0,11.41,ARNOLD
0140007020000,0.0,3.34,ARNOLD
0140007040000,0.0,1.79,ARNOLD
0140007050000,0.0,1.17,ARNOLD
0140007060000,0.0,2.04,ARNOLD
0140007070000,0.09,0.48,ARNOLD
0140007070000,0.5,1.11,ARNOLD
0140007090000,0.0,0.34,ARNOLD
0140007100000,0.0,0.13,ARNOLD
0140008000000,0.0,5.17,ARNOLD
0140008010000,0.0,0.71,ARNOLD
0140008020000,0.0,0.34,ARNOLD
0140008030000,0.0,0.95,ARNOLD
0140008040000,0.0,3.53,ARNOLD
0140009000000,0.0,11.1,ARNOLD
0140009010000,0.0,0.31,ARNOLD
0140009020000,0.0,1.23,ARNOLD
0140009030000,0.0,0.23,ARNOLD
0140009050000,0.0,0.9,ARNOLD
0140009070000,0.0,1.56,ARNOLD
0140009080000,0.0,1.79,ARNOLD
0140010000000,0.0,1.96,ARNOLD
0140010000000,2.31,7.28,ARNOLD
0140010000000,7.41,11.73,ARNOLD
0140010010000,0.0,1.79,ARNOLD
0140010030000,0.0,1.27,ARNOLD
0140010040000,0.0,1.47,ARNOLD
0140010050000,0.0,0.66,ARNOLD
0140010060000,0.0,0.28,ARNOLD
0140010070000,0.0,0.92,ARNOLD
0140010080000,0.0,1.75,ARNOLD
0140010090000,0.0,0.95,ARNOLD
0140010100000,0.0,0.41,ARNOLD
0140010120000,0.0,0.2,ARNOLD
0140010130000,0.0,2.55,ARNOLD
0140010140000,0.0,0.2,ARNOLD
0140011000000,0.0,15.87,ARNOLD
0140011020000,0.0,0.78,ARNOLD
0140011030000,0.0,3.62,ARNOLD
0140011040000,0.0,1.04,ARNOLD
0140011050000,0.0,2.19,ARNOLD
0140011050000,2.23,2.35,ARNOLD
0140011060000,0.0,1.73,ARNOLD
0140011080000,0.0,1.57,ARNOLD
0140011090000,0.0,1.13,ARNOLD
0140011100000,0.0,3.0,ARNOLD
0140011110000,0.0,1.03,ARNOLD
0140011120000,0.0,1.4,ARNOLD
0140011130000,0.0,0.7,ARNOLD
0140011150000,0.0,0.82,ARNOLD
0140011160000,0.0,2.3,ARNOLD
0140011170000,0.0,0.2,ARNOLD
0140011180000,0.0,0.06,ARNOLD
0140011190000,0.0,0.32,ARNOLD
0140011200000,0.0,0.19,ARNOLD
0140011210000,0.0,0.1,ARNOLD
0140011220000,0.0,0.09,ARNOLD
0140011230000,0.0,0.22,ARNOLD
0140011240000,0.0,0.1,ARNOLD
0140011250000,0.0,0.21,ARNOLD
0140011260000,0.0,0.12,ARNOLD
0140011290000,0.0,0.16,ARNOLD
0140011300000,0.0,0.23,ARNOLD
0140011310000,0.0,0.09,ARNOLD
0140011350000,0.0,0.04,ARNOLD
0140011360000,0.0,0.31,ARNOLD
0140012000000,0.0,6.71,ARNOLD
0140012010000,0.0,3.54,ARNOLD
0140012020000,0.0,1.75,ARNOLD
0140012030000,0.0,2.66,ARNOLD
0140012040000,0.0,4.0,ARNOLD
0140012060000,0.0,1.46,ARNOLD
0140012070000,0.0,2.94,ARNOLD
0140012080000,0.0,2.7,ARNOLD
0140013000000,0.0,1.2,ARNOLD
0140013010000,0.0,1.82,ARNOLD
0140013020000,0.0,0.72,ARNOLD
0140013040000,0.0,0.99,ARNOLD
0140014000000,0.0,2.65,ARNOLD
0140014020000,0.0,1.03,ARNOLD
0140014030000,0.0,0.86,ARNOLD
0140014040000,0.0,0.26,ARNOLD
0140015000000,0.0,4.46,ARNOLD
0140015010000,0.0,2.99,ARNOLD
0140015030000,0.0,0.13,ARNOLD
0140015040000,0.0,0.04,ARNOLD
0140015050000,0.0,0.27,ARNOLD
0140015070000,0.0,0.19,ARNOLD
0140016000000,0.0,4.61,ARNOLD
0140016010000,0.0,0.24,ARNOLD
0140016020000,0.0,2.46,ARNOLD
0140016040000,0.0,0.59,ARNOLD
0140016050000,0.0,0.44,ARNOLD
0140016060000,0.0,0.15,ARNOLD
0140016070000,0.0,0.31,ARNOLD
0140016080000,0.0,0.18,ARNOLD
0140016090000,0.0,0.07,ARNOLD
0140016100000,0.0,0.12,ARNOLD
0140017010000,0.0,2.85,ARNOLD
0140017020000,0.0,1.45,ARNOLD
0140017030000,0.0,1.46,ARNOLD
0140017050000,0.0,0.74,ARNOLD
0140017060000,0.0,2.73,ARNOLD
0140017070000,0.0,2.03,ARNOLD
0140017080000,0.0,2.39,ARNOLD
0140017090000,0.0,1.03,ARNOLD
0140017110000,0.0,0.29,ARNOLD
0140017120000,0.0,0.42,ARNOLD
0140017130000,0.0,0.33,ARNOLD
0140017140000,0.0,0.21,ARNOLD
0140017150000,0.0,0.55,ARNOLD
0140018000000,0.0,2.55,ARNOLD
0140018000000,2.69,5.43,ARNOLD
0140019000000,0.0,0.45,ARNOLD
0140020020000,0.0,1.69,ARNOLD
0140020030000,0.0,1.51,ARNOLD
0140021000000,0.0,2.67,ARNOLD
0140021010000,0.0,1.77,ARNOLD
0140022000000,0.0,6.69,ARNOLD
0140022030000,0.0,1.0,ARNOLD
0140022050000,0.0,1.39,ARNOLD
0140023000000,0.0,0.91,ARNOLD
0140023000000,1.31,1.52,ARNOLD
0140023000000,1.59,2.17,ARNOLD
0140023000000,2.38,2.67,ARNOLD
0140023000000,2.84,5.94,ARNOLD
0140023000000,5.97,6.82,ARNOLD
0140023010000,0.0,0.25,ARNOLD
0140024000000,0.0,4.74,ARNOLD
0140024000000,4.99,7.95,ARNOLD
0140024010000,0.0,1.51,ARNOLD
0140024020000,0.0,2.0,ARNOLD
0140024030000,0.0,0.59,ARNOLD
0140024040000,0.0,0.42,ARNOLD
0140024060000,0.0,1.01,ARNOLD
0140024080000,0.0,0.18,ARNOLD
0140026000000,0.0,6.33,ARNOLD
0140026000000,6.38,9.9,ARNOLD
0140026010000,0.0,2.39,ARNOLD
0140026020000,0.0,1.74,ARNOLD
0140026030000,0.0,1.37,ARNOLD
0140026040000,0.0,1.59,ARNOLD
0140026050000,0.0,2.73,ARNOLD
0140026060000,0.0,2.08,ARNOLD
0140026070000,0.0,1.92,ARNOLD
0140026080000,0.0,1.29,ARNOLD
0140026100000,0.0,0.29,ARNOLD
0140026110000,0.0,1.8,ARNOLD
0140028000000,0.0,1.55,ARNOLD
0140028010000,0.0,3.6,ARNOLD
0140030000000,0.0,11.02,ARNOLD
0140030000200,0.0,0.029,ARNOLD
0140030020000,0.0,0.72,ARNOLD
0140030030000,0.0,1.44,ARNOLD
0140030040000,0.0,0.25,ARNOLD
0140030050000,0.0,0.76,ARNOLD
0140030060000,0.0,2.43,ARNOLD
0140030070000,0.0,2.0,ARNOLD
0140030080000,0.0,0.98,ARNOLD
0140030100000,0.0,0.62,ARNOLD
0140030110000,0.0,0.58,ARNOLD
0140030120000,0.0,0.41,ARNOLD
0140030130000,0.0,0.21,ARNOLD
0140030140000,0.0,0.28,ARNOLD
0140030150000,0.0,0.59,ARNOLD
0140030160000,0.0,0.48,ARNOLD
0140030170000,0.0,1.26,ARNOLD
0140030180000,0.0,0.3,ARNOLD
0140032000000,0.0,8.56,ARNOLD
0140032010000,0.0,0.67,ARNOLD
0140034000000,0.0,2.32,ARNOLD
0140036000000,0.0,0.28,ARNOLD
0140036000000,0.83,5.56,ARNOLD
0140036010000,0.0,1.23,ARNOLD
0140036020000,0.0,2.99,ARNOLD
0140036030000,0.0,0.39,ARNOLD
0140038010000,0.0,0.53,ARNOLD
0140038020000,0.0,0.52,ARNOLD
0140038040000,0.0,0.2,ARNOLD
0140038080000,0.0,0.48,ARNOLD
0140038090000,0.0,0.46,ARNOLD
0140038090000,0.61,0.89,ARNOLD
0140038110000,0.0,0.64,ARNOLD
0140038110000,1.69,1.85,ARNOLD
0140038120000,0.0,0.47,ARNOLD
0140038130000,0.0,2.6,ARNOLD
0140040000000,0.0,2.99,ARNOLD
0140040000000,4.45,5.83,ARNOLD
0140040010000,0.0,1.25,ARNOLD
0140040020000,0.0,0.38,ARNOLD
0140040030000,0.335,2.58,ARNOLD
0140040030000,0.0,0.32,ARNOLD
0140040040000,0.0,2.42,ARNOLD
0140040050000,0.0,1.19,ARNOLD
0140040060000,0.0,0.96,ARNOLD
0140040070000,0.0,1.13,ARNOLD
0140040080000,0.0,3.18,ARNOLD
0140042000000,0.0,2.97,ARNOLD
0140042010000,0.0,0.94,ARNOLD
0140044000000,0.0,3.23,ARNOLD
0140044010000,0.0,0.44,ARNOLD
0140046000000,0.0,2.48,ARNOLD
0140046010000,0.0,1.62,ARNOLD
0140046020000,0.0,1.12,ARNOLD
0140048000000,0.1,2.67,ARNOLD
0140048010000,0.0,1.36,ARNOLD
0140048020000,0.0,2.21,ARNOLD
0140050000000,0.0,2.35,ARNOLD
0140050000000,2.97,5.09,ARNOLD
0140050030000,0.0,0.81,ARNOLD
0140052000000,0.0,7.65,ARNOLD
0140052010000,0.0,0.79,ARNOLD
0140052020000,0.0,0.74,ARNOLD
0140052030000,0.0,0.6,ARNOLD
0140052040000,0.0,0.39,ARNOLD
0140052050000,0.0,0.23,ARNOLD
0140052060000,0.0,0.27,ARNOLD
0140054000000,0.0,2.96,ARNOLD
0140054010000,0.0,1.13,ARNOLD
0140054020000,0.0,0.98,ARNOLD
0140056000000,0.156,1.88,ARNOLD
0140056000000,0.0,0.13,ARNOLD
0140056010000,0.0,1.9,ARNOLD
0140056020000,0.0,0.8,ARNOLD
0140056030000,0.0,0.4,ARNOLD
0140057010000,0.0,2.43,ARNOLD
0140057020000,0.0,1.85,ARNOLD
0140057040000,0.0,1.15,ARNOLD
0140057050000,0.0,0.28,ARNOLD
0140057060000,0.0,0.97,ARNOLD
0140057070000,0.0,1.91,ARNOLD
0140057080000,0.0,2.03,ARNOLD
0140057100000,0.0,1.79,ARNOLD
0140057110000,0.0,0.6,ARNOLD
0140057110000,1.21,1.36,ARNOLD
0140057120000,0.0,1.7,ARNOLD
0140057130000,0.0,1.09,ARNOLD
0140057140000,0.0,1.13,ARNOLD
0140057150000,0.0,0.03,ARNOLD
0140076020000,0.0,0.15,ARNOLD
0140076030000,0.0,0.35,ARNOLD
0140076040000,0.0,0.12,ARNOLD
0140076050000,0.0,0.07,ARNOLD
0140076060000,0.0,0.08,ARNOLD
0140076070000,0.0,0.02,ARNOLD
0140076080000,0.0,0.05,ARNOLD
0140076090000,0.0,0.21,ARNOLD
0140076100000,0.0,0.02,ARNOLD
0140076110000,0.0,0.17,ARNOLD
0140076120000,0.0,0.09,ARNOLD
0140077010000,0.0,1.44,ARNOLD
0140077020000,0.0,2.08,ARNOLD
0140077030000,0.0,0.99,ARNOLD
0140077040000,0.0,0.68,ARNOLD
0140077050000,0.0,1.05,ARNOLD
0140077060000,0.0,0.85,ARNOLD
0140077070000,0.0,0.94,ARNOLD
0140077080000,0.0,0.26,ARNOLD
0140092010000,0.0,1.7,ARNOLD
0140092020000,0.0,3.53,ARNOLD
0140092030000,0.0,1.22,ARNOLD
0140092040000,0.0,1.51,ARNOLD
0140092040000,1.53,3.07,ARNOLD
0140092050000,0.0,1.83,ARNOLD
0140092080000,0.0,2.06,ARNOLD
0140092120000,0.0,3.11,ARNOLD
0140092130000,0.0,1.59,ARNOLD
0140092140000,0.0,1.69,ARNOLD
0140092150000,0.0,0.8,ARNOLD
0140092160000,0.0,1.1,ARNOLD
0140092170000,0.0,0.96,ARNOLD
0140092180000,0.0,2.73,ARNOLD
0140092190000,0.0,2.14,ARNOLD
0140092200000,0.0,0.81,ARNOLD
0140092220000,0.0,0.24,ARNOLD
0140092230000,0.0,0.31,ARNOLD
0140092240000,0.0,0.43,ARNOLD
0140092250000,0.0,1.05,ARNOLD
0140092260000,0.0,0.15,ARNOLD
0140092270000,0.0,0.14,ARNOLD
0140092280000,0.0,0.15,ARNOLD
0140092290000,0.0,0.1,ARNOLD
0140093000000,0.0,3.95,ARNOLD
0140093010000,0.0,1.22,ARNOLD
0140093020000,0.0,0.79,ARNOLD
0140119010000,0.0,0.07,ARNOLD
0140119020000,0.0,0.22,ARNOLD
0140119040000,0.0,1.34,ARNOLD
0140119050000,0.0,1.98,ARNOLD
0140119060000,0.0,0.94,ARNOLD
0140119080000,0.0,0.56,ARNOLD
0140119090000,0.0,1.65,ARNOLD
0140119110000,0.0,0.81,ARNOLD
0140119120000,0.0,0.96,ARNOLD
0140119130000,0.0,0.99,ARNOLD
0140119150000,0.0,1.32,ARNOLD
0140119160000,0.0,0.97,ARNOLD
0140119170000,0.0,0.33,ARNOLD
0140119180000,0.0,1.23,ARNOLD
0140119190000,0.0,0.5,ARNOLD
0140119210000,0.0,0.27,ARNOLD
0140119220000,0.0,0.4,ARNOLD
0140119230000,0.0,0.3,ARNOLD
0140119240000,0.0,0.3,ARNOLD
0140119250000,0.0,0.3,ARNOLD
0140119260000,0.0,0.25,ARNOLD
0140119280000,0.0,0.12,ARNOLD
0140119290000,0.0,0.09,ARNOLD
0140119300000,0.0,0.12,ARNOLD
0140119310000,0.0,0.11,ARNOLD
0140119320000,0.0,0.11,ARNOLD
0140119330000,0.0,0.11,ARNOLD
0140119340000,0.0,0.08,ARNOLD
0140250010000,0.0,2.74,ARNOLD
0140250020000,0.0,1.92,ARNOLD
0140250030000,0.0,1.89,ARNOLD
0140250040000,0.0,0.24,ARNOLD
0140250040000,0.32,2.35,ARNOLD
0140250050000,0.0,2.27,ARNOLD
0140250060000,0.0,2.66,ARNOLD
0140250080000,0.0,2.87,ARNOLD
0140250090000,0.0,0.39,ARNOLD
0140250090000,0.75,2.04,ARNOLD
0140250100000,0.0,1.08,ARNOLD
0140250110000,0.0,1.08,ARNOLD
0140250120000,0.0,0.56,ARNOLD
0140250130000,0.0,0.51,ARNOLD
0140250140000,0.0,0.26,ARNOLD
0140250150000,0.0,0.48,ARNOLD
0140250160000,0.0,0.27,ARNOLD
0140250170000,0.0,0.23,ARNOLD
0140250180000,0.0,0.42,ARNOLD
0140250190000,0.0,0.33,ARNOLD
0140250200000,0.0,0.07,ARNOLD
0140250210000,0.0,0.12,ARNOLD
0140250220000,0.0,0.06,ARNOLD
0140250230000,0.0,0.06,ARNOLD
0140250240000,0.0,0.08,ARNOLD
0140250250000,0.0,0.22,ARNOLD
0140250260000,0.0,0.04,ARNOLD
0140250270000,0.0,0.272,ARNOLD
0140250270000,0.3,0.8,ARNOLD
0140250280000,0.0,0.14,ARNOLD
0140250290000,0.0,0.37,ARNOLD
0140250300000,0.0,0.05,ARNOLD
0140250310000,0.0,0.14,ARNOLD
0140250320000,0.0,0.09,ARNOLD
0140250330000,0.0,0.49,ARNOLD
0140250350000,0.0,0.055,ARNOLD
0140250370000,0.0,0.03,ARNOLD
0140250380000,0.0,0.05,ARNOLD
0140250390000,0.0,0.23,ARNOLD
0160801000000,0.0,1.89,ARNOLD
0160802000000,0.0,1.35,ARNOLD
0160803000000,0.0,0.34,ARNOLD
0160804000000,0.0,0.12,ARNOLD
0160805000000,0.0,0.44,ARNOLD
0160806000000,0.0,0.22,ARNOLD
0160813000000,0.0,0.04,ARNOLD
0160814000000,0.0,0.14,ARNOLD
0160815000000,0.0,1.07,ARNOLD
0160816000000,0.0,0.05,ARNOLD
0160817000000,0.0,0.34,ARNOLD
