mp|len_feet|RouteID|barsid|latitude|longitude|len_mile_half|len_mile|bmp|emp|error
0.005|37.7|2400362000000|24A910|37.30208|-81.69069|0.00357019|0.00714038|0.001|0.009|
0.006|31.4|5580901220000|55A223|37.71163|-81.4531|0.00297358|0.00594716|0.003|0.009|['Route ID not found']
0.007|26.0|2480901210000|24A383|37.25101|-81.64968|0.0024622|0.0049244|0.005|0.009|
0.012|67.7|0340085230000|03A204|37.89042|-81.67323|0.00641119|0.01282238|0.006|0.018|
0.014|68.1|1040002020000|10A325|38.18638|-81.29899|0.006449069999999999|0.01289814|0.008|0.02|
0.014|28.9|4001471000000|40A905|38.41255|-81.98371|0.00273683|0.00547366|0.011|0.017|
0.015|112.3|1740050590000|17A363|39.28756|-80.34876|0.01063481|0.02126962|0.004|0.026|
0.017|106.0|2040019000000|20A896|38.56189|-81.63551|0.0100382|0.0200764|0.007|0.027|
0.018|133.0|0900025000000|09A902|39.28989|-80.77146|0.0125951|0.0251902|0.005|0.031|
0.044|27.8|4140028060000|41A335|37.74213|-81.30601|0.00263266|0.00526532|0.041|0.047|
0.045|296.2|0840046000000|08A138|38.53614|-81.03413|0.02805014|0.05610028|0.017|0.073|
0.049|45.6|1040061050000|10A308|38.09424|-81.24897|0.00431832|0.00863664|0.045|0.053|['Route ID not found']
0.064|153.5|2440083210000|24A384|37.33881|-81.73287|0.01453645|0.0290729|0.049|0.079|
0.1|36.9|2675256001900|26A907|39.92679|-80.73896|0.00349443|0.00698886|0.097|0.103|
0.136|342.5|40100640017WB0044D|40A184|38.44774|-81.84885|0.03243475|0.0648695|0.104|0.168|
0.137|35.9|4140003020000|41A336|37.88401|-81.5341|0.00339973|0.006799459999999999|0.134|0.14|
0.2|52.6|5030075000000|50A145|38.39801|-82.57808|0.00498122|0.00996244|0.195|0.205|['Route ID not found']
0.247|172.0|40100640017WB0044C|40A185|38.44812|-81.84914|0.0162884|0.0325768|0.231|0.263|
0.262|47.8|3840004010000|38A148|38.47556|-79.79881|0.00452666|0.00905332|0.257|0.267|
0.271|140.0|3640028030000|36A174|38.83229|-79.37295|0.013258|0.026516|0.258|0.284|
0.289|83.0|2740016000000|27A208|38.86302|-82.12142|0.0078601|0.0157202|0.281|0.297|
0.379|148.2|4560847000000|45A099|37.51463|-80.83764|0.01403454|0.02806908|0.365|0.393|
0.613|53.0|4140019080000|41A337|37.79361|-81.17456|0.0050191|0.0100382|0.608|0.618|
0.648|22.0|0840019000000|08A139|38.58895|-81.02679|0.0020834|0.0041668|0.646|0.65|
0.756|30.0|3940106000000|39A253|39.39173|-79.5849|0.002841|0.005682|0.753|0.759|
0.83|25.3|4840038000000|48A052|39.46878|-80.8226|0.00239591|0.00479182|0.828|0.832|
1.43|27.6|1340024010000|13A281|37.89852|-80.75448|0.00261372|0.00522744|1.427|1.433|
1.471|67.6|2440012040000|24A386|37.28529|-81.69275|0.00640172|0.01280344|1.465|1.477|
1.475|441.5|2040214132400|20A952|38.34445|-81.70964|0.04181005|0.0836201|1.433|1.517|
1.616|78.0|25200190000NB|25A281|39.45209|-80.26858|0.0073866|0.0147732|1.609|1.623|
1.859|43.6|2040073050000|20A953|38.31303|-81.47989|0.00412892|0.00825784|1.855|1.863|
2.106|50.0|2540250030000|25A280|39.6158|-80.4158|0.004735|0.00947|2.101|2.111|
2.133|50.0|0940023030000|09A138|39.19011|-80.79526|0.004735|0.00947|2.128|2.138|
2.33|62.7|2740045030000|27A199|38.54907|-82.14534|0.00593769|0.01187538|2.324|2.336|
3.248|22.0|3440026000000|34A149|38.18349|-80.80469|0.0020834|0.0041668|3.246|3.25|
3.646|74.2|2040023000000|20A890|38.29806|-81.64434|0.00702674|0.01405348|3.639|3.653|['Route ID not found']
4.001|73.2|2040020000000|20A887|38.30745|-81.66943|0.00693204|0.01386408|3.994|4.008|['Route ID not found']
4.041|98.6|2540007000000|25A285|39.52088|-80.42264|0.009337419999999999|0.01867484|4.032|4.05|['Route ID not found']
4.161|68.7|2040020000000|20A888|38.30532|-81.66892|0.00650589|0.01301178|4.154|4.168|['Route ID not found']
4.272|74.3|2040020000000|20A889|38.30394|-81.66769|0.007036209999999999|0.01407242|4.265|4.279|['Route ID not found']
4.5954|202.0|0230051000000|02A180|39.36253|-78.04818|0.0191294|0.0382588|4.576|4.615|
4.63|54.1|2040059000000|20A893|38.5272|-81.30809|0.00512327|0.01024654|4.625|4.635|
4.798|45.6|2840002000000|28A342|37.54335|-81.05311|0.00431832|0.00863664|4.794|4.802|
5.433|107.0|2740035100000|27A198|38.71296|-81.88136|0.0101329|0.0202658|5.423|5.443|
5.443|56.2|0830004000000|08A135|38.49168|-81.16256|0.00532214|0.01064428|5.438|5.448|
5.575|156.9|4040044000000|40A183|38.45315|-81.86079|0.01485843|0.02971686|5.56|5.59|
5.621|1853.5|0530002000000|05A088|40.2542|-80.6311|0.17552645|0.3510529|5.445|5.797|
6.844|105.0|1330039000000|13A279|38.21988|-80.39529|0.0099435|0.019887|6.834|6.854|
7.149|84.0|0340010000000|03A178|38.07844|-81.95829|0.0079548|0.0159096|7.141|7.157|
7.456|52.0|4830023000000|48A108|39.40037|-80.74735|0.0049244|0.0098488|7.451|7.461|
8.139|100.0|1740003000000|17A287|39.39208|-80.32242|0.00947|0.01894|8.13|8.148|['Route ID not found']
9.056|76.8|2740009000000|27A104|38.96194|-81.93415|0.007272959999999999|0.01454592|9.049|9.063|['Route ID not found']
