,bmp,emp,RouteID,barsid
0,26.923,26.952,0130092000000,01A100
2,0.173,0.193,1030612000000,10A324
3,7.778,7.837,1440001000000,14A134
4,0.043,0.049,1700048160000,17A918
5,0.977,1.062,20201190005SB,20A399
6,17.897,17.983,20201190000NB,20A400
7,27.118,27.175,20300610000SB,20A534
8,11.237,11.244,3040013000000,24A007
9,1.29,1.323,2440007000000,24A381
10,32.547,32.562,30200520000EB,30A184
11,0.021,0.081,2330080000000,30A240
12,0.029,0.035,3174817001900,31A905
13,0.078,0.085,3174817001900,31A906
14,1.535,1.541,38U0001080000,38A143
15,14.757,14.886,40200350000SB,40A177
16,14.753,14.887,40200350000NB,40A179
17,11.848,11.856,40200350000SB,40A180
18,11.848,11.856,40200350000NB,40A181
19,43.86,44.13,40100640000EB,40A182
20,36.013,36.051,4130003000000,41A027
21,0.093,0.141,4101105000000,41A237
22,0.126,0.143,4102581000000,41A238
23,14.347,14.37,41200190000NB,41A334
24,1.726,1.752,42202500000SB,42A263
25,20.141,20.152,4330074000000,43A202
26,12.648,12.671,4330047000000,43A203
27,1.207,1.213,4340031050000,43A204
28,0.096,0.104,4440119160000,44A186
29,0.233,0.241,4440119160000,44A187
30,0.241,0.247,4440014150000,44A188
31,7.46,7.47,4440009000000,44A189
32,0.124,0.13,4440046010000,44A190
33,0.655,0.668,4730038000000,47A096
34,0.0,0.057,5000060040000,50A136
35,2.997,3.005,5040037030000,50A248
36,0.0,0.007,5130082000000,51A105
37,27.393,27.454,5430014000000,54A260
39,5.064,5.073,5530010000000,55A249
40,7.402,7.412,5530010000000,55A250
41,42.565,42.574,5530010000000,55A251
42,48.065,48.072,5530010000000,55A252
43,22.787,22.815,5530097000000,55A253
44,3.393,3.397,0140001000000,01A001
45,3.672,3.678,0140001000000,01A002
46,3.945,3.971,0140001000000,01A003
47,0.643,0.649,0140003000000,01A005
48,0.879,0.885,0140005030000,01A006
49,11.382,11.388,0140007000000,01A007
50,3.773,3.779,0140009000000,01A008
51,5.791,5.795,0140009000000,01A009
52,2.507,2.555,0140011000000,01A015
53,6.347,6.371,0140011000000,01A016
54,6.331,6.337,0140012000000,01A020
55,6.392,6.398,0140012000000,01A021
56,0.027,0.047,0140012030000,01A022
57,0.128,0.156,0140012080000,01A023
58,1.069,1.077,0140013000000,01A024
59,0.798,0.806,0140013010000,01A025
60,0.095,0.105,0140013040000,01A026
61,2.084,2.088,0140015000000,01A027
62,0.012,0.016,0140016040000,01A028
63,4.406,4.412,0140017000000,01A029
64,0.381,0.405,0140017120000,01A030
65,0.788,0.794,0140018000000,01A031
66,1.774,1.78,0130020000000,01A032
67,4.997,5.013,0140024000000,01A037
68,1.265,1.271,0140026000000,01A038
69,1.97,1.976,0140026000000,01A039
70,2.382,2.392,0140026000000,01A040
71,0.016,0.024,0140026050000,01A041
72,4.399,4.411,0140026000000,01A042
73,2.368,2.378,0140026010000,01A043
74,8.638,8.642,0140030000000,01A045
75,1.322,1.33,0140032000000,01A046
76,8.056,8.062,0140032000000,01A047
77,4.726,4.754,0140036000000,01A048
78,2.7,2.736,0130038000000,01A049
79,6.839,6.851,0130038000000,01A050
80,9.882,9.898,0130038000000,01A052
81,10.9,10.906,0130038000000,01A053
82,5.158,5.176,0140040000000,01A055
83,2.387,2.393,0140046000000,01A059
84,2.099,2.105,0140048000000,01A061
85,5.438,5.442,0130057000000,01A064
86,0.557,0.561,0140021000000,01A065
87,0.021,0.039,0140057010000,01A066
88,1.884,1.896,0140057070000,01A069
89,0.124,0.134,0140057100000,01A070
90,0.369,0.377,0140057100000,01A071
91,0.55,0.562,0130076000000,01A072
92,0.051,0.057,0140077010000,01A073
93,7.541,7.547,0130092000000,01A074
94,9.244,9.252,0130092000000,01A075
95,19.143,19.167,0130092000000,01A076
96,19.413,19.427,0130092000000,01A077
97,26.735,26.739,0130092000000,01A078
98,0.708,0.712,0140092120000,01A080
99,0.799,0.809,0140092200000,01A083
100,3.669,3.675,0140093000000,01A084
101,13.601,13.607,01201190000NB,01A085
102,15.901,15.967,01201190000SB,01A086
103,17.482,17.522,01201190000SB,01A087
104,18.483,18.489,01201190000SB,01A088
105,0.47,0.48,01202500000NB,01A090
106,5.419,5.425,01202500000NB,01A091
107,17.237,17.297,01202500000SB,01A092
108,0.057,0.121,0140119210000,01A093
109,11.397,11.401,01201190000NB,01A097
110,7.236,7.242,0130057000000,01A098
111,4.23,4.248,0140001010000,01A099
112,15.775,15.817,0140011000000,01A101
113,0.64,0.644,0140011020000,01A102
114,7.352,7.366,0130038000000,01A103
115,6.318,6.324,0140026000000,01A104
116,1.587,1.623,0140046010000,01A105
117,0.093,0.101,0140007100000,01A106
118,0.374,0.544,01202500013SB,01A107
119,1.225,1.243,0140040010000,01A108
120,0.093,0.107,0140057060000,01A109
121,0.017,0.029,0140011030000,01A110
122,0.018,0.036,0140040040000,01A111
123,10.807,10.811,0140030000000,01A112
124,1.319,1.325,0140020030000,01A113
125,0.071,0.077,0140119020000,01A114
126,0.0,0.017,0140057150000,01A115
127,1.314,1.32,0140011000000,01A116
128,0.088,0.096,0140092170000,01A117
129,9.922,9.988,0140010000000,01A118
130,6.009,6.083,0140012000000,01A119
131,2.627,2.633,0140092180000,01A120
132,7.915,7.923,0140009000000,01A121
133,10.668,10.686,0140010000000,01A122
134,0.026,0.072,0140056000000,01A123
135,0.03,0.044,0140040050000,01A124
136,0.19,0.216,0240001000000,02A001
137,3.301,3.305,0240001000000,02A003
138,1.797,1.803,0240002000000,02A005
139,1.325,1.329,0240007000000,02A012
140,1.819,1.823,0240007000000,02A013
141,4.82,4.828,0240007000000,02A014
142,5.899,5.915,0240007000000,02A015
143,7.352,7.364,0240007000000,02A016
144,7.779,7.791,0240007000000,02A017
145,8.408,8.42,0240007000000,02A018
146,8.955,8.967,0240007000000,02A019
147,0.622,0.63,0240007180000,02A020
148,4.827,4.879,0230009000000,02A022
149,7.538,7.542,0230009000000,02A023
150,10.519,10.553,0230009000000,02A024
151,10.916,10.97,0230009000000,02A025
152,14.675,14.701,02200110000NB,02A026
153,15.046,15.066,0230009000000,02A027
154,17.356,17.364,02300090000WB,02A029
155,1.397,1.403,0240025000000,02A032
156,0.856,0.864,0240009040000,02A033
157,1.068,1.08,0240009040000,02A034
158,1.978,1.99,0240009040000,02A035
159,3.257,3.263,0240009050000,02A036
160,0.06,0.066,0240013010000,02A037
161,2.697,2.703,0240023000000,02A038
162,1.403,1.409,0240009170000,02A040
163,6.05,6.056,02200110000NB,02A044
164,1.158,1.206,0240011020000,02A047
165,1.437,1.443,0240015000000,02A055
166,1.6,1.606,0240015000000,02A056
167,0.205,0.217,0240018000000,02A058
168,3.373,3.381,0240019000000,02A061
169,4.039,4.063,0240019000000,02A062
170,1.58,1.632,0240024010000,02A065
171,1.053,1.059,0240024030000,02A066
172,3.466,3.508,0240026000000,02A067
173,5.057,5.065,0240026000000,02A068
174,19.603,19.651,0230045000000,02A075
177,3.298,3.306,0240051020000,02A080
178,1.693,1.697,02100810000SB,02A083
179,6.051,6.057,02100810000SB,02A085
180,14.708,14.716,02100810000NB,02A088
181,17.23,17.278,02100810000NB,02A090
182,18.128,18.148,02100810000NB,02A092
183,19.116,19.138,02100810000NB,02A093
184,18.11,18.13,02100810000SB,02A103
185,19.109,19.131,02100810000SB,02A104
186,0.136,0.144,02300090007WB,02A112
187,0.887,0.901,0240003020000,02A113
188,4.95,4.956,0230009000000,02A114
189,0.761,0.765,0240009130000,02A115
190,1.737,1.769,0240006010000,02A116
191,2.663,2.675,0230901000000,02A117
192,2.678,2.712,0240018010000,02A118
193,3.45,3.46,0240034000000,02A119
194,21.755,21.775,02100810000NB,02A121
195,21.738,21.758,02100810000SB,02A122
196,0.874,0.922,0240018000000,02A123
197,3.196,3.202,0240009010000,02A124
198,0.103,0.119,0240009300000,02A125
199,1.528,1.566,0240013000000,02A126
200,2.696,2.742,0240015000000,02A127
201,13.515,13.539,02100810000SB,02A128
202,13.52,13.544,02100810000NB,02A129
203,5.313,5.355,0230901000000,02A130
204,3.651,3.709,0240051070000,02A131
205,0.061,0.069,0240011040000,02A132
206,11.646,11.67,02100810000NB,02A133
207,11.628,11.652,02100810000SB,02A134
208,2.743,2.809,0240003020000,02A135
209,3.519,3.557,0240012000000,02A136
210,4.438,4.444,0240004000000,02A137
211,0.66,0.666,0240012020000,02A138
212,3.141,3.157,02200110000NB,02A139
213,0.424,0.428,0240009150000,02A140
214,4.24,4.278,0230045000000,02A141
215,17.477,17.527,0230009000000,02A142
216,17.462,17.514,02300090000WB,02A143
217,2.303,2.315,0240009160000,02A144
218,7.934,7.94,0240005000000,02A145
219,0.675,0.729,0240009570000,02A146
220,19.742,19.766,0230009000000,02A147
221,19.732,19.756,02300090000WB,02A148
222,0.203,0.237,0246000002300,02A149
223,18.133,18.155,0230009000000,02A150
224,18.137,18.159,02300090000WB,02A151
225,1.199,1.241,0240032000000,02A152
226,3.632,3.636,0240051020000,02A153
227,25.839,26.063,02100810000NB,02A157
228,25.839,26.063,02100810000SB,02A158
229,23.437,23.477,02100810000NB,02A160
230,23.467,23.505,02100810000SB,02A161
231,0.975,0.999,0240006000000,02A162
232,0.935,0.969,0240009560000,02A163
233,0.716,0.75,0240009560000,02A164
234,0.377,0.475,0240009560000,02A165
235,0.248,0.284,0240009560000,02A166
236,1.044,1.082,0240010010000,02A167
237,0.046,0.076,0240009300000,02A168
238,4.217,4.223,0240024000000,02A169
239,2.364,2.37,0240037000000,02A170
240,8.047,8.095,0240026000000,02A171
241,0.736,0.744,0240013000000,02A172
242,2.181,2.199,0240036000000,02A173
243,2.07,2.092,0240022000000,02A174
244,0.506,0.516,0240015000000,02A175
245,2.539,2.551,0230009000000,02A176
246,2.84,2.878,0240010000000,02A177
247,3.282,3.294,02100810000NB,02A178
248,3.282,3.294,02100810000SB,02A179
249,0.435,0.441,0274256001900,02A901
250,0.162,0.168,0274259001900,02A903
251,0.619,0.625,0200683000000,02A905
252,0.174,0.182,0200683000000,02A907
253,0.016,0.024,0201509000000,02A908
254,3.335,3.341,0340001000000,03A001
255,8.39,8.396,0340001000000,03A003
