BeginDate|StateID|RouteID|BeginPoint|EndPoint|ValueNumeric|DataItem|Comment|ValueText|ValueDate
01/01/2025|54|02100810000NB|0.0|26.0|1.0|NHFN|||
01/01/2025|54|06100640000EB|5.87|31.77|1.0|NHFN|||
01/01/2025|54|10100770016NB|52.58|67.21|1.0|NHFN|||
01/01/2025|54|18100770000NB|117.5|156.99|1.0|NHFN|||
01/01/2025|54|20100640000EB|45.39|58.78|1.0|NHFN|||
01/01/2025|54|20100770000NB|95.34|117.5|1.0|NHFN|||
01/01/2025|54|20100770016NB|67.21|95.34|1.0|NHFN|||
01/01/2025|54|28100770000NB|0.0|8.98|1.0|NHFN|||
01/01/2025|54|28100770016NB|8.98|27.26|1.0|NHFN|||
01/01/2025|54|35100700000EB|0.0|14.45|1.0|NHFN|||
01/01/2025|54|40100640000EB|31.77|45.39|1.0|NHFN|||
01/01/2025|54|41100770016NB|27.26|52.58|1.0|NHFN|||
01/01/2025|54|50100640000EB|0.0|5.87|1.0|NHFN|||
01/01/2025|54|54100770000NB|156.99|187.21|1.0|NHFN|||
01/01/2025|54|06200600007WB|0.15|2.26|1.0|NHFN|||
01/01/2025|54|0630010000000|18.41|18.58|1.0|NHFN|||
01/01/2025|54|06200600000EB|6.019|9.363|1.0|NHFN|||
01/01/2025|54|0630002000000|0.0|5.61|1.0|NHFN|||
01/01/2025|54|06200600000EB|3.93|6.019|1.0|NHFN|||
01/01/2025|54|06200600007WB|0.005|0.15|1.0|NHFN|||
01/01/2025|54|0630527000000|0.0|0.6|1.0|NHFN|||
01/01/2025|54|0630527000100|0.278|0.51|1.0|NHFN|||
01/01/2025|54|06200600000EB|2.88|3.93|1.0|NHFN|||
01/01/2025|54|0230009000000|10.55|20.18|2.0|NHFN|||
01/01/2025|54|05200220000EB|0.0|5.89|2.0|NHFN|||
01/01/2025|54|0530002000000|15.61|16.81|2.0|NHFN|||
01/01/2025|54|0530002000000|0.0|5.72|2.0|NHFN|||
01/01/2025|54|0630002000000|5.63|17.99|2.0|NHFN|||
01/01/2025|54|09200500000EB|0.0|18.87|2.0|NHFN|||
01/01/2025|54|13202190000NB|6.72|12.82|2.0|NHFN|||
01/01/2025|54|1530002000000|0.0|21.37|2.0|NHFN|||
01/01/2025|54|16200480024EB|31.11|37.94|2.0|NHFN|||
01/01/2025|54|17200500000EB|0.0|18.35|2.0|NHFN|||
01/01/2025|54|18200330000EB|0.0|3.32|2.0|NHFN|||
01/01/2025|54|1830002000000|0.0|13.62|2.0|NHFN|||
01/01/2025|54|19203400000NB|0.0|16.03|2.0|NHFN|||
01/01/2025|54|1930009000000|0.0|8.94|2.0|NHFN|||
01/01/2025|54|2630002000000|0.0|27.73|2.0|NHFN|||
01/01/2025|54|27200350000NB|0.0|18.46|2.0|NHFN|||
