RouteID|BMP|EMP|BeginDate|StateID|ValueNumeric|DataItem|Comment|ValueText|ValueDate
0630527000000|0.0|0.6|01/01/2025|54|1|NHFN|||
0630527000000|1.04|3.22|01/01/2025|54|3|NHFN|||
2030025000000|0.0|0.59|01/01/2025|54|3|NHFN|||
2030025000000|2.69|5.75|01/01/2025|54|3|NHFN|||
5230002000000|0.0|12.12|01/01/2025|54|2|NHFN|||
54100770000NB|156.99|187.21|01/01/2025|54|1|NHFN|||
5430002000000|23.09|23.11|01/01/2025|54|3|NHFN|||
5430002000000|23.11|29.46|01/01/2025|54|2|NHFN|||
4030025000000|0.0|2.19|01/01/2025|54|3|NHFN|||
19203400000SB|7.93|8.71|01/01/2025|54|3|NHFN|||
0240011270000|0.0|1.11|01/01/2025|54|3|NHFN|||
0240009300000|0.0|0.23|01/01/2025|54|3|NHFN|||
0240011650000|0.86|1.01|01/01/2025|54|3|NHFN|||
06200600007WB|0.005|0.15|01/01/2025|54|1|NHFN|||
06200600007WB|0.15|2.26|01/01/2025|54|1|NHFN|||
50100640000EB|0.0|5.87|01/01/2025|54|1|NHFN|||
3140857000000|0.0|3.47|01/01/2025|54|3|NHFN|||
3140857000000|4.06|5.59|01/01/2025|54|3|NHFN|||
3140857000000|6.21|7.25|01/01/2025|54|3|NHFN|||
31400192400SB|2.92|3.35|01/01/2025|54|3|NHFN|||
20201190003WB|0.0|0.3|01/01/2025|54|3|NHFN|||
35100700000EB|0.0|14.45|01/01/2025|54|1|NHFN|||
18100770000NB|117.5|156.99|01/01/2025|54|1|NHFN|||
2830108000000|1.1|2.43|01/01/2025|54|2|NHFN|||
18200330000EB|0.0|0.12|01/01/2025|54|2|NHFN|||
18200330000EB|0.121|3.32|01/01/2025|54|2|NHFN|||
50200520000EB|4.41|6.82|01/01/2025|54|2|NHFN|||
50200520000EB|15.97|20.98|01/01/2025|54|2|NHFN|||
28301080000SB|0.0|1.1|01/01/2025|54|2|NHFN|||
41200190000SB|8.75|12.17|01/01/2025|54|3|NHFN|||
41200190000SB|16.321|18.927|01/01/2025|54|3|NHFN|||
