id,Year_Record,State_Code,County_Code,F_System,Urban_Code,Ownership,Section_Length,County_Name,Facility_Description,Userid,RILTimestamp,HPMSYear,Status
1,2017,54,7,7,99999,70,22.75,BRAXTON,F-CE Corp of Engineer Roads - Sutton (5) and Burnsville Lakes,CST,2017-05-16 00:00:00.000,2019,NULL
2,2017,54,19,7,99999,66,7.1,FAYETTE,F-NPS New River Gorge National Park,CST,2017-05-16 00:00:00.000,2019,NULL
3,2018,54,23,7,99999,64,24.64,GRANT,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
4,2018,54,25,7,99999,63,0.155,GREENBRIER,F-FW White Sulphur Springs National Fish Hatchery,CST,2019-04-17 00:00:00.000,2019,NULL
5,2018,54,25,7,99999,64,48.165,GREENBRIER,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
6,2018,54,31,7,99999,64,18.685,HARDY,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
7,2017,54,37,7,99999,66,4.5,JEFFERSON,F-NPS Harper's Ferry National Park,CST,2017-05-16 00:00:00.000,2019,NULL
8,2017,54,41,7,99999,70,91,LEWIS,F-CE Corp of Engneer Roads - Stonewall Jackson Lake (40),CST,2018-05-22 00:00:00.000,2019,NULL
28,2018,54,37,7,99999,63,1.73,JEFFERSON,National Conservation Training,CST,2019-04-17 00:00:00.000,2019,NULL
10,2018,54,63,7,99999,64,3.348,MONROE,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
11,2018,54,67,7,99999,64,9.858,NICHOLAS,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
12,2017,54,67,7,99999,70,11.375,NICHOLAS,F-CE Corp of Engineer Roads - Summerville Lake,CST,2018-05-22 00:00:00.000,2019,NULL
13,2018,54,71,7,99999,64,43.289,PENDLETON,F-MonNF USFS Miles,CST,2018-05-22 00:00:00.000,2019,NULL
14,2018,54,75,7,99999,64,170.511,POCAHONTAS,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
29,2018,54,73,7,99999,63,1.648,PLEASANTS,Ohio River Islands National Wildlife Refuge,CST,2019-04-17 00:00:00.000,2019,NULL
16,2017,54,81,7,99999,66,19.4,RALEIGH,F-NPS New River Gorge National Park,CST,2017-05-16 00:00:00.000,2019,NULL
17,2018,54,83,7,99999,64,223.985,RANDOLPH,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
18,2017,54,89,7,99999,70,11.375,SUMMERS,F-CE Corp of Engineer Roads - Bluestone Lake,CST,2018-05-22 00:00:00.000,2019,NULL
19,2017,54,91,7,99999,70,11.375,TAYLOR,F-CE Corp of Engineer Roads - Tygart Valley Lake,CST,2018-05-22 00:00:00.000,2019,NULL
20,2018,54,93,7,99999,63,6.513,TUCKER,F-FW Canaan Valley National Wildlife Refuge,CST,2019-04-17 00:00:00.000,2019,NULL
21,2018,54,93,7,99999,64,72.373,TUCKER,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
22,2017,54,99,7,99999,70,22.75,WAYNE,F-CE Corp of Engineer Roads - East Lynn Lake (5) and Beech Fork Lake (5),CST,2018-05-22 00:00:00.000,2019,NULL
23,2018,54,101,7,99999,64,40.553,WEBSTER,F-MonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
24,2017,54,109,7,99999,70,11.375,WYOMING,F-CE Corp of Engineer Roads - R.D. Bailey Lake,CST,2018-05-22 00:00:00.000,2019,NULL
27,2018,54,27,7,99999,64,8.563,HAMPSHIRE,F-GeorgeWashingtonNF USFS Miles,CST,2019-04-17 00:00:00.000,2019,NULL
31,2018,54,57,7,99999,73,18.65,MINERAL,Allegany Ballistics Lab,CST,2019-04-22 00:00:00.000,2018,NULL
32,2018,34,11,7,40753,73,0.1,CABELL,Naval Reserve Center,CST,2019-04-22 00:00:00.000,2018,NULL
28,2017,54,77,7,99999,74,8,PRESTON,ARMY,CST,2018-05-11 00:00:00.000,2018,FM
29,2018,54,71,7,99999,73,5.14,PENDLETON,Naval Radio Station (now a state drug treatment facility),CST,2018-05-11 00:00:00.000,2018,FM
30,2018,54,107,7,99999,63,0.086,WOOD,Ohio River Islands National Wildlife Refuge,CST,2019-04-17 00:00:00.000,2019,NULL
