County_Code,County,FedFSystemID,FedFSystemDescript,Urbanization,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
01,Barbour,1,Interstate,Urban,0,0,0,0,0,0,0,1
01,Barbour,2,O. F. E,Urban,0,0,0,0,0,0,0,1
01,Barbour,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
01,Barbour,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
01,Barbour,5,Major Collector,Urban,0,0,0,0,0,0,0,1
01,Barbour,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
01,Barbour,7,Local,Urban,0,0,0,0,0,0,0,1
01,Barbour,1,Interstate,Rural,0,0,0,0,0,0,0,1
01,Barbour,2,O. F. E,Rural,0,0,0,0,0,0,0,1
01,Barbour,3,O. P. A.,Rural,4.43,0.7,19.75,1.55,13.47,36.91,10.31,1
01,Barbour,4,Minor Arterial,Rural,39.96,6.34,79.93,6.29,55.99,153.39,42.86,1
01,Barbour,5,Major Collector,Rural,101.58,16.13,203.16,15.99,46.16,126.46,35.34,1
01,Barbour,6,Minor Collector,Rural,18.42,2.92,36.84,2.9,1.85,5.06,1.41,1
01,Barbour,7,Local,Rural,465.54,73.9,931.09,73.27,13.16,36.04,10.07,1
01,Barbour,99,Total County,All,629.93,100,1270.77,100,130.63,357.86,100,2
02,Berkeley,1,Interstate,Urban,37.05,5.63,151.65,10.72,572.94,1569.69,48.89,1
02,Berkeley,2,O. F. E,Urban,0,0,0,0,0,0,0,1
02,Berkeley,3,O. P. A.,Urban,17.39,2.64,47.01,3.32,119.56,327.57,10.2,1
02,Berkeley,4,Minor Arterial,Urban,40.45,6.15,83.53,5.9,173.95,476.56,14.84,1
02,Berkeley,5,Major Collector,Urban,57.86,8.79,118.81,8.4,120.64,330.52,10.29,1
02,Berkeley,6,Minor Collector,Urban,6.37,0.97,13.98,0.99,15.37,42.11,1.31,1
02,Berkeley,7,Local,Urban,211.99,32.21,425.76,30.09,68.46,187.57,5.84,1
02,Berkeley,1,Interstate,Rural,0,0,0,0,0,0,0,1
02,Berkeley,2,O. F. E,Rural,0,0,0,0,0,0,0,1
02,Berkeley,3,O. P. A.,Rural,4.95,0.75,9.91,0.7,18.36,50.31,1.57,1
02,Berkeley,4,Minor Arterial,Rural,8.11,1.23,16.23,1.15,17.84,48.88,1.52,1
02,Berkeley,5,Major Collector,Rural,31.99,4.86,63.99,4.52,29.25,80.14,2.5,1
