County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
01,Barbour,1,"Interstates                                       ",0,0,0,0,0,0,0,1
01,Barbour,2,"US Routes                                         ",41.27,6.55,93.44,7.35,68.3,187.13,52.29,1
01,Barbour,3,"WV Routes                                         ",53.33,8.47,106.66,8.39,41.24,113,31.58,1
01,Barbour,4,"County Routes                                     ",523.51,83.11,1047.03,82.39,20.93,57.34,16.02,1
01,Barbour,6,"State Park and Forest Roads                       ",6.03,0.96,12.06,0.95,0.07,0.2,0.06,1
01,Barbour,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
01,Barbour,8,"Harp Routes                                       ",5.79,0.92,11.58,0.91,0.07,0.2,0.06,1
01,Barbour,99,Total County,629.93,100,1270.77,100,130.61,357.87,100,2
02,Berkeley,1,"Interstates                                       ",37.05,5.63,151.65,10.72,572.94,1569.69,48.89,1
02,Berkeley,2,"US Routes                                         ",26.22,3.98,52.44,3.71,124.1,340.01,10.59,1
02,Berkeley,3,"WV Routes                                         ",61.81,9.39,143.06,10.11,238.06,652.21,20.31,1
02,Berkeley,4,"County Routes                                     ",444.04,67.46,889.62,62.87,221.37,606.5,18.89,1
02,Berkeley,6,"State Park and Forest Roads                       ",10.89,1.65,21.78,1.54,0.04,0.11,0,1
02,Berkeley,7,"Federal Aid Non-State (FANS)                      ",8.18,1.24,16.36,1.16,13.82,37.88,1.18,1
02,Berkeley,8,"Harp Routes                                       ",70.07,10.64,140.14,9.9,1.58,4.32,0.13,1
02,Berkeley,99,Total County,658.26,100,1415.05,100,1171.91,3210.72,100,2
03,Boone,1,"Interstates                                       ",0,0,0,0,0,0,0,1
03,Boone,2,"US Routes                                         ",22.94,5.59,91.58,10.58,85.16,233.32,43.97,1
03,Boone,3,"WV Routes                                         ",89.19,21.74,177.64,20.53,82.31,225.51,42.5,1
03,Boone,4,"County Routes                                     ",270.6,65.96,541.19,62.54,25.93,71.05,13.39,1
03,Boone,6,"State Park and Forest Roads                       ",6.81,1.66,13.62,1.57,0.05,0.14,0.03,1
03,Boone,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
03,Boone,8,"Harp Routes                                       ",20.69,5.04,41.38,4.78,0.22,0.62,0.12,1
03,Boone,99,Total County,410.23,100,865.41,100,193.67,530.64,100,2
04,Braxton,1,"Interstates                                       ",48.73,6.18,164.38,9.9,206.86,566.74,68.26,1
04,Braxton,2,"US Routes                                         ",24.97,3.17,65.81,3.97,35.8,98.08,11.81,1
04,Braxton,3,"WV Routes                                         ",56.73,7.2,113.46,6.84,33.71,92.35,11.12,1
04,Braxton,4,"County Routes                                     ",652.65,82.78,1305.31,78.65,26.63,72.97,8.79,1
04,Braxton,6,"State Park and Forest Roads                       ",0.08,0.01,0.16,0.01,0,0.01,0,1
04,Braxton,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
04,Braxton,8,"Harp Routes                                       ",5.28,0.67,10.56,0.64,0.05,0.13,0.02,1
04,Braxton,99,Total County,788.44,100,1659.68,100,303.05,830.28,100,2
05,Brooke,1,"Interstates                                       ",0,0,0,0,0,0,0,1
05,Brooke,2,"US Routes                                         ",11.21,4.72,29.82,6.06,63.32,173.49,33.72,1
05,Brooke,3,"WV Routes                                         ",48.47,20.42,106.54,21.66,84.64,231.9,45.07,1
05,Brooke,4,"County Routes                                     ",162.78,68.59,325.67,66.22,36.67,100.47,19.53,1
05,Brooke,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
05,Brooke,7,"Federal Aid Non-State (FANS)                      ",3.78,1.59,7.56,1.54,2.98,8.17,1.59,1
05,Brooke,8,"Harp Routes                                       ",11.09,4.67,22.19,4.51,0.18,0.49,0.1,1
05,Brooke,99,Total County,237.33,100,491.78,100,187.79,514.52,100,2
06,Cabell,1,"Interstates                                       ",34.61,4.82,118.85,7.74,369.38,1011.99,43.53,1
06,Cabell,2,"US Routes                                         ",35.59,4.96,98.27,6.4,183.31,502.21,21.6,1
06,Cabell,3,"WV Routes                                         ",50.17,6.99,118.2,7.69,138.7,380,16.35,1
06,Cabell,4,"County Routes                                     ",559.27,77.9,1122.37,73.06,120.38,329.8,14.19,1
06,Cabell,6,"State Park and Forest Roads                       ",0.05,0.01,0.1,0.01,0,0,0,1
06,Cabell,7,"Federal Aid Non-State (FANS)                      ",28.33,3.95,58.62,3.82,36.65,100.42,4.32,1
06,Cabell,8,"Harp Routes                                       ",9.95,1.39,19.9,1.3,0.13,0.35,0.02,1
06,Cabell,99,Total County,717.97,100,1536.31,100,848.55,2324.77,100,2
07,Calhoun,1,"Interstates                                       ",0,0,0,0,0,0,0,1
07,Calhoun,2,"US Routes                                         ",14.86,3.19,29.72,3.19,6.34,17.36,14.14,1
07,Calhoun,3,"WV Routes                                         ",55.85,11.99,111.7,11.99,25.21,69.07,56.27,1
07,Calhoun,4,"County Routes                                     ",394.03,84.6,788.06,84.6,13.25,36.29,29.57,1
07,Calhoun,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
07,Calhoun,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
07,Calhoun,8,"Harp Routes                                       ",1,0.21,2,0.21,0.01,0.02,0.02,1
07,Calhoun,99,Total County,465.74,100,931.48,100,44.81,122.74,100,2
08,Clay,1,"Interstates                                       ",10.08,1.93,35.88,3.38,33.32,91.29,43.57,1
08,Clay,2,"US Routes                                         ",0,0,0,0,0,0,0,1
08,Clay,3,"WV Routes                                         ",69.76,13.36,139.52,13.16,26.82,73.49,35.08,1
08,Clay,4,"County Routes                                     ",442.08,84.64,884.17,83.38,16.33,44.73,21.35,1
08,Clay,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
08,Clay,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
08,Clay,8,"Harp Routes                                       ",0.4,0.08,0.8,0.08,0,0.01,0,1
08,Clay,99,Total County,522.32,100,1060.37,100,76.47,209.52,100,2
09,Doddridge,1,"Interstates                                       ",0,0,0,0,0,0,0,1
09,Doddridge,2,"US Routes                                         ",18.87,3.57,75.48,6.89,64.11,175.65,63.08,1
09,Doddridge,3,"WV Routes                                         ",44.23,8.36,88.46,8.07,12.83,35.15,12.62,1
09,Doddridge,4,"County Routes                                     ",465.69,87.99,931.38,84.96,24.69,67.63,24.29,1
09,Doddridge,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
09,Doddridge,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
09,Doddridge,8,"Harp Routes                                       ",0.44,0.08,0.88,0.08,0.01,0.02,0.01,1
09,Doddridge,99,Total County,529.23,100,1096.2,100,101.64,278.45,100,2
10,Fayette,1,"Interstates                                       ",17.86,1.95,62.65,3.29,160.95,440.95,30.49,1
10,Fayette,2,"US Routes                                         ",78.04,8.54,206.15,10.82,223.56,612.49,42.35,1
10,Fayette,3,"WV Routes                                         ",103.69,11.34,207.15,10.88,79.28,217.2,15.02,1
10,Fayette,4,"County Routes                                     ",681.97,74.6,1363.94,71.61,62.6,171.52,11.86,1
10,Fayette,6,"State Park and Forest Roads                       ",17.3,1.89,34.6,1.82,0.51,1.39,0.1,1
10,Fayette,7,"Federal Aid Non-State (FANS)                      ",4.46,0.49,8.68,0.46,0.83,2.26,0.16,1
10,Fayette,8,"Harp Routes                                       ",10.82,1.18,21.64,1.14,0.11,0.29,0.02,1
10,Fayette,99,Total County,914.14,100,1904.81,100,527.84,1446.1,100,2
