RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
2840025000000|4.24|4.96|0.135|Curves_A|01/01/2024|||54|
5140003000000|8.08|10.38|0.356|Curves_A|01/01/2024|||54|
3174810001900|0.0|0.76|0.023|Curves_A|01/01/2024|||54|
13202190000NB|2.57|4.79|0.03|Curves_A|01/01/2024|||54|
13202190000NB|5.364|5.37|0.006|Curves_A|01/01/2024|||54|
13202190000NB|5.69|6.03|0.073|Curves_A|01/01/2024|||54|
13202190000NB|6.04|6.39|0.005|Curves_A|01/01/2024|||54|
13202190000NB|6.39|6.69|0.109|Curves_A|01/01/2024|||54|
13202190000NB|8.59|9.06|0.093|Curves_A|01/01/2024|||54|
13202190000NB|9.06|9.9|0.574|Curves_A|01/01/2024|||54|
13202190000NB|10.01|10.85|0.029|Curves_A|01/01/2024|||54|
13202190000NB|11.06|11.26|0.047|Curves_A|01/01/2024|||54|
13202190000NB|13.99|14.154|0.044|Curves_A|01/01/2024|||54|
13202190000NB|14.154|14.34|0.051|Curves_A|01/01/2024|||54|
13202190000NB|15.74|16.37|0.037|Curves_A|01/01/2024|||54|
13202190000NB|21.34|21.86|0.028|Curves_A|01/01/2024|||54|
13202190000NB|25.9|26.76|0.085|Curves_A|01/01/2024|||54|
13202190000NB|27.33|29.72|0.022|Curves_A|01/01/2024|||54|
13202190000NB|29.72|31.56|0.061|Curves_A|01/01/2024|||54|
13202190000NB|31.56|34.22|0.067|Curves_A|01/01/2024|||54|
0240036010000|1.6|1.98|0.059|Curves_A|01/01/2024|||54|
0540014000000|2.43|3.45|0.041|Curves_A|01/01/2024|||54|
25202500000NB|3.785|4.16|0.037|Curves_A|01/01/2024|||54|
4240219420000|0.0|0.21|0.134|Curves_A|01/01/2024|||54|
31200190000NB|8.99|9.16|0.026|Curves_A|01/01/2024|||54|
31200190000NB|14.8|14.98|0.017|Curves_A|01/01/2024|||54|
31200190000NB|15.62|16.49|0.103|Curves_A|01/01/2024|||54|
0640039000000|2.08|2.62|0.157|Curves_A|01/01/2024|||54|
52202500000NB|1.18|1.89|0.136|Curves_A|01/01/2024|||54|
52202500000NB|5.54|6.88|0.11|Curves_A|01/01/2024|||54|
52202500000NB|7.02|7.97|0.131|Curves_A|01/01/2024|||54|
52202500000NB|8.1|8.64|0.081|Curves_A|01/01/2024|||54|
52202500000NB|8.68|9.05|0.218|Curves_A|01/01/2024|||54|
52202500000NB|9.05|9.2|0.005|Curves_A|01/01/2024|||54|
52202500000NB|9.2|9.63|0.054|Curves_A|01/01/2024|||54|
52202500000NB|9.63|11.07|0.041|Curves_A|01/01/2024|||54|
2840007050000|0.343|1.11|0.024|Curves_A|01/01/2024|||54|
2840007050000|1.11|1.83|0.078|Curves_A|01/01/2024|||54|
2840007050000|1.836|2.1|0.023|Curves_A|01/01/2024|||54|
30201190000NB|12.88|14.28|0.434|Curves_A|01/01/2024|||54|
0140010000000|7.41|8.63|0.049|Curves_A|01/01/2024|||54|
