RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
2840025000000|0.57|1.53|0.706|Curves_B|01/01/2024|||54|
2840025000000|4.24|4.96|0.585|Curves_B|01/01/2024|||54|
5140003000000|8.08|10.38|0.67|Curves_B|01/01/2024|||54|
3174810001900|0.0|0.76|0.389|Curves_B|01/01/2024|||54|
13202190000NB|2.57|4.79|0.753|Curves_B|01/01/2024|||54|
13202190000NB|5.69|6.03|0.051|Curves_B|01/01/2024|||54|
13202190000NB|6.04|6.39|0.159|Curves_B|01/01/2024|||54|
13202190000NB|6.39|6.69|0.024|Curves_B|01/01/2024|||54|
13202190000NB|6.69|7.11|0.25|Curves_B|01/01/2024|||54|
13202190000NB|7.43|8.59|0.229|Curves_B|01/01/2024|||54|
13202190000NB|8.59|9.06|0.28|Curves_B|01/01/2024|||54|
13202190000NB|9.06|9.9|0.266|Curves_B|01/01/2024|||54|
13202190000NB|10.01|10.85|0.466|Curves_B|01/01/2024|||54|
13202190000NB|11.06|11.26|0.116|Curves_B|01/01/2024|||54|
13202190000NB|13.99|14.154|0.06|Curves_B|01/01/2024|||54|
13202190000NB|14.154|14.34|0.135|Curves_B|01/01/2024|||54|
13202190000NB|14.34|14.45|0.11|Curves_B|01/01/2024|||54|
13202190000NB|15.74|16.37|0.385|Curves_B|01/01/2024|||54|
13202190000NB|21.34|21.86|0.48|Curves_B|01/01/2024|||54|
13202190000NB|25.9|26.76|0.213|Curves_B|01/01/2024|||54|
13202190000NB|26.76|26.97|0.032|Curves_B|01/01/2024|||54|
13202190000NB|26.97|27.33|0.114|Curves_B|01/01/2024|||54|
13202190000NB|27.33|29.72|0.179|Curves_B|01/01/2024|||54|
13202190000NB|29.72|31.56|0.527|Curves_B|01/01/2024|||54|
13202190000NB|31.56|34.22|0.116|Curves_B|01/01/2024|||54|
0240036010000|1.6|1.98|0.068|Curves_B|01/01/2024|||54|
2540064020000|0.0|0.24|0.098|Curves_B|01/01/2024|||54|
0540014000000|2.43|3.45|0.595|Curves_B|01/01/2024|||54|
1930115000000|0.0|0.22|0.22|Curves_B|01/01/2024|||54|
25202500000NB|3.785|4.16|0.075|Curves_B|01/01/2024|||54|
0240034000000|2.51|3.42|0.21|Curves_B|01/01/2024|||54|
4240219420000|0.0|0.21|0.022|Curves_B|01/01/2024|||54|
31200190000NB|8.99|9.16|0.045|Curves_B|01/01/2024|||54|
31200190000NB|9.54|9.94|0.14|Curves_B|01/01/2024|||54|
31200190000NB|10.59|11.08|0.045|Curves_B|01/01/2024|||54|
31200190000NB|14.25|14.35|0.1|Curves_B|01/01/2024|||54|
31200190000NB|14.44|14.8|0.299|Curves_B|01/01/2024|||54|
31200190000NB|14.8|14.98|0.163|Curves_B|01/01/2024|||54|
31200190000NB|15.62|16.49|0.767|Curves_B|01/01/2024|||54|
31200190000NB|16.49|17.021|0.531|Curves_B|01/01/2024|||54|
0640039000000|2.08|2.62|0.222|Curves_B|01/01/2024|||54|
52202500000NB|1.18|1.89|0.456|Curves_B|01/01/2024|||54|
52202500000NB|5.54|6.88|0.429|Curves_B|01/01/2024|||54|
52202500000NB|7.02|7.97|0.293|Curves_B|01/01/2024|||54|
52202500000NB|8.1|8.64|0.316|Curves_B|01/01/2024|||54|
52202500000NB|8.68|9.05|0.14|Curves_B|01/01/2024|||54|
52202500000NB|9.05|9.2|0.132|Curves_B|01/01/2024|||54|
52202500000NB|9.2|9.63|0.097|Curves_B|01/01/2024|||54|
52202500000NB|9.63|11.07|0.16|Curves_B|01/01/2024|||54|
2840007050000|0.0|0.324|0.067|Curves_B|01/01/2024|||54|
2840007050000|0.343|1.11|0.234|Curves_B|01/01/2024|||54|
2840007050000|1.11|1.83|0.123|Curves_B|01/01/2024|||54|
19203400005SB|0.17|0.37|0.072|Curves_B|01/01/2024|||54|
