RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
2840025000000|0.0|0.57|0.172|Curves_C|01/01/2024|||54|
2840025000000|0.57|1.53|0.087|Curves_C|01/01/2024|||54|
5140003000000|8.08|10.38|0.379|Curves_C|01/01/2024|||54|
3174810001900|0.0|0.76|0.043|Curves_C|01/01/2024|||54|
13202190000NB|2.57|4.79|0.663|Curves_C|01/01/2024|||54|
13202190000NB|5.69|6.03|0.201|Curves_C|01/01/2024|||54|
13202190000NB|6.03|6.04|0.01|Curves_C|01/01/2024|||54|
13202190000NB|6.04|6.39|0.053|Curves_C|01/01/2024|||54|
13202190000NB|6.39|6.69|0.074|Curves_C|01/01/2024|||54|
13202190000NB|6.69|7.11|0.072|Curves_C|01/01/2024|||54|
13202190000NB|7.19|7.43|0.086|Curves_C|01/01/2024|||54|
13202190000NB|7.43|8.59|0.034|Curves_C|01/01/2024|||54|
13202190000NB|8.59|9.06|0.097|Curves_C|01/01/2024|||54|
13202190000NB|10.01|10.85|0.183|Curves_C|01/01/2024|||54|
13202190000NB|13.99|14.154|0.06|Curves_C|01/01/2024|||54|
13202190000NB|15.74|16.37|0.043|Curves_C|01/01/2024|||54|
13202190000NB|21.34|21.86|0.012|Curves_C|01/01/2024|||54|
13202190000NB|25.9|26.76|0.493|Curves_C|01/01/2024|||54|
13202190000NB|26.76|26.97|0.109|Curves_C|01/01/2024|||54|
13202190000NB|26.97|27.33|0.246|Curves_C|01/01/2024|||54|
13202190000NB|27.33|29.72|0.412|Curves_C|01/01/2024|||54|
13202190000NB|29.72|31.56|0.3|Curves_C|01/01/2024|||54|
13202190000NB|31.56|34.22|0.476|Curves_C|01/01/2024|||54|
0240036010000|1.6|1.98|0.12|Curves_C|01/01/2024|||54|
2540064020000|0.0|0.24|0.14|Curves_C|01/01/2024|||54|
0540014000000|2.43|3.45|0.2|Curves_C|01/01/2024|||54|
25202500000NB|2.87|3.0|0.021|Curves_C|01/01/2024|||54|
3140060020000|0.0|0.26|0.005|Curves_C|01/01/2024|||54|
0240034000000|2.51|3.42|0.291|Curves_C|01/01/2024|||54|
4240219420000|0.0|0.21|0.019|Curves_C|01/01/2024|||54|
31200190000NB|8.29|8.806|0.098|Curves_C|01/01/2024|||54|
31200190000NB|8.99|9.16|0.045|Curves_C|01/01/2024|||54|
31200190000NB|9.54|9.94|0.026|Curves_C|01/01/2024|||54|
31200190000NB|10.59|11.08|0.079|Curves_C|01/01/2024|||54|
31200190000NB|13.74|14.19|0.068|Curves_C|01/01/2024|||54|
31200190000NB|14.44|14.8|0.061|Curves_C|01/01/2024|||54|
0640039000000|2.08|2.62|0.091|Curves_C|01/01/2024|||54|
52202500000NB|1.18|1.89|0.118|Curves_C|01/01/2024|||54|
52202500000NB|5.54|6.88|0.284|Curves_C|01/01/2024|||54|
52202500000NB|7.02|7.97|0.182|Curves_C|01/01/2024|||54|
52202500000NB|8.1|8.64|0.1|Curves_C|01/01/2024|||54|
52202500000NB|8.68|9.05|0.012|Curves_C|01/01/2024|||54|
52202500000NB|9.05|9.2|0.013|Curves_C|01/01/2024|||54|
52202500000NB|9.2|9.63|0.193|Curves_C|01/01/2024|||54|
52202500000NB|9.63|11.07|0.36|Curves_C|01/01/2024|||54|
2840007050000|0.0|0.324|0.111|Curves_C|01/01/2024|||54|
2840007050000|0.343|1.11|0.211|Curves_C|01/01/2024|||54|
2840007050000|1.11|1.83|0.032|Curves_C|01/01/2024|||54|
2840007050000|1.836|2.1|0.019|Curves_C|01/01/2024|||54|
19203400005SB|0.0|0.17|0.17|Curves_C|01/01/2024|||54|
19203400005SB|0.17|0.37|0.034|Curves_C|01/01/2024|||54|
30201190000NB|12.88|14.28|0.568|Curves_C|01/01/2024|||54|
0140010000000|7.41|8.63|0.141|Curves_C|01/01/2024|||54|
2071068001900|0.0|0.48|0.07|Curves_C|01/01/2024|||54|
27200350000NB|9.534|10.26|0.336|Curves_C|01/01/2024|||54|
27200350000NB|11.422|11.76|0.116|Curves_C|01/01/2024|||54|
27200350000NB|16.293|16.47|0.035|Curves_C|01/01/2024|||54|
27200350000NB|16.507|17.102|0.318|Curves_C|01/01/2024|||54|
27200350000NB|17.632|17.753|0.098|Curves_C|01/01/2024|||54|
27200350000NB|17.753|18.071|0.019|Curves_C|01/01/2024|||54|
27200350000NB|18.097|18.46|0.242|Curves_C|01/01/2024|||54|
0540507000000|0.62|1.2|0.054|Curves_C|01/01/2024|||54|
06200520004NB|0.321|0.46|0.094|Curves_C|01/01/2024|||54|
1040005000000|0.06|0.62|0.185|Curves_C|01/01/2024|||54|
0130020000000|0.0|2.15|0.205|Curves_C|01/01/2024|||54|
09200500000EB|0.0|3.98|0.4|Curves_C|01/01/2024|||54|
09200500000EB|3.98|5.61|0.861|Curves_C|01/01/2024|||54|
09200500000EB|5.63|6.54|0.367|Curves_C|01/01/2024|||54|
09200500000EB|8.26|8.8|0.276|Curves_C|01/01/2024|||54|
09200500000EB|8.8|9.75|0.083|Curves_C|01/01/2024|||54|
09200500000EB|9.75|11.01|0.628|Curves_C|01/01/2024|||54|
09200500000EB|12.1|12.96|0.544|Curves_C|01/01/2024|||54|
09200500000EB|17.75|18.87|0.456|Curves_C|01/01/2024|||54|
3140065000000|0.0|0.263|0.064|Curves_C|01/01/2024|||54|
4940020310000|0.0|0.22|0.066|Curves_C|01/01/2024|||54|
08100790000NB|36.0|39.91|1.583|Curves_C|01/01/2024|||54|
08100790000NB|41.43|44.6|0.889|Curves_C|01/01/2024|||54|
1230028000000|8.23|12.58|0.806|Curves_C|01/01/2024|||54|
1230028000000|13.03|13.38|0.113|Curves_C|01/01/2024|||54|
47202190000NB|5.57|7.37|0.302|Curves_C|01/01/2024|||54|
47202190000NB|13.1|17.49|0.632|Curves_C|01/01/2024|||54|
47202190000NB|17.49|18.0|0.082|Curves_C|01/01/2024|||54|
47202190000NB|22.16|25.83|0.992|Curves_C|01/01/2024|||54|
47202190000NB|25.83|26.1|0.035|Curves_C|01/01/2024|||54|
47202190000NB|26.1|27.76|0.579|Curves_C|01/01/2024|||54|
2040026000000|4.62|4.96|0.107|Curves_C|01/01/2024|||54|
2840011000000|0.08|0.58|0.24|Curves_C|01/01/2024|||54|
42200330000EB|7.76|8.05|0.222|Curves_C|01/01/2024|||54|
42200330000EB|8.05|9.5|0.1|Curves_C|01/01/2024|||54|
42200330000EB|9.5|9.74|0.07|Curves_C|01/01/2024|||54|
42200330000EB|10.26|10.99|0.124|Curves_C|01/01/2024|||54|
2540060000000|2.11|2.61|0.1|Curves_C|01/01/2024|||54|
2540060000000|4.38|4.86|0.068|Curves_C|01/01/2024|||54|
2540250180000|0.08|0.85|0.168|Curves_C|01/01/2024|||54|
1030006000000|0.0|0.12|0.022|Curves_C|01/01/2024|||54|
1030006000000|0.12|0.33|0.139|Curves_C|01/01/2024|||54|
0240051070000|2.28|3.56|0.356|Curves_C|01/01/2024|||54|
2540073000000|2.45|3.55|0.047|Curves_C|01/01/2024|||54|
06100640000EB|5.87|6.47|0.215|Curves_C|01/01/2024|||54|
06100640000EB|6.74|7.26|0.118|Curves_C|01/01/2024|||54|
06100640000EB|7.26|7.72|0.215|Curves_C|01/01/2024|||54|
