RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
2840025000000|0.0|0.57|0.087|Grades_D|01/01/2024|||54|
2840025000000|0.57|1.53|0.162|Grades_D|01/01/2024|||54|
5140003000000|8.08|10.38|0.394|Grades_D|01/01/2024|||54|
3174810001900|0.0|0.76|0.207|Grades_D|01/01/2024|||54|
13202190000NB|2.57|4.79|0.372|Grades_D|01/01/2024|||54|
13202190000NB|5.37|5.69|0.181|Grades_D|01/01/2024|||54|
13202190000NB|6.04|6.39|0.084|Grades_D|01/01/2024|||54|
13202190000NB|6.39|6.69|0.093|Grades_D|01/01/2024|||54|
13202190000NB|7.19|7.43|0.154|Grades_D|01/01/2024|||54|
13202190000NB|7.43|8.59|0.144|Grades_D|01/01/2024|||54|
13202190000NB|10.01|10.85|0.162|Grades_D|01/01/2024|||54|
13202190000NB|10.85|11.06|0.124|Grades_D|01/01/2024|||54|
13202190000NB|11.06|11.26|0.037|Grades_D|01/01/2024|||54|
13202190000NB|15.74|16.37|0.165|Grades_D|01/01/2024|||54|
13202190000NB|25.9|26.76|0.069|Grades_D|01/01/2024|||54|
13202190000NB|26.76|26.97|0.069|Grades_D|01/01/2024|||54|
13202190000NB|27.33|29.72|0.684|Grades_D|01/01/2024|||54|
13202190000NB|29.72|31.56|0.693|Grades_D|01/01/2024|||54|
13202190000NB|31.56|34.22|1.861|Grades_D|01/01/2024|||54|
0240036010000|1.6|1.98|0.075|Grades_D|01/01/2024|||54|
2540064020000|0.0|0.24|0.002|Grades_D|01/01/2024|||54|
0540014000000|2.43|3.45|0.097|Grades_D|01/01/2024|||54|
1930115000000|0.64|1.15|0.276|Grades_D|01/01/2024|||54|
25202500000NB|2.87|3.0|0.106|Grades_D|01/01/2024|||54|
25202500000NB|3.785|4.16|0.05|Grades_D|01/01/2024|||54|
31200190000NB|8.29|8.806|0.198|Grades_D|01/01/2024|||54|
31200190000NB|8.99|9.16|0.046|Grades_D|01/01/2024|||54|
31200190000NB|9.54|9.94|0.079|Grades_D|01/01/2024|||54|
31200190000NB|10.59|11.08|0.069|Grades_D|01/01/2024|||54|
31200190000NB|13.74|14.19|0.382|Grades_D|01/01/2024|||54|
0640039000000|2.08|2.62|0.07|Grades_D|01/01/2024|||54|
52202500000NB|5.54|6.88|0.163|Grades_D|01/01/2024|||54|
52202500000NB|7.02|7.97|0.194|Grades_D|01/01/2024|||54|
52202500000NB|9.2|9.63|0.086|Grades_D|01/01/2024|||54|
52202500000NB|9.63|11.07|0.134|Grades_D|01/01/2024|||54|
2840007050000|0.0|0.324|0.109|Grades_D|01/01/2024|||54|
2840007050000|0.343|1.11|0.15|Grades_D|01/01/2024|||54|
2840007050000|1.11|1.83|0.245|Grades_D|01/01/2024|||54|
2840007050000|1.836|2.1|0.114|Grades_D|01/01/2024|||54|
0140010000000|7.41|8.63|0.319|Grades_D|01/01/2024|||54|
2071068001900|0.0|0.48|0.039|Grades_D|01/01/2024|||54|
27200350000NB|16.293|16.47|0.142|Grades_D|01/01/2024|||54|
