RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
2840025000000|0.0|0.57|0.311|Grades_E|01/01/2024|||54|
2840025000000|0.57|1.53|0.005|Grades_E|01/01/2024|||54|
5140003000000|8.08|10.38|0.101|Grades_E|01/01/2024|||54|
3174810001900|0.0|0.76|0.028|Grades_E|01/01/2024|||54|
13202190000NB|2.57|4.79|0.402|Grades_E|01/01/2024|||54|
13202190000NB|5.37|5.69|0.139|Grades_E|01/01/2024|||54|
13202190000NB|5.69|6.03|0.015|Grades_E|01/01/2024|||54|
13202190000NB|6.04|6.39|0.049|Grades_E|01/01/2024|||54|
13202190000NB|6.69|7.11|0.098|Grades_E|01/01/2024|||54|
13202190000NB|7.43|8.59|0.256|Grades_E|01/01/2024|||54|
13202190000NB|10.85|11.06|0.086|Grades_E|01/01/2024|||54|
13202190000NB|27.33|29.72|1.093|Grades_E|01/01/2024|||54|
13202190000NB|29.72|31.56|0.259|Grades_E|01/01/2024|||54|
13202190000NB|31.56|34.22|0.14|Grades_E|01/01/2024|||54|
0240036010000|1.6|1.98|0.028|Grades_E|01/01/2024|||54|
0540014000000|2.43|3.45|0.087|Grades_E|01/01/2024|||54|
1930115000000|0.64|1.15|0.234|Grades_E|01/01/2024|||54|
25202500000NB|2.87|3.0|0.003|Grades_E|01/01/2024|||54|
25202500000NB|3.785|4.16|0.213|Grades_E|01/01/2024|||54|
4240219420000|0.0|0.21|0.035|Grades_E|01/01/2024|||54|
31200190000NB|8.29|8.806|0.22|Grades_E|01/01/2024|||54|
31200190000NB|8.99|9.16|0.008|Grades_E|01/01/2024|||54|
31200190000NB|9.54|9.94|0.155|Grades_E|01/01/2024|||54|
31200190000NB|10.59|11.08|0.233|Grades_E|01/01/2024|||54|
52202500000NB|5.54|6.88|0.253|Grades_E|01/01/2024|||54|
52202500000NB|7.02|7.97|0.089|Grades_E|01/01/2024|||54|
52202500000NB|8.1|8.64|0.043|Grades_E|01/01/2024|||54|
52202500000NB|9.63|11.07|0.237|Grades_E|01/01/2024|||54|
2840007050000|0.0|0.324|0.037|Grades_E|01/01/2024|||54|
2840007050000|0.324|0.343|0.019|Grades_E|01/01/2024|||54|
2840007050000|0.343|1.11|0.092|Grades_E|01/01/2024|||54|
2840007050000|1.11|1.83|0.205|Grades_E|01/01/2024|||54|
2840007050000|1.836|2.1|0.04|Grades_E|01/01/2024|||54|
19203400005SB|0.17|0.37|0.094|Grades_E|01/01/2024|||54|
0140010000000|7.41|8.63|0.196|Grades_E|01/01/2024|||54|
2071068001900|0.0|0.48|0.208|Grades_E|01/01/2024|||54|
1040005000000|0.06|0.62|0.122|Grades_E|01/01/2024|||54|
3140065000000|0.0|0.263|0.155|Grades_E|01/01/2024|||54|
4940020310000|0.0|0.22|0.031|Grades_E|01/01/2024|||54|
1230028000000|8.23|12.58|0.227|Grades_E|01/01/2024|||54|
47202190000NB|5.57|7.37|0.203|Grades_E|01/01/2024|||54|
47202190000NB|13.1|17.49|1.685|Grades_E|01/01/2024|||54|
47202190000NB|17.49|18.0|0.099|Grades_E|01/01/2024|||54|
47202190000NB|22.16|25.83|0.17|Grades_E|01/01/2024|||54|
47202190000NB|25.83|26.1|0.1|Grades_E|01/01/2024|||54|
47202190000NB|26.1|27.76|0.166|Grades_E|01/01/2024|||54|
2840011000000|0.08|0.58|0.086|Grades_E|01/01/2024|||54|
2540060000000|2.11|2.61|0.074|Grades_E|01/01/2024|||54|
2540060000000|4.38|4.86|0.196|Grades_E|01/01/2024|||54|
2540250180000|0.0|0.08|0.08|Grades_E|01/01/2024|||54|
2540250180000|0.08|0.85|0.133|Grades_E|01/01/2024|||54|
0240051070000|2.28|3.56|0.181|Grades_E|01/01/2024|||54|
2540073000000|2.45|3.55|0.596|Grades_E|01/01/2024|||54|
28200520000EB|12.97|13.39|0.036|Grades_E|01/01/2024|||54|
1740012000000|0.14|0.9|0.054|Grades_E|01/01/2024|||54|
2840014000000|0.0|0.63|0.074|Grades_E|01/01/2024|||54|
4040012000000|4.71|8.19|0.278|Grades_E|01/01/2024|||54|
4040012000000|8.19|10.77|0.14|Grades_E|01/01/2024|||54|
4040012000000|10.77|12.37|0.048|Grades_E|01/01/2024|||54|
15200300000EB|1.543|2.38|0.455|Grades_E|01/01/2024|||54|
3430020000000|28.29|29.07|0.341|Grades_E|01/01/2024|||54|
1030061000000|0.0|1.12|0.168|Grades_E|01/01/2024|||54|
1030061000000|22.53|25.56|0.038|Grades_E|01/01/2024|||54|
4130041000000|0.0|0.71|0.076|Grades_E|01/01/2024|||54|
5440021020000|0.0|0.39|0.048|Grades_E|01/01/2024|||54|
5430014000100|0.0|0.63|0.215|Grades_E|01/01/2024|||54|
4730032000000|0.0|3.26|0.41|Grades_E|01/01/2024|||54|
4730032000000|14.79|16.09|0.082|Grades_E|01/01/2024|||54|
4730032000000|16.09|16.45|0.224|Grades_E|01/01/2024|||54|
4140008010000|1.02|1.6|0.029|Grades_E|01/01/2024|||54|
2870513001900|0.0|0.37|0.062|Grades_E|01/01/2024|||54|
44200330000EB|4.33|5.61|0.045|Grades_E|01/01/2024|||54|
44200330000EB|6.75|9.1|0.571|Grades_E|01/01/2024|||54|
44200330000EB|15.77|17.73|0.144|Grades_E|01/01/2024|||54|
4140030000000|4.27|4.52|0.067|Grades_E|01/01/2024|||54|
4140006000000|0.0|0.14|0.022|Grades_E|01/01/2024|||54|
4140006000000|0.91|1.13|0.021|Grades_E|01/01/2024|||54|
3174772001900|0.1|0.27|0.023|Grades_E|01/01/2024|||54|
3174772001900|0.27|0.42|0.007|Grades_E|01/01/2024|||54|
2430016000000|4.05|6.18|0.121|Grades_E|01/01/2024|||54|
2430016000000|16.06|19.56|0.326|Grades_E|01/01/2024|||54|
2430016000000|19.56|20.79|0.254|Grades_E|01/01/2024|||54|
2430016000000|20.79|22.05|0.027|Grades_E|01/01/2024|||54|
2430016000000|23.76|24.86|0.056|Grades_E|01/01/2024|||54|
07200330000EB|3.68|5.03|0.219|Grades_E|01/01/2024|||54|
07200330000EB|5.59|6.2|0.04|Grades_E|01/01/2024|||54|
07200330000EB|10.13|14.3|0.534|Grades_E|01/01/2024|||54|
0830036000000|2.48|4.2|0.266|Grades_E|01/01/2024|||54|
1740020750000|1.26|1.48|0.047|Grades_E|01/01/2024|||54|
1740023090000|6.77|7.36|0.116|Grades_E|01/01/2024|||54|
0240005000000|5.9|7.94|0.136|Grades_E|01/01/2024|||54|
2540072000000|2.07|2.67|0.122|Grades_E|01/01/2024|||54|
4140019210000|3.73|5.14|0.188|Grades_E|01/01/2024|||54|
2430083000000|0.0|6.42|1.301|Grades_E|01/01/2024|||54|
2430083000000|14.092|17.6|0.13|Grades_E|01/01/2024|||54|
4940013000000|0.0|0.86|0.027|Grades_E|01/01/2024|||54|
0274259001900|0.17|0.61|0.166|Grades_E|01/01/2024|||54|
1771754001900|0.47|0.57|0.05|Grades_E|01/01/2024|||54|
3140007210000|0.0|1.11|0.149|Grades_E|01/01/2024|||54|
2870514001900|0.6|1.41|0.084|Grades_E|01/01/2024|||54|
2870514001900|1.41|1.52|0.024|Grades_E|01/01/2024|||54|
1940009020000|0.2|0.35|0.012|Grades_E|01/01/2024|||54|
17200500000EB|18.52|18.8|0.135|Grades_E|01/01/2024|||54|
0274256001900|0.0|0.66|0.026|Grades_E|01/01/2024|||54|
36200330000EB|33.184|33.783|0.175|Grades_E|01/01/2024|||54|
0240013000000|0.43|1.03|0.041|Grades_E|01/01/2024|||54|
0240013000000|2.75|3.716|0.006|Grades_E|01/01/2024|||54|
1771783001900|0.0|0.64|0.077|Grades_E|01/01/2024|||54|
3140857000000|0.5|1.41|0.263|Grades_E|01/01/2024|||54|
3140857000000|5.11|5.59|0.019|Grades_E|01/01/2024|||54|
3140857000000|10.85|11.35|0.043|Grades_E|01/01/2024|||54|
1740024060000|0.29|0.6|0.107|Grades_E|01/01/2024|||54|
4140048000000|0.0|1.9|0.176|Grades_E|01/01/2024|||54|
5040003000000|3.94|4.06|0.015|Grades_E|01/01/2024|||54|
5440047040000|0.0|0.23|0.021|Grades_E|01/01/2024|||54|
5440047040000|0.23|0.93|0.041|Grades_E|01/01/2024|||54|
5440047040000|0.93|2.86|0.088|Grades_E|01/01/2024|||54|
1230042000000|16.97|21.26|2.498|Grades_E|01/01/2024|||54|
1230042000000|21.78|22.74|0.151|Grades_E|01/01/2024|||54|
3174813001900|0.0|1.24|0.125|Grades_E|01/01/2024|||54|
1740006000000|0.0|0.808|0.338|Grades_E|01/01/2024|||54|
3930072000000|18.42|20.44|0.026|Grades_E|01/01/2024|||54|
1640010000000|4.6|5.8|0.065|Grades_E|01/01/2024|||54|
4240031000000|0.0|1.81|0.11|Grades_E|01/01/2024|||54|
1740019290000|0.0|0.57|0.055|Grades_E|01/01/2024|||54|
2040060280000|0.0|0.55|0.042|Grades_E|01/01/2024|||54|
3140067000000|6.22|7.97|0.308|Grades_E|01/01/2024|||54|
