RouteID|BMP|EMP|ValueNumeric|Comments|ValueDate|StateID|BeginDate|ValueText|DataItem
01200330000EB|0.0|1.87|3|||54|01/01/2024||BASE_TYPE
01201190000NB|6.95|7.19|3|||54|01/01/2024||BASE_TYPE
01201190000NB|7.19|9.29|3|||54|01/01/2024||BASE_TYPE
01201190000NB|10.66|11.5|3|||54|01/01/2024||BASE_TYPE
0130038000000|0.43|2.43|3|||54|01/01/2024||BASE_TYPE
0130038000000|5.53|6.31|3|||54|01/01/2024||BASE_TYPE
0130076000000|1.75|6.62|3|||54|01/01/2024||BASE_TYPE
0130092000000|8.64|9.265|3|||54|01/01/2024||BASE_TYPE
0130092000000|9.265|10.73|3|||54|01/01/2024||BASE_TYPE
04100790000NB|44.6|46.18|3|||54|01/01/2024||BASE_TYPE
04100790000NB|46.18|46.22|3|||54|01/01/2024||BASE_TYPE
04100790000NB|46.22|49.73|3|||54|01/01/2024||BASE_TYPE
04100790000NB|49.73|50.35|3|||54|01/01/2024||BASE_TYPE
04100790000NB|50.35|51.61|3|||54|01/01/2024||BASE_TYPE
04100790000NB|51.61|52.61|3|||54|01/01/2024||BASE_TYPE
04100790000NB|52.61|53.27|3|||54|01/01/2024||BASE_TYPE
04100790000NB|53.27|54.18|3|||54|01/01/2024||BASE_TYPE
04100790000NB|54.18|57.51|5|||54|01/01/2024||BASE_TYPE
04100790000NB|57.51|59.0|3|||54|01/01/2024||BASE_TYPE
04100790000NB|59.0|61.47|3|||54|01/01/2024||BASE_TYPE
04100790000NB|61.47|62.04|3|||54|01/01/2024||BASE_TYPE
04100790000NB|62.04|63.46|5|||54|01/01/2024||BASE_TYPE
04100790000NB|63.46|64.83|5|||54|01/01/2024||BASE_TYPE
04100790000NB|64.83|67.52|5|||54|01/01/2024||BASE_TYPE
04100790000NB|67.52|69.32|3|||54|01/01/2024||BASE_TYPE
04100790000NB|69.32|70.83|3|||54|01/01/2024||BASE_TYPE
04100790000NB|70.83|78.41|5|||54|01/01/2024||BASE_TYPE
04100790000NB|78.41|79.08|5|||54|01/01/2024||BASE_TYPE
04100790000NB|79.08|83.15|5|||54|01/01/2024||BASE_TYPE
04200190000NB|26.57|27.56|3|||54|01/01/2024||BASE_TYPE
04200190000NB|27.56|27.64|3|||54|01/01/2024||BASE_TYPE
11200330000EB|0.0|0.59|3|||54|01/01/2024||BASE_TYPE
11200330000EB|1.12|1.18|3|||54|01/01/2024||BASE_TYPE
11200330000EB|1.18|1.39|3|||54|01/01/2024||BASE_TYPE
11200330000EB|1.39|1.96|3|||54|01/01/2024||BASE_TYPE
11200330000EB|2.2|5.05|3|||54|01/01/2024||BASE_TYPE
11200330000EB|5.05|6.44|3|||54|01/01/2024||BASE_TYPE
11200330000EB|17.3|17.82|3|||54|01/01/2024||BASE_TYPE
11200330000EB|18.2|19.62|3|||54|01/01/2024||BASE_TYPE
11200330000EB|19.62|22.18|3|||54|01/01/2024||BASE_TYPE
11200330000EB|22.28|25.09|3|||54|01/01/2024||BASE_TYPE
11200330000EB|25.09|26.73|3|||54|01/01/2024||BASE_TYPE
1130005000000|10.83|12.51|3|||54|01/01/2024||BASE_TYPE
1130005000000|14.58|14.89|3|||54|01/01/2024||BASE_TYPE
1140007000000|6.97|8.45|3|||54|01/01/2024||BASE_TYPE
1140007000000|8.45|8.67|3|||54|01/01/2024||BASE_TYPE
21100790000NB|83.55|87.45|5|||54|01/01/2024||BASE_TYPE
21100790000NB|87.45|90.77|5|||54|01/01/2024||BASE_TYPE
21100790000NB|90.77|90.82|5|||54|01/01/2024||BASE_TYPE
21100790000NB|90.82|90.92|5|||54|01/01/2024||BASE_TYPE
21100790000NB|90.92|95.73|5|||54|01/01/2024||BASE_TYPE
21100790000NB|95.73|95.82|5|||54|01/01/2024||BASE_TYPE
21100790000NB|95.82|96.17|5|||54|01/01/2024||BASE_TYPE
21100790000NB|96.17|97.13|5|||54|01/01/2024||BASE_TYPE
21100790000NB|97.13|98.287|5|||54|01/01/2024||BASE_TYPE
21100790000NB|98.4|98.63|5|||54|01/01/2024||BASE_TYPE
21100790000NB|98.63|98.925|5|||54|01/01/2024||BASE_TYPE
21100790000NB|100.39|101.69|5|||54|01/01/2024||BASE_TYPE
21100790000NB|101.69|104.15|5|||54|01/01/2024||BASE_TYPE
21100790000NB|104.15|104.69|5|||54|01/01/2024||BASE_TYPE
21100790000NB|104.69|106.42|5|||54|01/01/2024||BASE_TYPE
21200190000NB|22.37|22.58|5|||54|01/01/2024||BASE_TYPE
21200190000NB|22.72|23.48|5|||54|01/01/2024||BASE_TYPE
21200330000EB|16.0|16.23|3|||54|01/01/2024||BASE_TYPE
21200330000EB|17.59|17.967|3|||54|01/01/2024||BASE_TYPE
21200330000EB|19.84|20.19|3|||54|01/01/2024||BASE_TYPE
21200330000EB|20.19|21.03|3|||54|01/01/2024||BASE_TYPE
21200330000EB|21.25|22.25|3|||54|01/01/2024||BASE_TYPE
21200330000EB|22.25|22.84|3|||54|01/01/2024||BASE_TYPE
2140007000000|3.84|4.17|3|||54|01/01/2024||BASE_TYPE
2140013000000|0.0|0.4|3|||54|01/01/2024||BASE_TYPE
49200330000EB|0.0|0.64|5|||54|01/01/2024||BASE_TYPE
49200330000EB|1.22|2.51|5|||54|01/01/2024||BASE_TYPE
49200330000EB|2.51|4.0|5|||54|01/01/2024||BASE_TYPE
49200330000EB|4.0|4.35|5|||54|01/01/2024||BASE_TYPE
49200330000EB|5.37|7.192|3|||54|01/01/2024||BASE_TYPE
49200330000EB|8.31|10.87|3|||54|01/01/2024||BASE_TYPE
4930020000000|22.87|23.54|5|||54|01/01/2024||BASE_TYPE
4940001000000|2.28|3.09|3|||54|01/01/2024||BASE_TYPE
4940001000000|3.09|3.14|3|||54|01/01/2024||BASE_TYPE
4940001000000|3.14|3.17|3|||54|01/01/2024||BASE_TYPE
5130015000000|6.3|8.48|3|||54|01/01/2024||BASE_TYPE
2440009000000|7.87|9.2|3|||54|01/01/2024||BASE_TYPE
2430016000000|0.06|1.73|3|||54|01/01/2024||BASE_TYPE
2430016000000|4.05|6.18|3|||54|01/01/2024||BASE_TYPE
2430016000000|9.47|10.14|3|||54|01/01/2024||BASE_TYPE
2430016000000|13.75|14.05|3|||54|01/01/2024||BASE_TYPE
2430016000000|16.06|19.56|3|||54|01/01/2024||BASE_TYPE
2430016000000|19.56|20.79|3|||54|01/01/2024||BASE_TYPE
2430016000000|20.79|22.05|3|||54|01/01/2024||BASE_TYPE
2430016000000|22.05|23.76|3|||54|01/01/2024||BASE_TYPE
2430016000000|23.76|24.86|3|||54|01/01/2024||BASE_TYPE
2430016000000|29.19|29.41|3|||54|01/01/2024||BASE_TYPE
2430016000000|32.7|35.38|3|||54|01/01/2024||BASE_TYPE
24200520000EB|2.54|3.72|3|||54|01/01/2024||BASE_TYPE
24200520000EB|5.19|6.4|3|||54|01/01/2024||BASE_TYPE
24200520000EB|6.4|7.91|3|||54|01/01/2024||BASE_TYPE
24200520000EB|9.59|12.82|3|||54|01/01/2024||BASE_TYPE
24200520000EB|24.59|26.77|3|||54|01/01/2024||BASE_TYPE
2430083000000|0.0|6.42|3|||54|01/01/2024||BASE_TYPE
2430083000000|6.42|7.46|3|||54|01/01/2024||BASE_TYPE
2430083000000|7.94|8.06|3|||54|01/01/2024||BASE_TYPE
2430083000000|17.6|18.01|3|||54|01/01/2024||BASE_TYPE
2430083000000|14.092|17.6|3|||54|01/01/2024||BASE_TYPE
28200520000EB|12.97|13.39|3|||54|01/01/2024||BASE_TYPE
28200520000EB|13.44|13.67|3|||54|01/01/2024||BASE_TYPE
2840052200000|0.001|0.82|3|||54|01/01/2024||BASE_TYPE
2840007050000|1.11|1.83|3|||54|01/01/2024||BASE_TYPE
2840007050000|0.324|0.343|3|||54|01/01/2024||BASE_TYPE
2840007050000|1.836|2.1|3|||54|01/01/2024||BASE_TYPE
2840011000000|0.08|0.58|3|||54|01/01/2024||BASE_TYPE
2840014000000|0.0|0.63|3|||54|01/01/2024||BASE_TYPE
2840016000000|1.7|2.5|3|||54|01/01/2024||BASE_TYPE
2840016000000|2.5|2.614|3|||54|01/01/2024||BASE_TYPE
2840016010000|0.59|0.74|3|||54|01/01/2024||BASE_TYPE
2840016100000|0.0|0.66|3|||54|01/01/2024||BASE_TYPE
28200190000NB|2.88|3.87|3|||54|01/01/2024||BASE_TYPE
28200190000NB|6.01|7.44|3|||54|01/01/2024||BASE_TYPE
28200190000NB|10.69|10.73|3|||54|01/01/2024||BASE_TYPE
28200190000NB|10.73|11.63|3|||54|01/01/2024||BASE_TYPE
2840019290000|0.0|2.54|3|||54|01/01/2024||BASE_TYPE
2840019290000|2.54|3.32|3|||54|01/01/2024||BASE_TYPE
2830020000000|4.23|5.2|3|||54|01/01/2024||BASE_TYPE
2830020000000|10.32|11.4|3|||54|01/01/2024||BASE_TYPE
2830020000000|12.05|12.78|3|||54|01/01/2024||BASE_TYPE
2840021010000|0.0|0.89|3|||54|01/01/2024||BASE_TYPE
2840024000000|0.0|0.3|3|||54|01/01/2024||BASE_TYPE
2840024000000|0.3|2.789|3|||54|01/01/2024||BASE_TYPE
2840025000000|0.0|0.57|3|||54|01/01/2024||BASE_TYPE
2840025000000|0.57|1.53|3|||54|01/01/2024||BASE_TYPE
2840027000000|0.0|1.57|3|||54|01/01/2024||BASE_TYPE
2840027000000|2.12|2.59|3|||54|01/01/2024||BASE_TYPE
28200520000EB|14.91|15.37|3|||54|01/01/2024||BASE_TYPE
28200520000EB|6.96|7.76|3|||54|01/01/2024||BASE_TYPE
28200520004NB|0.0|0.22|3|||54|01/01/2024||BASE_TYPE
28200520018EB|0.0|0.02|3|||54|01/01/2024||BASE_TYPE
28100770000NB|0.69|2.56|6|||54|01/01/2024||BASE_TYPE
2830104000000|1.65|1.93|3|||54|01/01/2024||BASE_TYPE
2830104000000|1.93|1.95|3|||54|01/01/2024||BASE_TYPE
2830104000000|1.95|2.65|3|||54|01/01/2024||BASE_TYPE
28204600000EB|0.029|1.06|6|||54|01/01/2024||BASE_TYPE
28204600000EB|1.33|2.9|6|||54|01/01/2024||BASE_TYPE
28204600000EB|2.9|3.09|6|||54|01/01/2024||BASE_TYPE
