RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
0940003000000|4.14|5.77|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
0940011000000|11.45|12.55|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|8.26|8.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|8.8|9.75|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|9.75|11.01|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|11.43|12.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|12.1|12.96|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
09200500000EB|17.75|18.87|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1730020002300|0.0|0.13|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1730098000000|0.42|1.96|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1730131000000|4.33|5.47|0.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740024020000|0.0|0.75|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740024020000|0.75|0.87|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740024020000|0.87|1.09|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740024020000|1.86|2.95|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740050180000|0.1|0.19|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
1740050400000|0.0|0.67|3.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|106.42|107.57|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|107.57|107.94|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|107.94|109.77|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|109.77|110.29|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|110.29|111.13|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|111.13|111.91|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|111.91|114.132|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|114.9|115.33|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|115.33|115.8|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|115.8|115.9|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|115.9|117.17|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|122.43|122.9|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|123.94|123.988|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17100790000NB|123.988|124.2|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
