RouteID|BMP|EMP|ValueNumeric|Comments|ValueDate|StateID|BeginDate|ValueText|DataItem
04100790000NB|44.6|46.18|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|46.18|46.22|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|46.22|49.73|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|49.73|50.35|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|50.35|51.61|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|51.61|52.61|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|52.61|53.27|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|53.27|54.18|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|57.51|59.0|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|59.0|61.47|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|61.47|62.04|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|62.04|63.46|5|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|63.46|64.83|5|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|64.83|67.52|5|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|67.52|69.32|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|69.32|70.83|9|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|70.83|78.41|5|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|78.41|79.08|5|||54|01/01/2024||THICKNESS_FLEXIBLE
04100790000NB|79.08|83.15|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|83.55|87.45|7|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|87.45|90.77|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|90.77|90.82|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|90.82|90.92|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|90.92|95.73|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|95.73|95.82|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|95.82|96.17|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|96.17|97.13|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|97.13|98.287|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|98.4|98.63|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|98.63|98.925|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|100.39|101.69|5|||54|01/01/2024||THICKNESS_FLEXIBLE
21100790000NB|101.69|104.15|5|||54|01/01/2024||THICKNESS_FLEXIBLE
49200330000EB|5.37|7.192|9|||54|01/01/2024||THICKNESS_FLEXIBLE
49200330000EB|8.31|10.87|9|||54|01/01/2024||THICKNESS_FLEXIBLE
0640001000000|2.1|2.224|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640001000000|2.477|2.619|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630002000000|0.1|0.21|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630002000000|9.98|10.08|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630002000000|14.38|17.99|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640021000000|0.537|0.9|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630002001300|0.0|0.17|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200520004NB|0.0|0.32|2|||54|01/01/2024||THICKNESS_FLEXIBLE
06200520004NB|0.321|0.46|2|||54|01/01/2024||THICKNESS_FLEXIBLE
0640009000000|1.688|1.803|2|||54|01/01/2024||THICKNESS_FLEXIBLE
0630010000000|15.69|15.798|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630010000000|15.82|16.27|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630010000000|17.21|17.37|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630010000000|17.46|18.41|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0630010000100|1.94|2.56|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640013000000|0.02|0.42|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640017000000|4.05|4.17|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640017000000|4.3|4.41|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640017000000|4.47|5.02|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640021000000|0.9|1.51|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640021000000|1.51|2.939|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640021000000|2.947|2.98|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640031000000|0.16|0.5|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640031060000|0.0|0.38|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640031060000|0.38|0.41|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640031060000|0.41|0.48|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673272001900|0.35|0.754|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673272001900|0.754|0.87|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673272001900|0.87|1.04|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673272001900|1.08|1.28|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673272001900|1.28|1.44|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673274001900|1.46|1.56|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673281001900|0.19|0.48|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673285001900|0.0|0.32|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673287001900|0.0|0.28|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673287001900|1.03|1.14|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673288001900|0.78|0.89|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673295001900|0.0|1.08|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673313001900|0.0|0.17|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0673317001900|0.0|0.24|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640035000000|7.83|8.63|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640039000000|2.08|2.62|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200520000EB|0.33|0.45|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200520000EB|0.75|1.01|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640052030000|0.0|0.22|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|2.97|3.07|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|6.97|7.51|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|7.59|7.96|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|7.96|8.43|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|8.43|8.78|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|8.78|8.82|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|8.82|9.5|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|9.56|9.92|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|9.92|10.27|1|||54|01/01/2024||THICKNESS_FLEXIBLE
06200600000EB|15.59|17.29|1|||54|01/01/2024||THICKNESS_FLEXIBLE
0640060050000|0.0|0.88|1|||54|01/01/2024||THICKNESS_FLEXIBLE
