RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
17100790000NB|106.42|107.57|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|107.57|107.94|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|107.94|109.77|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|109.77|110.29|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|110.29|111.13|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|111.13|111.91|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|111.91|114.132|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|114.132|114.9|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|114.9|115.33|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|115.33|115.8|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|115.8|115.9|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|115.9|117.17|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|117.8|118.5|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|118.5|118.7|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|120.962|121.32|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|122.43|122.9|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|123.94|123.988|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|123.988|124.2|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|124.2|124.7|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|124.7|125.38|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|125.38|125.8|9.0||54|01/01/2025|||THICKNESS_RIGID
17100790000NB|125.8|126.666|9.0||54|01/01/2025|||THICKNESS_RIGID
17200190000NB|18.61|20.62|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.38|11.4|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.4|11.5|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.5|11.6|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.6|11.7|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.7|11.8|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.8|11.9|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|11.9|12.0|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.0|12.1|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.1|12.2|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.2|12.29|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.29|12.3|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.3|12.4|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.4|12.5|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.5|12.6|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.6|12.7|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.7|12.8|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|12.8|12.88|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.25|13.3|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.3|13.4|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.4|13.5|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.5|13.56|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.56|13.6|7.5||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.6|13.7|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.7|13.78|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.78|13.8|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.8|13.9|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|13.9|14.0|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|14.0|14.03|8.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|14.03|14.2|9.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|14.2|14.25|9.0||54|01/01/2025|||THICKNESS_RIGID
17200500000EB|14.25|14.324|8.0||54|01/01/2025|||THICKNESS_RIGID
