RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
0940003000000|4.14|5.77|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
0940011000000|11.45|12.55|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|8.26|8.8|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|8.8|9.75|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|9.75|11.01|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|11.43|12.1|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|12.1|12.96|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
09200500000EB|17.75|18.87|1921||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1730020000000|7.22|7.414|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1730058000000|2.43|2.82|1957||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1730098000000|0.42|1.96|1977||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1730131000000|4.33|5.47|1995||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740009000000|0.05|0.52|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740012000000|0.14|0.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740019020000|0.23|0.65|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740019290000|0.0|0.57|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740020750000|0.46|0.93|1979||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740020750000|1.26|1.48|1979||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740023090000|6.77|7.36|1969||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740023090000|7.77|8.94|1969||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024020000|0.0|0.75|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024020000|0.75|0.87|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024020000|0.87|1.09|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024020000|1.86|2.95|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024060000|0.29|0.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740024270000|0.0|0.41|1990||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740025000000|12.11|12.26|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740025000000|12.26|12.62|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740025060000|2.98|5.26|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740025120000|0.27|0.64|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740031000000|0.5|1.45|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740050180000|0.1|0.19|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740050340000|0.0|0.69|1973||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740050400000|0.0|0.67|1983||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740050760000|0.0|0.31|2004||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740050760000|0.31|1.34|2004||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740058010000|0.0|0.17|1981||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740707000000|0.0|0.57|1996||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1740707000000|0.816|0.91|1996||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1771754001900|0.18|0.47|2014||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
1771754001900|0.47|0.57|2014||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|106.42|107.57|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|107.57|107.94|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|107.94|109.77|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|109.77|110.29|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|110.29|111.13|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|111.13|111.91|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|111.91|114.132|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|114.132|114.9|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|114.9|115.33|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|115.33|115.8|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|115.8|115.9|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|115.9|117.17|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|117.8|118.5|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|118.5|118.7|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|120.962|121.32|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|122.43|122.9|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|123.94|123.988|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|123.988|124.2|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|124.2|124.7|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|124.7|125.38|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|125.38|125.8|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17100790000NB|125.8|126.666|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200190000NB|18.61|20.62|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.0|0.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.1|0.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.2|0.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.3|0.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.4|0.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.5|0.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.6|0.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.7|0.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.8|0.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|0.9|1.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.0|1.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.1|1.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.2|1.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.3|1.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.4|1.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.5|1.53|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.53|1.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.6|1.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.7|1.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.8|1.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|1.9|2.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.0|2.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.1|2.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.2|2.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.3|2.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
