RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
0940003000000|4.14|5.77|2019||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
0940011000000|11.45|12.55|2006||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|8.26|8.8|2024||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|8.8|9.75|2016||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|9.75|11.01|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|11.43|12.1|2024||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|12.1|12.96|2024||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
09200500000EB|17.75|18.87|2016||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1730020000000|7.22|7.414|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1730020002300|0.0|0.13|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1730058000000|2.43|2.82|2000||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1730098000000|0.42|1.96|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1730131000000|4.33|5.47|2019||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740009000000|0.05|0.52|1994||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740012000000|0.14|0.9|2011||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740019020000|0.23|0.65|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740019290000|0.0|0.57|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740020750000|0.46|0.93|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740020750000|1.26|1.48|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740023090000|6.77|7.36|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024020000|0.0|0.75|2025||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024020000|0.75|0.87|2025||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024020000|0.87|1.09|2025||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024020000|1.86|2.95|2025||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024060000|0.29|0.6|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740024270000|0.0|0.41|2011||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740025000000|12.11|12.26|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740025000000|12.26|12.62|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740025060000|2.98|5.26|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740025120000|0.27|0.64|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740031000000|0.5|1.45|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740050180000|0.1|0.19|2019||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740050340000|0.0|0.69|2007||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740050400000|0.0|0.67|2022||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740058010000|0.0|0.17|1995||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740707000000|0.0|0.57|2013||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
1740707000000|0.816|0.91|2013||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|106.42|107.57|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|107.57|107.94|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|107.94|109.77|2015||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|109.77|110.29|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|110.29|111.13|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|111.13|111.91|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|111.91|114.132|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|114.9|115.33|2012||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|122.43|122.9|2011||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|123.94|123.988|2011||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|125.38|125.8|2013||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17100790000NB|125.8|126.666|2014||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200190000NB|18.61|20.62|2014||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.0|0.1|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.1|0.2|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.2|0.3|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.3|0.4|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.4|0.5|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.5|0.6|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.6|0.7|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.7|0.8|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.8|0.9|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|0.9|1.0|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.0|1.1|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.1|1.2|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.2|1.3|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.3|1.4|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.4|1.5|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.5|1.53|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
17200500000EB|1.53|1.6|2017||54|01/01/2025|||YEAR_LAST_IMPROVEMENT
