RouteID,BMP,EMP,base_type_4_ValueNumeric,base_type_5_ValueNumeric,base_type_6_ValueNumeric
5530097000000,21.56,22.26,3,3.000,3.0
5530097000000,22.83,22.9,3,3.000,3.0
5530097000000,22.9,23,3,3.000,3.0
5530097000000,23,23.1,3,3.000,3.0
5530097000000,23.1,23.2,3,3.000,3.0
5530097000000,28.09,28.1,3,3.000,3.0
5530097000000,28.1,28.2,3,3.000,3.0
5530097000000,28.2,28.3,3,3.000,3.0
5530097000000,28.3,28.4,3,3.000,3.0
5530097000000,28.4,28.5,3,3.000,3.0
5530097000000,28.5,28.6,3,3.000,3.0
5530097000000,28.6,28.7,3,3.000,3.0
5530097000000,28.7,28.8,3,3.000,3.0
5530097000000,28.8,28.9,3,3.000,3.0
5530097000000,28.9,29,3,3.000,3.0
5530097000000,29,29.1,3,3.000,3.0
5530097000000,29.1,29.2,3,3.000,3.0
5530097000000,29.2,29.3,3,3.000,3.0
5530097000000,29.3,29.4,3,3.000,3.0
5530097000000,29.4,29.5,3,3.000,3.0
5530097000000,29.5,29.6,3,3.000,3.0
5530097000000,29.6,29.7,3,3.000,3.0
5530097000000,29.7,29.8,3,3.000,3.0
5530097000000,29.8,29.9,3,3.000,3.0
5530097000000,29.9,30,3,3.000,3.0
5530097000000,30,30.1,3,3.000,3.0
5530097000000,30.1,30.2,3,3.000,3.0
5530097000000,30.2,30.3,3,3.000,3.0
5530097000000,30.3,30.4,3,3.000,3.0
5530097000000,30.4,30.5,3,3.000,3.0
5530097000000,30.5,30.6,3,3.000,3.0
5530097000000,30.6,30.7,3,3.000,3.0
5530097000000,30.7,30.8,3,3.000,3.0
5530097000000,30.8,30.9,3,3.000,3.0
5530097000000,30.9,31,3,3.000,3.0
5530097000000,31,31.1,3,3.000,3.0
5530097000000,31.1,31.2,3,3.000,3.0
5530097000000,31.2,31.3,3,3.000,3.0
5530097000000,31.3,31.4,3,3.000,3.0
5530097000000,31.4,31.5,3,3.000,3.0
5530097000000,31.5,31.6,3,3.000,3.0
5530097000000,31.6,31.7,3,3.000,3.0
5530097000000,31.7,31.8,3,3.000,3.0
5530097000000,31.8,31.9,3,3.000,3.0
5530097000000,31.9,32,3,3.000,3.0
5530097000000,32,32.1,3,3.000,3.0
5530097000000,32.1,32.2,3,3.000,3.0
5530097000000,32.2,32.3,3,3.000,3.0
5530097000000,32.3,32.4,3,3.000,3.0
5530097000000,32.4,32.5,3,3.000,3.0
5530097000000,32.5,32.512,3,3.000,3.0
5530097000000,32.512,32.6,3,3.000,3.0
5530097000000,32.6,32.7,3,3.000,3.0
