RouteID|BMP|EMP|ValueNumeric|Comments|ValueDate|StateID|BeginDate|ValueText|DataItem
1540507000000|0.43|0.92|2.0|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
1540507000000|0.92|1.16|2.0|New 2021||54|01/01/2023||LAST_OVERLAY_THICKNESS
4830002000000|2.84|4.64|2.0|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
1530002000000|0.28|0.56|2.0|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
35200400000EB|3.44|3.91|0.5|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
35200400000EB|4.32|5.42|0.5|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
35200400000EB|5.42|5.93|0.5|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
0530067000000|6.14|6.71|3.0|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
0530027000100|0.4|0.96|3.0|same as 2020||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940028010000|0.0|0.1|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940028010000|0.1|1.09|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940028010000|1.19|2.14|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940028010000|2.31|2.45|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940028010000|2.45|2.85|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1940017040000|0.63|0.92|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1940029000000|0.0|1.26|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1940029000000|1.26|2.19|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.41|4.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.5|4.6|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.6|4.7|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.7|4.8|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.8|4.9|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|4.9|5.0|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|5.0|5.1|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
12202200000NB|5.1|5.14|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
2940014000000|4.19|4.6|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
0240034030000|0.0|1.01|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1940340180000|0.64|1.24|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1940031000000|0.0|0.029|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1640007000000|5.61|6.0|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
1640007000000|19.2|20.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.24|5.3|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.3|5.4|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.4|5.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.5|5.6|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.6|5.7|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.7|5.8|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.8|5.9|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|5.9|6.0|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|6.0|6.05|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|13.65|13.7|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|13.7|13.78|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|14.51|14.6|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|14.6|14.64|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.48|16.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.5|16.6|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.6|16.7|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.7|16.8|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.8|16.9|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|16.9|17.0|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.0|17.1|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.1|17.2|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.2|17.3|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.3|17.4|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.4|17.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|17.5|17.51|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|24.71|24.8|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|24.8|24.9|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
02200110000NB|24.9|24.97|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
0230051000000|1.87|2.841|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
0230051000000|2.841|4.13|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
0230051000000|4.13|4.54|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
0230051000000|5.4|8.591|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.0|10.1|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.1|10.2|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.2|10.3|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.3|10.4|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.4|10.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.5|10.53|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.53|10.6|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.6|10.69|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.7|10.8|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.8|10.9|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|10.9|11.0|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.0|11.1|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.1|11.2|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.2|11.3|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.3|11.4|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.4|11.5|2.0|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.5|11.6|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.6|11.7|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.8|11.9|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|11.9|12.0|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|12.0|12.1|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
16202200000NB|12.1|12.2|1.5|||54|01/01/2023||LAST_OVERLAY_THICKNESS
