RouteID,BMP,EMP,thickness_flexible_10_ValueNumeric,thickness_flexible_11_ValueNumeric,thickness_flexible_12_ValueNumeric
0630010000000,15.69,15.7,,1.0,1
0630010000000,15.7,15.798,,1.0,1
0630010000000,15.798,15.8,,1.0,1
0630010000000,15.8,15.82,,1.0,1
0630010000000,15.82,15.9,,1.0,1
0630010000000,15.9,16,,1.0,1
0630010000000,16,16.1,,1.0,1
0630010000000,16.1,16.2,,1.0,1
0630010000000,16.2,16.27,,1.0,1
0630010000000,17.21,17.37,,1.0,
0630010000000,17.46,17.5,,1.0,1
0630010000000,17.5,17.6,,1.0,1
0630010000000,17.6,17.7,,1.0,1
0630010000000,17.7,17.8,,1.0,1
0630010000000,17.8,17.9,,1.0,1
0630010000000,17.9,18,,1.0,1
0630010000000,18,18.1,,1.0,1
0630010000000,18.1,18.2,,1.0,1
0630010000000,18.2,18.3,,1.0,1
0630010000000,18.3,18.4,,1.0,1
0630010000000,18.4,18.41,,1.0,1
3540003000000,0,2.55,3,,
4140009000000,5.28,5.54,6,6.0,6
2630002000000,11.88,13.57,3,,
50200520000EB,5.8,5.9,,1.0,1
50200520000EB,5.9,6,,1.0,1
50200520000EB,6,6.1,,1.0,1
50200520000EB,6.1,6.2,,1.0,1
50200520000EB,6.2,6.3,,1.0,1
50200520000EB,6.3,6.4,,1.0,1
50200520000EB,6.4,6.5,,1.0,1
50200520000EB,6.5,6.51,,1.0,1
50200520000EB,29.12,29.2,,3.0,3
50200520000EB,29.2,29.3,,3.0,3
50200520000EB,29.3,29.4,,3.0,3
50200520000EB,29.4,29.5,,3.0,3
50200520000EB,29.5,29.6,,3.0,3
50200520000EB,29.6,29.7,,3.0,3
50200520000EB,29.7,29.8,,3.0,3
50200520000EB,29.8,29.9,,3.0,3
50200520000EB,29.9,30,,3.0,3
50200520000EB,30,30.1,,3.0,3
50200520000EB,30.1,30.2,,3.0,3
50200520000EB,30.2,30.3,,3.0,3
50200520000EB,30.3,30.4,,3.0,3
50200520000EB,30.4,30.5,,3.0,3
50200520000EB,30.5,30.6,,3.0,3
50200520000EB,30.6,30.7,,3.0,3
50200520000EB,30.7,30.8,,3.0,3
50200520000EB,30.8,30.9,,3.0,3
50200520000EB,30.9,31,,3.0,3
50200520000EB,31,31.1,,3.0,3
50200520000EB,31.1,31.2,,3.0,3
50200520000EB,31.2,31.3,,3.0,3
50200520000EB,31.3,31.4,,3.0,3
0540067130000,0,0.3,1,,
3540008000000,2.96,4.96,2,,
2840024000000,0,0.3,6,6.0,6
2840024000000,0.3,2.789,6,6.0,6
4140008010000,1.02,1.6,6,6.0,6
3540008010000,0,0.1,2,,
0540027420000,0,0.24,1,,
4130054000000,2.48,2.5,9,9.0,9
4130054000000,2.5,2.6,9,9.0,9
4130054000000,2.6,2.7,9,9.0,9
4130054000000,2.7,2.8,9,9.0,9
4130054000000,2.8,2.9,9,9.0,9
4130054000000,2.9,3,9,9.0,9
4130054000000,3,3.1,9,9.0,9
4130054000000,3.1,3.2,9,9.0,9
4130054000000,3.2,3.3,9,9.0,9
4130054000000,3.3,3.4,9,9.0,9
4130054000000,3.4,3.5,9,9.0,9
4130054000000,3.5,3.6,9,9.0,9
4130054000000,3.6,3.7,9,9.0,9
4130054000000,3.7,3.8,9,9.0,9
4130054000000,3.8,3.9,9,9.0,9
4130054000000,3.9,4,9,9.0,9
4130054000000,4,4.1,9,9.0,9
4130054000000,4.1,4.2,9,9.0,9
4130054000000,4.2,4.3,9,9.0,9
4130054000000,4.3,4.4,9,9.0,9
4130054000000,4.4,4.5,9,9.0,9
4130054000000,4.5,4.6,9,9.0,9
4130054000000,4.6,4.7,9,9.0,9
4130054000000,4.7,4.8,9,9.0,9
4130054000000,4.8,4.86,9,9.0,9
4130054000000,4.86,4.9,9,9.0,9
4130054000000,4.9,5,9,9.0,9
4130054000000,5,5.1,9,9.0,9
4130054000000,5.1,5.2,9,9.0,9
4130054000000,5.2,5.3,9,9.0,9
4130054000000,5.3,5.4,9,9.0,9
4130054000000,5.4,5.5,9,9.0,9
4130054000000,5.5,5.6,9,9.0,9
4130054000000,5.6,5.7,9,9.0,9
4130054000000,5.7,5.72,9,9.0,9
4130054000000,6.35,6.4,9,9.0,9
4130054000000,6.4,6.5,9,9.0,9
4130054000000,6.5,6.54,9,9.0,9
4130054000000,6.54,6.6,9,9.0,9
4130054000000,6.6,6.7,9,9.0,9
4130054000000,6.7,6.8,9,9.0,9
4130054000000,6.8,6.9,9,9.0,9
4130054000000,6.9,7,9,9.0,9
4130054000000,7,7.1,9,9.0,9
4130054000000,7.1,7.2,9,9.0,9
4130054000000,7.2,7.3,9,9.0,9
4130054000000,7.3,7.4,9,9.0,9
4130054000000,7.4,7.41,9,9.0,9
4130054000000,7.41,7.5,9,9.0,9
4130054000000,7.5,7.6,9,9.0,9
4130054000000,7.6,7.7,9,9.0,9
4130054000000,7.7,7.8,9,9.0,9
4130054000000,7.8,7.9,9,9.0,9
4130054000000,7.9,8,9,9.0,9
4130054000000,8,8.1,9,9.0,9
4130054000000,8.1,8.2,9,9.0,9
4130054000000,8.2,8.3,9,9.0,9
4130054000000,8.3,8.4,9,9.0,9
4130054000000,8.4,8.5,9,9.0,9
4130054000000,8.5,8.6,9,9.0,9
4130054000000,8.6,8.7,9,9.0,9
4130054000000,8.7,8.8,9,9.0,9
4130054000000,8.8,8.84,9,9.0,9
4130054000000,10.14,10.2,9,9.0,9
4130054000000,10.2,10.3,9,9.0,9
4130054000000,10.3,10.33,9,9.0,9
0540027150000,0,0.39,1,,
06200520000EB,0.33,0.4,,1.0,1
06200520000EB,0.4,0.45,,1.0,1
06200520000EB,0.75,0.8,,1.0,1
06200520000EB,0.8,0.9,,1.0,1
06200520000EB,0.9,1,,1.0,1
06200520000EB,1,1.01,,1.0,1
34200190000NB,1.38,1.4,,2.0,9
34200190000NB,1.4,1.5,,2.0,9
34200190000NB,1.5,1.6,,2.0,9
34200190000NB,1.6,1.7,,2.0,9
34200190000NB,1.7,1.8,,2.0,9
34200190000NB,1.8,1.9,,2.0,9
34200190000NB,1.9,2,,2.0,9
34200190000NB,2,2.1,,2.0,9
34200190000NB,2.1,2.2,,2.0,9
34200190000NB,2.2,2.3,,2.0,9
34200190000NB,2.3,2.4,,2.0,9
34200190000NB,2.4,2.5,,2.0,9
34200190000NB,2.5,2.6,,2.0,9
34200190000NB,2.6,2.7,,2.0,9
34200190000NB,2.7,2.8,,2.0,9
34200190000NB,2.8,2.9,,2.0,9
34200190000NB,2.9,3,,2.0,9
34200190000NB,3,3.1,,2.0,9
34200190000NB,3.1,3.2,,2.0,9
34200190000NB,3.2,3.3,,2.0,9
34200190000NB,3.3,3.4,,2.0,9
34200190000NB,11.03,11.1,,2.0,9
34200190000NB,11.1,11.2,,2.0,9
34200190000NB,11.2,11.3,,2.0,9
34200190000NB,11.3,11.4,,2.0,9
34200190000NB,11.4,11.47,,2.0,9
34200190000NB,31.65,31.7,,9.0,9
34200190000NB,31.7,31.8,,9.0,9
34200190000NB,31.8,31.85,,9.0,9
0540067180000,0,0.05,1,,
1040012000000,1.9,3.28,,1.0,
2340210250000,8.09,8.78,,1.0,
2340210250000,8.78,9.08,,1.0,
2340210250000,9.08,9.53,,1.0,
2340210250000,10.07,10.72,,1.0,
5240007230000,0,0.92,1,,
2640086130000,0,0.03,1,,
1530008000000,0.23,0.41,6,,
1530008000000,7.09,7.12,3,,
4970764001900,0,0.39,,9.0,9
2640086060000,0,0.15,1,,
21100790000NB,83.55,83.6,7,7.0,7
21100790000NB,83.6,83.7,7,7.0,7
21100790000NB,83.7,83.8,7,7.0,7
21100790000NB,83.8,83.9,7,7.0,7
21100790000NB,83.9,84,7,7.0,7
21100790000NB,84,84.1,7,7.0,7
21100790000NB,84.1,84.2,7,7.0,7
21100790000NB,84.2,84.3,7,7.0,7
21100790000NB,84.3,84.4,7,7.0,7
21100790000NB,84.4,84.5,7,7.0,7
21100790000NB,84.5,84.6,7,7.0,7
21100790000NB,84.6,84.7,7,7.0,7
21100790000NB,84.7,84.8,7,7.0,7
21100790000NB,84.8,84.9,7,7.0,7
21100790000NB,84.9,85,7,7.0,7
21100790000NB,85,85.1,7,7.0,7
21100790000NB,85.1,85.2,7,7.0,7
21100790000NB,85.2,85.3,7,7.0,7
21100790000NB,85.3,85.4,7,7.0,7
21100790000NB,85.4,85.5,7,7.0,7
21100790000NB,85.5,85.6,7,7.0,7
21100790000NB,85.6,85.7,7,7.0,7
21100790000NB,85.7,85.8,7,7.0,7
21100790000NB,85.8,85.9,7,7.0,7
21100790000NB,85.9,86,7,7.0,7
21100790000NB,86,86.1,7,7.0,7
21100790000NB,86.1,86.2,7,7.0,7
21100790000NB,86.2,86.3,7,7.0,7
21100790000NB,86.3,86.4,7,7.0,7
21100790000NB,86.4,86.5,7,7.0,7
21100790000NB,86.5,86.6,7,7.0,7
21100790000NB,86.6,86.7,7,7.0,7
21100790000NB,86.7,86.8,7,7.0,7
21100790000NB,86.8,86.9,7,7.0,7
21100790000NB,86.9,87,7,7.0,7
21100790000NB,87,87.1,7,7.0,7
21100790000NB,87.1,87.2,7,7.0,7
21100790000NB,87.2,87.3,7,7.0,7
21100790000NB,87.3,87.4,7,7.0,7
21100790000NB,87.4,87.45,7,7.0,7
21100790000NB,87.45,87.5,5,5.0,5
21100790000NB,87.5,87.6,5,5.0,5
21100790000NB,87.6,87.7,5,5.0,5
21100790000NB,87.7,87.8,5,5.0,5
21100790000NB,87.8,87.9,5,5.0,5
21100790000NB,87.9,88,5,5.0,5
21100790000NB,88,88.1,5,5.0,5
21100790000NB,88.1,88.2,5,5.0,5
21100790000NB,88.2,88.3,5,5.0,5
21100790000NB,88.3,88.4,5,5.0,5
21100790000NB,88.4,88.5,5,5.0,5
21100790000NB,88.5,88.6,5,5.0,5
21100790000NB,88.6,88.7,5,5.0,5
21100790000NB,88.7,88.8,5,5.0,5
21100790000NB,88.8,88.9,5,5.0,5
21100790000NB,88.9,89,5,5.0,5
21100790000NB,89,89.1,5,5.0,5
21100790000NB,89.1,89.2,5,5.0,5
21100790000NB,89.2,89.3,5,5.0,5
21100790000NB,89.3,89.4,5,5.0,5
21100790000NB,89.4,89.5,5,5.0,5
21100790000NB,89.5,89.6,5,5.0,5
21100790000NB,89.6,89.7,5,5.0,5
21100790000NB,89.7,89.8,5,5.0,5
21100790000NB,89.8,89.9,5,5.0,5
21100790000NB,89.9,90,5,5.0,5
21100790000NB,90,90.1,5,5.0,5
21100790000NB,90.1,90.2,5,5.0,5
21100790000NB,90.2,90.3,5,5.0,5
21100790000NB,90.3,90.4,5,5.0,5
21100790000NB,90.4,90.5,5,5.0,5
21100790000NB,90.5,90.6,5,5.0,5
21100790000NB,90.6,90.7,5,5.0,5
21100790000NB,90.7,90.77,5,5.0,5
21100790000NB,90.77,90.8,5,5.0,5
21100790000NB,90.8,90.82,5,5.0,5
21100790000NB,90.82,90.9,5,5.0,5
21100790000NB,90.9,90.92,5,5.0,5
21100790000NB,90.92,91,5,5.0,5
21100790000NB,91,91.1,5,5.0,5
21100790000NB,91.1,91.2,5,5.0,5
21100790000NB,91.2,91.3,5,5.0,5
21100790000NB,91.3,91.4,5,5.0,5
21100790000NB,91.4,91.5,5,5.0,5
21100790000NB,91.5,91.6,5,5.0,5
21100790000NB,91.6,91.7,5,5.0,5
21100790000NB,91.7,91.8,5,5.0,5
21100790000NB,91.8,91.9,5,5.0,5
21100790000NB,91.9,92,5,5.0,5
21100790000NB,92,92.1,5,5.0,5
21100790000NB,92.1,92.2,5,5.0,5
21100790000NB,92.2,92.3,5,5.0,5
21100790000NB,92.3,92.4,5,5.0,5
21100790000NB,92.4,92.5,5,5.0,5
21100790000NB,92.5,92.6,5,5.0,5
21100790000NB,92.6,92.7,5,5.0,5
21100790000NB,92.7,92.8,5,5.0,5
21100790000NB,92.8,92.9,5,5.0,5
21100790000NB,92.9,93,5,5.0,5
21100790000NB,93,93.1,5,5.0,5
21100790000NB,93.1,93.2,5,5.0,5
21100790000NB,93.2,93.3,5,5.0,5
21100790000NB,93.3,93.4,5,5.0,5
21100790000NB,93.4,93.5,5,5.0,5
21100790000NB,93.5,93.6,5,5.0,5
21100790000NB,93.6,93.7,5,5.0,5
21100790000NB,93.7,93.8,5,5.0,5
21100790000NB,93.8,93.9,5,5.0,5
21100790000NB,93.9,94,5,5.0,5
21100790000NB,94,94.1,5,5.0,5
21100790000NB,94.1,94.2,5,5.0,5
21100790000NB,94.2,94.3,5,5.0,5
21100790000NB,94.3,94.4,5,5.0,5
21100790000NB,94.4,94.5,5,5.0,5
21100790000NB,94.5,94.6,5,5.0,5
21100790000NB,94.6,94.7,5,5.0,5
21100790000NB,94.7,94.8,5,5.0,5
21100790000NB,94.8,94.9,5,5.0,5
21100790000NB,94.9,95,5,5.0,5
21100790000NB,95,95.1,5,5.0,5
21100790000NB,95.1,95.2,5,5.0,5
21100790000NB,95.2,95.3,5,5.0,5
21100790000NB,95.3,95.4,5,5.0,5
21100790000NB,95.4,95.5,5,5.0,5
21100790000NB,95.5,95.6,5,5.0,5
21100790000NB,95.6,95.7,5,5.0,5
21100790000NB,95.7,95.73,5,5.0,5
21100790000NB,95.73,95.8,5,5.0,5
21100790000NB,95.8,95.82,5,5.0,5
21100790000NB,95.82,95.9,5,5.0,5
21100790000NB,95.9,96,5,5.0,5
21100790000NB,96,96.1,5,5.0,5
21100790000NB,96.1,96.17,5,5.0,5
21100790000NB,96.17,96.2,5,5.0,5
21100790000NB,96.2,96.3,5,5.0,5
21100790000NB,96.3,96.4,5,5.0,5
21100790000NB,96.4,96.5,5,5.0,5
21100790000NB,96.5,96.6,5,5.0,5
21100790000NB,96.6,96.7,5,5.0,5
21100790000NB,96.7,96.8,5,5.0,5
21100790000NB,96.8,96.9,5,5.0,5
21100790000NB,96.9,97,5,5.0,5
21100790000NB,97,97.1,5,5.0,5
21100790000NB,97.1,97.13,5,5.0,5
21100790000NB,97.13,97.2,5,5.0,5
21100790000NB,97.2,97.3,5,5.0,5
21100790000NB,97.3,97.4,5,5.0,5
21100790000NB,97.4,97.5,5,5.0,5
21100790000NB,97.5,97.6,5,5.0,5
21100790000NB,97.6,97.7,5,5.0,5
21100790000NB,97.7,97.8,5,5.0,5
21100790000NB,97.8,97.9,5,5.0,5
21100790000NB,97.9,98,5,5.0,5
21100790000NB,98,98.1,5,5.0,5
21100790000NB,98.1,98.2,5,5.0,5
21100790000NB,98.2,98.287,5,5.0,5
21100790000NB,98.4,98.5,5,5.0,5
21100790000NB,98.5,98.6,5,5.0,5
21100790000NB,98.6,98.63,5,5.0,5
21100790000NB,98.63,98.7,5,5.0,5
21100790000NB,98.7,98.8,5,5.0,5
21100790000NB,98.8,98.9,5,5.0,5
21100790000NB,98.9,98.925,5,5.0,5
21100790000NB,100.39,100.4,5,5.0,5
21100790000NB,100.4,100.5,5,5.0,5
21100790000NB,100.5,100.6,5,5.0,5
21100790000NB,100.6,100.7,5,5.0,5
21100790000NB,100.7,100.8,5,5.0,5
21100790000NB,100.8,100.9,5,5.0,5
21100790000NB,100.9,101,5,5.0,5
21100790000NB,101,101.1,5,5.0,5
21100790000NB,101.1,101.2,5,5.0,5
21100790000NB,101.2,101.3,5,5.0,5
21100790000NB,101.3,101.4,5,5.0,5
21100790000NB,101.4,101.5,5,5.0,5
21100790000NB,101.5,101.6,5,5.0,5
21100790000NB,101.6,101.69,5,5.0,5
21100790000NB,101.69,101.7,5,5.0,5
21100790000NB,101.7,101.8,5,5.0,5
21100790000NB,101.8,101.9,5,5.0,5
21100790000NB,101.9,102,5,5.0,5
21100790000NB,102,102.1,5,5.0,5
21100790000NB,102.1,102.2,5,5.0,5
21100790000NB,102.2,102.3,5,5.0,5
21100790000NB,102.3,102.4,5,5.0,5
21100790000NB,102.4,102.5,5,5.0,5
21100790000NB,102.5,102.6,5,5.0,5
21100790000NB,102.6,102.7,5,5.0,5
21100790000NB,102.7,102.8,5,5.0,5
21100790000NB,102.8,102.9,5,5.0,5
21100790000NB,102.9,103,5,5.0,5
21100790000NB,103,103.1,5,5.0,5
21100790000NB,103.1,103.2,5,5.0,5
21100790000NB,103.2,103.3,5,5.0,5
21100790000NB,103.3,103.4,5,5.0,5
21100790000NB,103.4,103.5,5,5.0,5
21100790000NB,103.5,103.6,5,5.0,5
21100790000NB,103.6,103.7,5,5.0,5
21100790000NB,103.7,103.8,5,5.0,5
21100790000NB,103.8,103.9,5,5.0,5
21100790000NB,103.9,104,5,5.0,5
21100790000NB,104,104.1,5,5.0,5
21100790000NB,104.1,104.15,5,5.0,5
21100790000NB,104.69,104.7,5,5.0,5
21100790000NB,104.7,104.8,5,5.0,5
21100790000NB,104.8,104.9,5,5.0,5
21100790000NB,104.9,105,5,5.0,5
21100790000NB,105,105.1,5,5.0,5
21100790000NB,105.1,105.2,5,5.0,5
21100790000NB,105.2,105.3,5,5.0,5
21100790000NB,105.3,105.4,5,5.0,5
21100790000NB,105.4,105.5,5,5.0,5
21100790000NB,105.5,105.6,5,5.0,5
21100790000NB,105.6,105.7,5,5.0,5
21100790000NB,105.7,105.8,5,5.0,5
21100790000NB,105.8,105.9,5,5.0,5
21100790000NB,105.9,106,5,5.0,5
21100790000NB,106,106.1,5,5.0,5
21100790000NB,106.1,106.2,5,5.0,5
21100790000NB,106.2,106.3,5,5.0,5
21100790000NB,106.3,106.4,5,5.0,5
21100790000NB,106.4,106.42,5,5.0,5
24200520000EB,0,0.1,9,9.0,9
24200520000EB,0.1,0.2,9,9.0,9
24200520000EB,0.2,0.3,9,9.0,9
24200520000EB,0.3,0.4,9,9.0,9
24200520000EB,0.4,0.5,9,9.0,9
24200520000EB,0.5,0.6,9,9.0,9
24200520000EB,0.6,0.7,9,9.0,9
24200520000EB,0.7,0.8,9,9.0,9
24200520000EB,0.8,0.9,9,9.0,9
24200520000EB,0.9,1,9,9.0,9
24200520000EB,1,1.09,9,9.0,9
24200520000EB,2.54,2.6,9,9.0,9
24200520000EB,2.6,2.7,9,9.0,9
24200520000EB,2.7,2.8,9,9.0,9
24200520000EB,2.8,2.9,9,9.0,9
24200520000EB,2.9,3,9,9.0,9
24200520000EB,3,3.1,9,9.0,9
24200520000EB,3.1,3.2,9,9.0,9
24200520000EB,3.2,3.3,9,9.0,9
24200520000EB,3.3,3.4,9,9.0,9
24200520000EB,3.4,3.5,9,9.0,9
24200520000EB,3.5,3.6,9,9.0,9
24200520000EB,3.6,3.7,9,9.0,9
24200520000EB,3.7,3.72,9,9.0,9
