RouteID|BMP|EMP|ValueNumeric|Comments|ValueDate|StateID|BeginDate|ValueText|DataItem
12200480000EB|0.0|0.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.1|0.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.2|0.3|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.3|0.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.4|0.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.5|0.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.6|0.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.7|0.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.8|0.9|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|0.9|1.0|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.0|1.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.1|1.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.2|1.3|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.3|1.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.4|1.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.5|1.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.6|1.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.7|1.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.8|1.9|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|1.9|2.0|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.0|2.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.1|2.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.2|2.3|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.3|2.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.4|2.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.5|2.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.6|2.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.7|2.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.8|2.9|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|2.9|3.0|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.0|3.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.1|3.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.2|3.3|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.3|3.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.4|3.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.5|3.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.6|3.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.7|3.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.8|3.9|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|3.9|4.0|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.0|4.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.1|4.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.2|4.3|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.3|4.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.4|4.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.5|4.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.6|4.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.7|4.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.8|4.9|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|4.9|5.0|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.0|5.1|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.1|5.2|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.3|5.4|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.4|5.5|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.5|5.6|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.6|5.7|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.7|5.8|10.0|||54|01/01/2023||THICKNESS_RIGID
12200480000EB|5.8|5.82|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.0|0.1|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.1|0.17|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.17|0.2|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.2|0.23|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.23|0.3|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.3|0.37|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.371|0.4|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.4|0.5|10.0|||54|01/01/2023||THICKNESS_RIGID
19203400005SB|0.5|0.6|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|17.07|17.1|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|17.1|17.2|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|17.2|17.3|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|17.3|17.4|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|17.4|17.48|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.18|18.2|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.2|18.3|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.3|18.4|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.4|18.5|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.5|18.6|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.6|18.7|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.7|18.8|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.8|18.9|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|18.9|19.0|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.0|19.1|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.1|19.2|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.2|19.3|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.3|19.4|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.4|19.5|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.5|19.6|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.6|19.7|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.7|19.8|10.0|||54|01/01/2023||THICKNESS_RIGID
0230009000000|19.8|19.9|10.0|||54|01/01/2023||THICKNESS_RIGID
