RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
1540507000000|0.43|0.92|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
1540507000000|0.92|1.16|2023|New 2021||54|01/01/2023||YEAR_LAST_IMPROVEMENT
4830002000000|2.84|4.64|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
1530002000000|0.28|0.56|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
35200400000EB|3.44|3.91|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
35200400000EB|4.32|5.42|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
35200400000EB|5.42|5.93|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
0530067000000|6.14|6.71|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
0530027000100|0.4|0.96|2023|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|0.0|3.98|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|3.98|5.61|2010|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|5.63|6.54|2016|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|8.26|8.8|2016|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|8.8|9.75|2016|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|9.75|11.01|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|11.43|12.1|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|12.1|12.96|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
09200500000EB|17.75|18.87|2016|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
0940003000000|4.14|5.77|1999|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
0940011000000|11.45|12.55|2006|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|106.42|107.57|2015|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|107.57|107.94|2015|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|107.94|109.77|2015|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|109.77|110.29|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|110.29|111.13|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|111.13|111.91|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|111.91|114.132|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|114.9|115.33|2012|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|115.33|115.8|2012|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|115.8|115.9|2012|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|115.9|117.17|2012|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|117.17|117.74|2012|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|117.74|119.53|2011|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|119.53|119.9|2009|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|119.9|120.0|2009|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|120.0|120.72|2009|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|120.72|122.43|2009|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|122.43|122.9|2011|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|122.9|123.988|2011|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|123.988|125.38|2011|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|125.38|125.8|2013|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17100790000NB|125.8|129.217|2013|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200190000NB|18.61|20.62|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|0.0|1.53|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|1.53|3.37|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|3.42|3.8|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|6.11|7.18|2017|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|7.18|12.29|2022|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|12.29|12.88|2022|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|13.25|13.56|2022|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|13.78|14.03|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|14.03|14.2|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|14.2|14.25|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|14.324|14.6|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|14.6|14.64|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
17200500000EB|14.96|15.3|2014|same as 2020||54|01/01/2023||YEAR_LAST_IMPROVEMENT
