RouteID,BMP,EMP,year_last_improve_19_ValueDate,year_last_improve_20_ValueDate,year_last_improve_21_ValueDate
47300320005SB,0.04,0.1,,,
47300320005SB,0.1,0.19,,,
17200500000EB,11.38,12.29,,,
4140003180000,2.77,3.51,,,
49200330000EB,0,0.64,,,
49200330000EB,1.22,1.3,,,
49200330000EB,1.3,1.4,,,
49200330000EB,1.4,1.5,,,
49200330000EB,1.5,1.6,,,
49200330000EB,1.6,1.7,,,
49200330000EB,1.7,1.8,,,
49200330000EB,1.8,1.9,,,
49200330000EB,1.9,2,,,
49200330000EB,2,2.1,,,
49200330000EB,2.1,2.2,,,
49200330000EB,2.2,2.3,,,
49200330000EB,2.3,2.4,,,
49200330000EB,2.4,2.5,,,
49200330000EB,2.5,2.51,,,
49200330000EB,2.51,2.6,,,
49200330000EB,2.6,2.7,,,
49200330000EB,2.7,2.8,,,
49200330000EB,2.8,2.9,,,
49200330000EB,2.9,3,,,
49200330000EB,3,3.1,,,
49200330000EB,3.1,3.2,,,
49200330000EB,3.2,3.3,,,
49200330000EB,3.3,3.4,,,
49200330000EB,3.4,3.5,,,
49200330000EB,3.5,3.6,,,
49200330000EB,3.6,3.7,,,
49200330000EB,3.7,3.8,,,
49200330000EB,3.8,3.9,,,
49200330000EB,3.9,4,,,
49200330000EB,4,4.1,,,
49200330000EB,4.1,4.2,,,
49200330000EB,4.2,4.3,,,
49200330000EB,4.3,4.35,,,
49200330000EB,5.37,5.4,,,
49200330000EB,5.4,5.5,,,
49200330000EB,5.5,5.6,,,
49200330000EB,5.6,5.7,,,
49200330000EB,5.7,5.8,,,
49200330000EB,5.8,5.9,,,
49200330000EB,5.9,6,,,
49200330000EB,6,6.1,,,
49200330000EB,6.1,6.2,,,
49200330000EB,6.2,6.3,,,
49200330000EB,6.3,6.4,,,
49200330000EB,6.4,6.5,,,
49200330000EB,6.5,6.6,,,
49200330000EB,6.6,6.7,,,
49200330000EB,6.7,6.8,,,
49200330000EB,6.8,6.9,,,
49200330000EB,6.9,7,,,
49200330000EB,7,7.1,,,
49200330000EB,7.1,7.192,,,
49200330000EB,8.31,8.4,,,
49200330000EB,8.4,8.5,,,
49200330000EB,8.5,8.6,,,
49200330000EB,8.6,8.7,,,
49200330000EB,8.7,8.8,,,
49200330000EB,8.8,8.9,,,
49200330000EB,8.9,9,,,
49200330000EB,9,9.1,,,
49200330000EB,9.1,9.2,,,
49200330000EB,9.2,9.3,,,
49200330000EB,9.3,9.4,,,
49200330000EB,9.4,9.5,,,
49200330000EB,9.5,9.6,,,
49200330000EB,9.6,9.7,,,
49200330000EB,9.7,9.8,,,
49200330000EB,9.8,9.9,,,
49200330000EB,9.9,10,,,
49200330000EB,10,10.1,,,
49200330000EB,10.1,10.2,,,
49200330000EB,10.2,10.3,,,
49200330000EB,10.3,10.4,,,
49200330000EB,10.4,10.5,,,
49200330000EB,10.5,10.6,,,
49200330000EB,10.6,10.7,,,
49200330000EB,10.7,10.8,,,
49200330000EB,10.8,10.87,,,
3630028000000,24.07,24.33,,,
3630028000000,24.33,25.57,,,
4140019210000,3.73,5.14,,,
2840019290000,0,2.54,,,
2840019290000,2.54,3.32,,,
0130038000000,0.43,2.43,,,
0130038000000,5.53,6.31,,,
44100790000SB,25.67,29.58,,,
4830018000000,0,2.24,,,
4830018000000,21.85,22.86,,,
3930072000000,18.42,20.44,,,
4940001000000,2.28,3.09,,,
4940001000000,3.09,3.14,,,
4940001000000,3.14,3.17,,,
4140025000000,3.7,5.9,,,
47202190000NB,5.57,5.6,,,
47202190000NB,5.6,5.7,,,
47202190000NB,5.7,5.8,,,
47202190000NB,5.8,5.9,,,
47202190000NB,5.9,7.37,,,
47202190000NB,13.1,13.13,,,
47202190000NB,13.13,13.2,,,
47202190000NB,13.2,13.3,,,
47202190000NB,13.3,13.4,,,
47202190000NB,13.4,13.5,,,
47202190000NB,13.5,13.6,,,
47202190000NB,13.6,13.7,,,
47202190000NB,13.7,13.8,,,
47202190000NB,13.8,13.9,,,
47202190000NB,13.9,14,,,
47202190000NB,14,14.1,,,
47202190000NB,14.1,14.2,,,
47202190000NB,14.2,14.3,,,
47202190000NB,14.3,14.4,,,
47202190000NB,14.4,14.5,,,
47202190000NB,14.5,14.6,,,
47202190000NB,14.6,14.7,,,
47202190000NB,14.7,14.8,,,
47202190000NB,14.8,14.9,,,
47202190000NB,14.9,15,,,
