RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
3830039000000,27.78,28.08,380390002778,2.1
3830039000000,35.01,35.23,380390003501,2.1
54200500000EB,0.0,0.61,54200500000,2.1
54200500000EB,2.53,3.15,54200500253,2.1
54200500000EB,8.94,10.02,540500000894,2.1
2830598000000,2.4,2.59,285980000240,2.1
2830598000000,2.59,2.98,285980000259,2.1
1771754001900,0.18,0.47,170175400018,2.1
1771754001900,0.47,0.57,170175400047,2.1
0540013000000,0.0,0.14,050130000000,2.1
2640017000000,0.0,0.12,260170000000,2.1
0673274001900,1.46,1.56,060327400146,2.1
3174784001900,0.0,0.41,310478400000,2.1
3174784001900,0.41,0.58,310478400041,2.1
3140081000000,7.25,8.03,310810000725,2.1
3130007000000,0.0,3.42,310070000000,2.1
3130007000000,4.42,4.54,310070000442,2.1
3130007000000,13.21,13.45,310070001321,2.1
3130007000000,22.54,24.0,310070002254,2.1
3130007000000,25.15,25.85,310070002515,2.1
3130007000000,25.85,26.01,310070002585,2.1
3130007000000,26.01,27.03,310070002601,2.1
3130007000000,27.03,27.265,310070002703,2.1
3130007000000,33.83,34.1,310070003383,2.1
3130007000000,34.71,35.76,310070003471,2.1
3130007000000,35.76,36.13,310070003576,2.1
3130007000000,36.13,36.55,310070003613,2.1
3130007000000,36.55,38.29,310070003655,2.1
3130007000000,38.29,38.65,310070003829,2.1
4530003000000,9.56,10.91,450030000956,2.1
1530002000000,0.0,0.1,150020000000,2.1
1530002000000,0.1,0.28,150020000010,2.1
1530002000000,0.28,0.56,150020000028,2.1
1530002000000,1.49,2.3,150020000149,2.1
1530002000000,2.3,2.66,150020000230,2.1
1530002000000,2.66,3.03,150020000266,2.1
1530002000000,3.91,4.68,150020000391,2.1
1530002000000,4.69,6.69,150020000469,2.1
1530002000000,10.33,10.56,150020001033,2.1
1530002000000,10.8,11.14,150020001080,2.1
1530002000000,11.14,11.45,150020001114,2.1
1530002000000,12.89,13.84,150020001289,2.1
1530002000000,16.52,17.44,150020001652,2.1
1530002000000,17.44,17.55,150020017440,2.1
1530002000000,17.55,18.12,150020001755,2.1
1530002000000,19.71,20.25,150020001971,2.1
3174813001900,0.0,1.24,310481300000,2.1
1771765001900,0.0,0.22,17017650M00,2.1
2040025250000,0.0,0.15,200252500000,2.1
2040025250000,0.15,2.17,200252500015,2.1
1577269001900,0.65,0.97,150726900065,2.1
5230007000000,2.0,2.55,520070000200,2.1
5230007000000,35.64,36.52,520070003564,2.1
5430068000000,0.0,0.35,54300680000,2.1
5430068000000,17.19,18.29,540680001719,2.1
1740031000000,0.5,1.45,170310000050,2.1
4272252001900,0.0,0.39,420225200000,2.1
0673272001900,0.35,1.04,060327200035,2.1
0673272001900,1.08,1.44,060327200108,2.1
2040060640000,0.0,0.35,200606400000,3.0
3174764001900,0.81,1.02,310476400081,2.1
1340060140000,6.25,6.298,130601400625,2.1
1340060140000,6.298,6.348,130601400625,6.0
1340060140000,6.348,6.39,130601400625,5.0
12202200000NB,4.41,5.14,122200000441,6.0
1040061280000,0.0,0.59,100612800000,2.1
2230003000000,5.71,6.1,220030000571,2.1
3140055000000,0.0,0.45,310550000000,2.1
4140048000000,0.0,1.9,410480000000,2.1
1771758001900,0.0,0.47,170175800000,2.1
1771758001900,0.47,0.69,170175800047,2.1
4170046001900,0.0,0.1,410004600000,2.1
2340012010000,0.0,1.295,230120100000,2.1
1540009000000,0.0,0.79,150090000000,2.1
1940017000000,0.0,0.43,190170000000,6.0
0540028000000,0.0,0.198,050280000000,2.1
0830036000000,2.48,4.2,080360000248,2.1
2930028000000,7.69,9.22,290280000769,6.0
2930028000000,11.93,12.86,290280001193,6.0
2930028000000,12.86,13.545,290280001286,6.0
3140857000000,0.5,1.41,318570000050,2.1
3140857000000,5.11,5.59,318570000511,2.1
3140857000000,10.85,11.35,318570001085,2.1
0130038000000,0.43,2.43,010380000043,2.1
0130038000000,5.53,6.31,010380000553,2.1
41100640007WB,0.0,0.45,41064W000000,3.0
5275502001900,0.11,0.3,520550200110,3.0
0240012000000,0.0,1.29,020120000000,6.0
2030006000000,0.0,0.1,200060000000,3.0
2030006000000,0.1,0.19,200060000010,3.0
18100770000NB,117.5,119.26,180770011750,2.1
18100770000NB,119.26,119.91,180770011926,2.1
18100770000NB,119.91,120.71,180770011991,2.1
18100770000NB,120.71,122.73,180770012071,2.1
18100770000NB,122.73,124.92,180770012273,2.1
18100770000NB,124.92,126.39,180770012492,2.1
18100770000NB,126.39,128.33,180770012639,2.1
