RouteID,BMP,EMP,29_HPMS_SAMPLE_NO,SURF_TYPE,70_SURFACE_TYPE
1200039000000,0,0.143,,,
2700616000000,0,0.084,,,
3100308000000,0,0.124,,,
5401937000000,0,0.083,,,
2440007010000,0,1.08,,,11
2440007010000,1.08,1.3,,,5
2440007010000,1.3,1.98,,,1
0640060902500,0,0.005,,,
2340700130000,0,0.17,,,11
2340700130000,0.17,0.27,,,5
2340700130000,0.27,0.35,,,1
5001047000000,0,0.048,,,
4280925000000,0,1,,,5
0440017090000,0,1.06,,,11
0440017090000,1.06,1.88,,,5
2400292000000,0,0.047,,,
3105023000000,0,0.071,,,
4201228000000,0,0.253,,,
2300231000000,0,0.347,,,
5401998000000,0,0.117,,,
3940070000000,0,0.1,,ASP,11
3940070000000,0.1,0.2,,ASP,11
3940070000000,0.2,0.3,,ASP,11
3940070000000,0.3,0.4,,ASP,11
3940070000000,0.4,0.5,,ASP,11
3940070000000,0.5,0.6,,ASP,11
3940070000000,0.6,0.7,,ASP,11
3940070000000,0.7,0.8,,ASP,11
3940070000000,0.8,0.9,,ASP,11
3940070000000,0.9,1,,ASP,11
3940070000000,1,1.1,,ASP,11
3940070000000,1.1,1.2,,ASP,11
3940070000000,1.2,1.3,,ASP,11
3940070000000,1.3,1.4,,ASP,11
3940070000000,1.4,1.5,,ASP,11
3940070000000,1.5,1.6,,ASP,11
3940070000000,1.6,1.7,,ASP,11
3940070000000,1.7,1.8,,ASP,11
3940070000000,1.8,1.9,,ASP,11
3940070000000,1.9,2,,ASP,11
3940070000000,2,2.1,,ASP,11
3940070000000,2.1,2.2,,ASP,11
3940070000000,2.2,2.3,,ASP,11
3940070000000,2.3,2.38,,ASP,11
3940070000000,2.38,2.4,,ASP,11
3940070000000,2.4,2.5,,ASP,11
3940070000000,2.5,2.51,,ASP,11
3940070000000,2.51,2.54,,ASP,11
31100790017SB0155D,0,0.335,,,11
31100790017SB0155D,0.336,0.481,,,11
4101287000000,0,0.155,,,
2440004000000,0,3.38,,,11
4000407000000,0,0.087,,,
99R0001040000,0,0.054,,,
2180905000000,0,0.45,,,5
3140007210000,0,0.1,310072100000,ASP,11
3140007210000,0.1,0.2,310072100000,ASP,11
3140007210000,0.2,0.3,310072100000,ASP,11
3140007210000,0.3,0.4,310072100000,ASP,11
3140007210000,0.4,0.5,310072100000,ASP,11
3140007210000,0.5,0.6,310072100000,ASP,11
3140007210000,0.6,0.7,310072100000,ASP,11
3140007210000,0.7,0.8,310072100000,ASP,11
3140007210000,0.8,0.9,310072100000,ASP,11
3140007210000,0.9,1,310072100000,ASP,11
3140007210000,1,1.1,310072100000,ASP,11
3140007210000,1.1,1.11,310072100000,ASP,11
2840052410000,0,0.43,,,11
0200290000000,0,0.098,,,
1701422000000,0,0.59,,,
3500181000000,0,0.093,,,11
2801217000000,0,0.126,,,
4101497000000,0,0.169,,,
1500897000000,0,0.235,,,
2004749000000,0,0.082,,,
5500479000000,0,0.117,,,
0340119130000,0,1.22,,,11
0340119130000,1.22,1.55,,,6
0340119130000,1.55,1.71,,,5
2401091000000,0,0.092,,,
3700142000000,0,0.157,,,
3940050222500,0,0.002,,,
3001035000000,0,0.136,,,
5400494000000,0,0.118,,,
4540010000000,0,3.58,,,6
1001126000000,0,0.512,,,
3104857000000,0,0.18,,,
13100640017EB0150B,0,0.33,,,11
2400793000000,0,0.122,,,
2500692000000,0,0.026,,,11
2800269000000,0,0.171,,,
5340014070000,0,3.43,,,11
3180968000000,0,0.13,,,5
1000077000000,0,0.062,,,
5100089000000,0,0.173,,,
0605054000000,0,0.166,,,
2400423000000,0,0.012,,,
3400386000000,0,0.245,,,
1200601000000,0,0.139,,,
5500397000000,0,0.231,,,
