RouteID,BMP,EMP,BeginDate,SampleId,county,districts,Route #,Surface_Type,Base Thickness,Base Type,Year Last Improvement,Year Last Construction,Thickness Flexible,Thickness Rigid,Last Overlay Thickness,bthick_base_thick_1_ValueNumeric,bthick_base_thick_2_ValueNumeric,bthick_base_thick_3_ValueNumeric,btype_base_type_4_ValueNumeric,btype_base_type_5_ValueNumeric,btype_base_type_6_ValueNumeric,lot_last_overlay_thickness_7_ValueNumeric,lot_last_overlay_thickness_8_ValueNumeric,lot_last_overlay_thickness_9_ValueNumeric,tflex_thickness_flexible_10_ValueNumeric,tflex_thickness_flexible_11_ValueNumeric,tflex_thickness_flexible_12_ValueNumeric,trigid_thickness_rigid_13_ValueNumeric,trigid_thickness_rigid_14_ValueNumeric,trigid_thickness_rigid_15_ValueNumeric,ylc_year_last_constructed_16_ValueDate,ylc_year_last_constructed_17_ValueDate,ylc_year_last_constructed_18_ValueDate,ylc_year_last_improve_19_ValueDate,ylc_year_last_improve_20_ValueDate,ylc_year_last_improve_21_ValueDate,MAINT_32_SERVICE_ORG
2840052400000,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
2040028030000,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0121
3140037120000,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0431
2840020420000,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
2840020370000,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
3940019000000,0.01,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0439
4040060350000,0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0140
4760822000000,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0847
1440005120000,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0514
0440024090000,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0704
5040152190000,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0250
3840028060000,0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0838
2140019010000,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721
18100770017SB0119C,0,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0173
3240021010000,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0932
3240021010000,0.66,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0932
4673003001900,0,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0446
4140002030000,0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
0840016100000,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0108
3174774001900,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0431
1740007030000,0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0417
2340016050000,0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0223
0140011220000,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0701
4940011030000,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0749
3340038110000,0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0533
06100640017EB0018B,0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0271
1340030100000,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0913
2540004000000,0,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0425
0340119400000,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0103
45301070005SB,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0945
45301070005SB,0.59,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0945
1840001080000,0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0318
1480910000000,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0514
1740024270000,0,0.41,01/01/2025,170242700000,Harrison,4,CO 0024/27,Asphaltic Concrete (virgin),,,,,,,,,,,,,,,,,,,,,,,1991,1991,1991,,,,0417
2540250320000,0,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0425
2540250320000,2.05,2.49,01/01/2025,252503200205,Marion,4,CO 0250/32,Asphaltic Concrete (virgin),,,,,,,,,,,,,,,,,,,,,,,1987,1987,1987,,,,0425
2540250320000,2.49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0425
3940080010000,0,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0439
1740005240000,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0417
4180901240000,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
2840052110000,0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
4140001280000,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
2040060020000,0,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0124
2040060020000,2.13,3,01/01/2025,200600200213,Kanawha,1,CO 0060/02,Asphaltic Concrete (virgin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0124
2040060020000,3,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0124
4180901990000,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
2080940000000,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0121
1980918000000,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0519
4940035070000,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0749
4180902860000,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
06200600000WB,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0206
06200600000WB,6.02,26.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0206
0640064420000,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0206
1040085140000,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0910
4530012000000,0,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0945
4140042010000,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041
5540052020000,0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055
3980991000000,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0439
2180924000000,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721
1340024030000,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0913
