ROUTEID,BMP,EMP,HPMS_SAMPLE_NO
1540011000000,5.16,5.35,150110000516
0240019000000,1.55,3.438,020190000155
30201190000NB,12.88,14.28,301190001288
39100680000EB,28.64,29.23,390680002864
54100770000NB,162.73,168.205,540770016273
1540011030000,0.06,0.352,150110300060
18100770000NB,154.41,156.01,180770015441
43200500000EB,0.0,2.86,430500000000
26202500000NB,3.56,4.01,262500000356
5440014160000,2.89,3.83,540141600289
26202500000NB,7.1,8.07,262500000710
31100790000NB,143.81,145.2,310790014381
13202190005SB,0.0,0.33,13219S000000
52202500000NB,8.68,9.05,522500000868
26202500000NB,38.92,39.2,262500003892
26202500000NB,4.65,7.1,262500000465
16202200000NB,10.7,11.7,162200001070
0330094000000,0.0,3.01,030940000000
2870515001900,0.0,0.95,280051500000
4640009000000,1.16,1.59,460090000116
0640021000000,2.947,2.98,060210002947
0630010000000,15.82,16.27,060100001582
1230042000000,21.78,22.74,120420002178
1040005000000,0.06,0.62,100050000006
2040012000000,0.0,2.55,200120000000
1530002000000,3.91,4.68,150020000391
2040073000000,0.0,1.18,200730000000
41100770016NB,35.21,35.75,410077003521
17100790000NB,122.43,122.9,170790012243
0240012000000,0.0,1.29,020120000000
2540073730000,2.673,3.34,250737302673
5040007000000,17.84,18.87,500070001784
1930009000000,10.91,11.418,190090001091
3140069050000,1.77,2.02,310690500177
0530027000000,1.58,2.26,050270000158
02100810000NB,15.22,15.62,020810001522
49200330000EB,4.0,4.35,490330000400
0673281001900,0.19,0.48,060328100019
1540507000000,1.51,3.33,155070000151
26202500000NB,23.89,24.64,262500002389
28200190000NB,5.34,6.01,280190000534
3140055070000,0.0,0.26,310550700000
4830002000000,2.27,2.84,480020000227
32202190000NB,24.92,26.24,322190002492
42200330000EB,9.5,9.74,420330000950
25200190000NB,3.003,4.64,250190000300
3540018010000,0.0,0.06,350180100000
0530067000000,6.14,6.71,050670000614
0640021000000,0.9,1.51,060210000090
06100640000EB,9.22,9.52,060640000922
4140016390000,0.0,0.64,410163900000
2040011000000,0.899,0.95,200110000899
5440004100000,0.0,0.4,540041000000
2540073730000,2.11,2.33,250737300211
1740024020000,1.86,2.95,170240200186
1640010000000,4.6,5.8,160100000046
30200520000EB,21.06,21.95,300520002106
09200500000EB,0.0,3.98,090500000000
3540017000000,0.27,0.95,350170000027
1540015000000,0.0,1.44,150150000000
0640060700000,0.56,0.76,060607000056
42202190000NB,36.33,37.87,422190003633
31201190000NB,7.81,9.82,311190000781
0230009000000,6.381,6.47,020090006381
2040016000000,4.25,5.42,200160000425
31100680000EB,6.77,7.2,310680000677
17200500000EB,6.11,7.16,170500000611
38202190000NB,34.47,34.78,382190003447
1530002000000,2.3,2.66,150020000230
1771771001900,0.43,0.62,170177100430
2940220010000,0.11,1.09,292200100110
3140069050000,0.0,1.77,310690500000
2030061000000,20.18,20.38,200610002018
3140067010000,0.0,0.65,310670100000
2330010000000,27.14,28.6,230100002714
2940014000000,4.19,4.6,290140000419
2930028000100,0.54,1.03,29028A000054
21100790000NB,98.4,98.63,210790009840
41100640000EB,137.48,138.01,410640013748
02200110000NB,24.71,24.97,020110002471
3130007000000,4.42,4.54,310070000442
2540072020000,1.76,1.93,250720200176
2940028010000,2.45,2.85,290280100245
0830016000000,19.19,20.35,080160001919
21100790000NB,104.69,106.42,210790010469
4830002000000,2.84,4.64,480020000284
0530002000000,14.83,15.05,050020001483
1030006000000,0.12,0.33,100060000120
54100770000NB,161.66,162.73,540770016166
5440001000000,6.32,6.67,54400010000
1730020000000,7.22,7.414,170200000722
04100790000NB,51.61,52.61,040790005161
20100790000NB,0.0,0.81,200790000000
0140030070000,0.92,2.0,010300700092
4940151000000,0.0,0.24,491510000000
0577279001900,0.0,0.16,050727900000
17100790000NB,123.988,125.38,170079123988
3140073730000,0.0,0.58,310737300000
29202200000NB,12.61,13.26,292200001261
2730002000000,13.72,15.93,270020001372
2040060750000,0.0,0.09,200607500000
5040003000000,3.94,4.06,500030000394
3530088000000,8.57,8.89,350880000857
17200500000EB,14.324,14.64,170500014324
09200500000EB,5.63,6.54,090500000563
1830002000000,2.76,3.88,180020000276
2730002000000,18.91,19.89,270020001891
20100640000EB,49.75,50.11,200640004975
54100770000NB,185.64,186.72,540770018564
1530105000000,0.38,1.14,151050000038
0230051000000,4.58,4.62,020510004580
5440034000000,0.0,0.76,540340000000
