BeginDate|StateID|CountyCode|FSystem|UrbanID|Ownership|SystemLength
12/31/2021|54|1|6|99999|1|18.42
12/31/2021|54|1|7|99999|1|461.423
12/31/2021|54|1|7|99999|4|23.274
12/31/2021|54|1|7|99999|11|6.03
12/31/2021|54|3|6|99999|1|8.294
12/31/2021|54|3|7|36190|1|172.914
12/31/2021|54|3|7|36190|4|60.7
12/31/2021|54|3|7|99999|1|261.292
12/31/2021|54|3|7|99999|11|10.89
12/31/2021|54|5|6|99999|1|29.374
12/31/2021|54|5|7|99999|1|217.453
12/31/2021|54|5|7|99999|4|18.949
12/31/2021|54|5|7|99999|11|6.81
12/31/2021|54|7|6|99999|1|67.43
12/31/2021|54|7|7|99999|1|522.412
12/31/2021|54|7|7|99999|4|6.273
12/31/2021|54|7|7|99999|11|0.08
12/31/2021|54|7|7|99999|70|22.75
12/31/2021|54|9|6|99999|1|16.33
12/31/2021|54|9|7|93592|1|50.272
12/31/2021|54|9|7|93592|4|27.7
12/31/2021|54|9|7|99999|1|64.902
12/31/2021|54|9|7|99999|4|2.9
12/31/2021|54|11|6|99999|1|25.96
12/31/2021|54|11|7|40753|1|150.587
12/31/2021|54|11|7|40753|4|242.398
12/31/2021|54|11|7|40753|11|0.05
12/31/2021|54|11|7|40753|73|0.1
12/31/2021|54|11|7|99999|1|270.784
12/31/2021|54|13|6|99999|1|45.17
12/31/2021|54|13|7|99999|1|318.75
12/31/2021|54|13|7|99999|4|1.68
12/31/2021|54|15|6|99999|1|27.47
12/31/2021|54|15|7|99999|1|356.645
12/31/2021|54|17|6|99999|1|40.1
12/31/2021|54|17|7|99999|1|338.648
12/31/2021|54|17|7|99999|4|6.2
12/31/2021|54|19|6|99999|1|30.095
12/31/2021|54|19|7|6139|1|81.276
12/31/2021|54|19|7|6139|4|51.823
12/31/2021|54|19|7|99999|1|410.334
12/31/2021|54|19|7|99999|4|26.5
12/31/2021|54|19|7|99999|11|17.3
12/31/2021|54|19|7|99999|66|7.1
12/31/2021|54|21|6|99999|1|41.28
12/31/2021|54|21|7|99999|1|303.388
12/31/2021|54|21|7|99999|4|8.1
12/31/2021|54|21|7|99999|11|1.9
12/31/2021|54|23|6|99999|1|29.62
12/31/2021|54|23|7|99999|1|190.489
12/31/2021|54|23|7|99999|4|16.496
12/31/2021|54|23|7|99999|64|24.64
12/31/2021|54|25|6|99999|1|79.966
12/31/2021|54|25|7|99998|1|22.879
12/31/2021|54|25|7|99998|4|35.424
12/31/2021|54|25|7|99999|1|587.697
12/31/2021|54|25|7|99999|4|40.146
12/31/2021|54|25|7|99999|63|0.155
12/31/2021|54|25|7|99999|64|48.165
12/31/2021|54|27|6|99999|1|36.35
12/31/2021|54|27|7|99999|1|444.426
12/31/2021|54|27|7|99999|4|18.62
12/31/2021|54|27|7|99999|11|6.75
12/31/2021|54|27|7|99999|64|8.563
12/31/2021|54|29|6|99999|1|12.952
12/31/2021|54|29|7|93592|1|13.641
12/31/2021|54|29|7|93592|4|75.386
12/31/2021|54|29|7|99998|1|13.962
12/31/2021|54|29|7|99998|4|20.65
12/31/2021|54|29|7|99999|1|88.328
12/31/2021|54|29|7|99999|4|8.52
12/31/2021|54|29|7|99999|11|5.709
12/31/2021|54|31|6|99999|1|34.44
12/31/2021|54|31|7|99999|1|291.404
12/31/2021|54|31|7|99999|4|13.826
12/31/2021|54|31|7|99999|11|5.32
12/31/2021|54|31|7|99999|64|18.685
12/31/2021|54|33|6|99999|1|54.396
12/31/2021|54|33|6|99999|4|0.17
12/31/2021|54|33|7|99998|1|94.464
12/31/2021|54|33|7|99998|4|224.25
12/31/2021|54|33|7|99999|1|425.486
12/31/2021|54|33|7|99999|4|17.12
12/31/2021|54|33|7|99999|11|1.04
12/31/2021|54|35|6|99999|1|59.38
12/31/2021|54|35|7|99999|1|642.808
12/31/2021|54|35|7|99999|4|43.676
12/31/2021|54|37|6|99999|1|23.227
12/31/2021|54|37|7|36190|1|3.843
12/31/2021|54|37|7|99998|1|43.108
12/31/2021|54|37|7|99998|4|57.95
12/31/2021|54|37|7|99999|1|240.09
12/31/2021|54|37|7|99999|4|15.69
12/31/2021|54|37|7|99999|63|1.73
12/31/2021|54|37|7|99999|66|4.5
12/31/2021|54|39|6|99999|1|53.994
12/31/2021|54|39|7|15481|1|293.4
12/31/2021|54|39|7|15481|4|442.13
12/31/2021|54|39|7|99999|1|514.523
12/31/2021|54|39|7|99999|4|10.726
12/31/2021|54|39|7|99999|11|5.681
12/31/2021|54|41|6|99999|1|44.21
12/31/2021|54|41|7|99998|1|16.629
12/31/2021|54|41|7|99998|4|19.456
12/31/2021|54|41|7|99999|1|438.373
12/31/2021|54|41|7|99999|4|0.197
12/31/2021|54|41|7|99999|70|91
12/31/2021|54|43|6|99999|1|44.87
12/31/2021|54|43|7|99999|1|456.327
12/31/2021|54|43|7|99999|11|1.26
12/31/2021|54|45|6|99999|1|18.083
12/31/2021|54|45|7|99998|1|65.004
12/31/2021|54|45|7|99998|4|11.639
12/31/2021|54|45|7|99999|1|228.187
12/31/2021|54|45|7|99999|11|5.1
12/31/2021|54|47|6|99999|1|25
12/31/2021|54|47|7|99999|1|386.047
12/31/2021|54|47|7|99999|4|26.951
12/31/2021|54|47|7|99999|11|2.07
12/31/2021|54|49|6|99999|1|51.456
12/31/2021|54|49|7|99998|1|84.012
12/31/2021|54|49|7|99998|4|134.141
12/31/2021|54|49|7|99998|11|0.4
12/31/2021|54|49|7|99999|1|394.883
12/31/2021|54|49|7|99999|4|18.092
12/31/2021|54|51|6|99999|1|43.316
12/31/2021|54|51|7|94726|1|14.833
12/31/2021|54|51|7|94726|4|67.822
12/31/2021|54|51|7|99999|1|301.897
12/31/2021|54|51|7|99999|4|1.553
