BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
12/31/2021|54|01200330000EB|0|1.87|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|0|1.39|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|1.39|3.29|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|3.29|3.3|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|3.3|6.27|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|6.27|8.42|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|8.42|11.63|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|11.63|11.66|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|11.66|13.51|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|13.51|13.54|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|13.54|14.26|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|14.26|15.22|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.22|15.32|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.32|15.62|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.62|15.95|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.95|16.23|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|16.23|17.3|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|17.3|18.11|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|18.11|18.13|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|18.13|19.1|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|19.1|19.12|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|19.12|20.37|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|20.37|21.74|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|21.74|21.76|COUNTER_PEAK_LANES|2|||
12/31/2021|54|02100810000NB|21.76|23|COUNTER_PEAK_LANES|2|||
