BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
12/31/2021|54|2430083000000|14.092|17.6|ALTERNATIVE_ROUTE_NAME||Old Bradshaw Road||
12/31/2021|54|2040012000000|0|2.55|ALTERNATIVE_ROUTE_NAME||Smith Creek Rd.||
12/31/2021|54|1040019020000|0|0.82|ALTERNATIVE_ROUTE_NAME||Broadway Avenue||
12/31/2021|54|35200400000EB|1.99|2.102|ALTERNATIVE_ROUTE_NAME||National Rd||
12/31/2021|54|13100640000EB|161.46|165.95|ALTERNATIVE_ROUTE_NAME||Eisenhower Interstate||
12/31/2021|54|5475762001900|1.16|1.47|ALTERNATIVE_ROUTE_NAME||Cadillac Drive||
12/31/2021|54|03201190000NB|12.83|13.54|ALTERNATIVE_ROUTE_NAME||Corridor G||
12/31/2021|54|41100770016NB|28.97|30.804|ALTERNATIVE_ROUTE_NAME||Turnpike||
12/31/2021|54|1540003060000|2.171|2.32|ALTERNATIVE_ROUTE_NAME||Congo Arroyo Road||
12/31/2021|54|3130007000000|0|3.42|ALTERNATIVE_ROUTE_NAME||Mason Dixon Highway||
12/31/2021|54|2930972000000|1.48|2.19|ALTERNATIVE_ROUTE_NAME||New Creek Road||
12/31/2021|54|1340045010000|0|0.559|ALTERNATIVE_ROUTE_NAME||Holt Lane||
12/31/2021|54|08100790000NB|41.43|44.6|ALTERNATIVE_ROUTE_NAME||Jennings Randolph Highway||
12/31/2021|54|0630193000000|0.46|3.55|ALTERNATIVE_ROUTE_NAME||Big Ben Bowen Highway||
12/31/2021|54|0673287001900|0|0.28|ALTERNATIVE_ROUTE_NAME||18th Street||
12/31/2021|54|31200190000NB|14.25|14.35|ALTERNATIVE_ROUTE_NAME||Jerry West Blvd||
12/31/2021|54|2040006060000|3.7|5.75|ALTERNATIVE_ROUTE_NAME||Pennsylvania Ave.||
12/31/2021|54|1140007000000|6.97|8.67|ALTERNATIVE_ROUTE_NAME||Newberne Road||
12/31/2021|54|2340005000000|0.45|2.789|ALTERNATIVE_ROUTE_NAME||Mud Fork Rd||
12/31/2021|54|3140019080000|0|0.23|ALTERNATIVE_ROUTE_NAME||Holland Lane||
12/31/2021|54|4140016100000|0.53|0.9|ALTERNATIVE_ROUTE_NAME||Whitestick Street||
12/31/2021|54|3174772001900|0.27|0.42|ALTERNATIVE_ROUTE_NAME||Turnpike||
