Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.000|1.870|Dir_Factor|1.870|54|||
2021|54|01201190000NB|6.950|9.290|Dir_Factor|2.340|51|||
2021|54|01201190000NB|10.660|11.500|Dir_Factor|0.840|57|||
2021|54|0130020000000|0.000|2.150|Dir_Factor|2.150|61|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.430|2.430|Dir_Factor|2.000|60|||
2021|54|0130038000000|5.530|6.310|Dir_Factor|0.780|56|||
2021|54|0130076000000|1.750|6.620|Dir_Factor|4.870|63|||
2021|54|0130092000000|8.640|9.978|Dir_Factor|1.338|59|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|Dir_Factor|0.751|59|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.730|Dir_Factor|0.001|59|||
2021|54|0140006000000|0.110|3.130|Dir_Factor|3.020|65|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.410|8.630|Dir_Factor|1.220|62|||
2021|54|0140011000000|3.050|3.780|Dir_Factor|0.730|57|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.640|2.790|Dir_Factor|1.150|60|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.790|4.740|Dir_Factor|1.950|59|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.140|6.830|Dir_Factor|0.690|70|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.000|0.920|Dir_Factor|0.920|60|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.920|2.000|Dir_Factor|1.080|60|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.000|1.620|Dir_Factor|1.620|56|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.000|1.390|Dir_Factor|1.390|54|||
2021|54|02100810000NB|1.390|5.010|Dir_Factor|3.620|54|||
2021|54|02100810000NB|5.010|6.270|Dir_Factor|1.260|54|||
2021|54|02100810000NB|6.270|8.420|Dir_Factor|2.150|52|||
2021|54|02100810000NB|8.420|11.630|Dir_Factor|3.210|52|||
2021|54|02100810000NB|11.630|12.980|Dir_Factor|1.350|52|||
2021|54|02100810000NB|12.980|13.540|Dir_Factor|0.560|52|||
2021|54|02100810000NB|13.540|14.260|Dir_Factor|0.720|52|||
2021|54|02100810000NB|14.260|15.220|Dir_Factor|0.960|51|||
2021|54|02100810000NB|15.220|15.620|Dir_Factor|0.400|51|||
2021|54|02100810000NB|15.620|15.950|Dir_Factor|0.330|51|||
2021|54|02100810000NB|15.950|16.230|Dir_Factor|0.280|51|||
2021|54|02100810000NB|16.230|17.300|Dir_Factor|1.070|51|||
2021|54|02100810000NB|17.300|18.130|Dir_Factor|0.830|51|||
2021|54|02100810000NB|18.130|20.370|Dir_Factor|2.240|51|||
2021|54|02100810000NB|20.370|23.000|Dir_Factor|2.630|51|||
2021|54|02100810000NB|23.000|23.460|Dir_Factor|0.460|60|||
2021|54|02100810000NB|23.460|24.530|Dir_Factor|1.070|60|||
2021|54|02100810000NB|24.530|26.000|Dir_Factor|1.470|60|||
2021|54|02200110000NB|5.240|6.050|Dir_Factor|0.810|54|||
2021|54|02200110000NB|13.650|13.780|Dir_Factor|0.130|54|||
