BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
12/31/2021|54|01200330000EB|0|1.87|FUTURE_AADT|9891||2041|
12/31/2021|54|01201190000NB|6.95|9.29|FUTURE_AADT|1995||2041|
12/31/2021|54|01201190000NB|10.66|11.5|FUTURE_AADT|5880||2041|
12/31/2021|54|0130020000000|0|2.15|FUTURE_AADT|1890||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0130038000000|0.43|2.43|FUTURE_AADT|2598||2041|
12/31/2021|54|0130038000000|5.53|6.31|FUTURE_AADT|1949||2041|
12/31/2021|54|0130076000000|1.75|6.62|FUTURE_AADT|1191||2041|
12/31/2021|54|0130092000000|8.64|9.978|FUTURE_AADT|1732||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0130092000000|9.978|10.729|FUTURE_AADT|1732||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0130092000000|10.729|10.73|FUTURE_AADT|1732||2041|
12/31/2021|54|0140006000000|0.11|3.13|FUTURE_AADT|704||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0140010000000|7.41|8.63|FUTURE_AADT|217||2041|
12/31/2021|54|0140011000000|3.05|3.78|FUTURE_AADT|162||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0140024000000|1.64|2.79|FUTURE_AADT|217||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0140024000000|2.79|4.74|FUTURE_AADT|217||2041|Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
12/31/2021|54|0140030000000|6.14|6.83|FUTURE_AADT|271||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0|0.92|FUTURE_AADT|271||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0.92|2|FUTURE_AADT|271||2041|Est Pct_Peak_Combination; 
12/31/2021|54|0140046010000|0|1.62|FUTURE_AADT|162||2041|Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
12/31/2021|54|02100810000NB|0|1.39|FUTURE_AADT|53521||2041|
12/31/2021|54|02100810000NB|1.39|5.01|FUTURE_AADT|53258||2041|
12/31/2021|54|02100810000NB|5.01|6.27|FUTURE_AADT|51592||2041|
12/31/2021|54|02100810000NB|6.27|8.42|FUTURE_AADT|54260||2041|
12/31/2021|54|02100810000NB|8.42|11.63|FUTURE_AADT|53827||2041|
12/31/2021|54|02100810000NB|11.63|12.98|FUTURE_AADT|65970||2041|
12/31/2021|54|02100810000NB|12.98|13.54|FUTURE_AADT|70288||2041|
12/31/2021|54|02100810000NB|13.54|14.26|FUTURE_AADT|73761||2041|
12/31/2021|54|02100810000NB|14.26|15.22|FUTURE_AADT|60852||2041|
12/31/2021|54|02100810000NB|15.22|15.62|FUTURE_AADT|60852||2041|
12/31/2021|54|02100810000NB|15.62|15.95|FUTURE_AADT|60852||2041|
12/31/2021|54|02100810000NB|15.95|16.23|FUTURE_AADT|60852||2041|
12/31/2021|54|02100810000NB|16.23|17.3|FUTURE_AADT|46100||2041|
12/31/2021|54|02100810000NB|17.3|18.13|FUTURE_AADT|46100||2041|
12/31/2021|54|02100810000NB|18.13|20.37|FUTURE_AADT|46100||2041|
12/31/2021|54|02100810000NB|20.37|23|FUTURE_AADT|54308||2041|
12/31/2021|54|02100810000NB|23|23.46|FUTURE_AADT|59318||2041|
12/31/2021|54|02100810000NB|23.46|24.53|FUTURE_AADT|59318||2041|
12/31/2021|54|02100810000NB|24.53|26|FUTURE_AADT|59318||2041|
12/31/2021|54|02200110000NB|5.24|6.05|FUTURE_AADT|10102||2041|
12/31/2021|54|02200110000NB|13.65|13.78|FUTURE_AADT|20318||2041|
12/31/2021|54|02200110000NB|14.51|14.64|FUTURE_AADT|20318||2041|
12/31/2021|54|02200110000NB|16.48|17.51|FUTURE_AADT|7117||2041|
12/31/2021|54|02200110000NB|24.71|24.97|FUTURE_AADT|8265||2041|
12/31/2021|54|0230009000000|0.35|2.2|FUTURE_AADT|8226||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.17|6.27|FUTURE_AADT|15159||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.381|6.47|FUTURE_AADT|13631||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.47|7.58|FUTURE_AADT|17039||2041|
12/31/2021|54|0230009000000|7.584|9.95|FUTURE_AADT|17039||2041|
12/31/2021|54|0230009000000|10.12|10.37|FUTURE_AADT|25147||2041|
12/31/2021|54|0230009000000|10.52|10.84|FUTURE_AADT|25147||2041|
12/31/2021|54|0230009000000|10.84|11.15|FUTURE_AADT|25147||2041|
12/31/2021|54|0230009000000|14|14.2|FUTURE_AADT|6463||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|14.55|14.9|FUTURE_AADT|6463||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|15.57|15.79|FUTURE_AADT|28790||2041|
12/31/2021|54|0230009000000|15.79|16.09|FUTURE_AADT|28790||2041|
12/31/2021|54|0230009000000|17.07|17.48|FUTURE_AADT|25499||2041|
12/31/2021|54|0230009000000|18.18|20.16|FUTURE_AADT|19976||2041|
12/31/2021|54|0230045000000|13.355|13.76|FUTURE_AADT|1238||2041|
12/31/2021|54|0230045000000|14.39|14.52|FUTURE_AADT|29943||2041|
12/31/2021|54|0230045000000|14.52|14.85|FUTURE_AADT|29943||2041|
12/31/2021|54|0230045000000|14.85|15.31|FUTURE_AADT|21417||2041|
12/31/2021|54|0230045000000|17.53|18.23|FUTURE_AADT|15197||2041|
12/31/2021|54|0230045000000|19.08|19.61|FUTURE_AADT|7204||2041|
12/31/2021|54|0230051000000|1.87|2.841|FUTURE_AADT|12090||2041|
12/31/2021|54|0230051000000|2.841|4.13|FUTURE_AADT|10920||2041|
12/31/2021|54|0230051000000|4.13|4.54|FUTURE_AADT|10920||2041|
12/31/2021|54|0230051000000|4.54|4.58|FUTURE_AADT|10920||2041|
12/31/2021|54|0230051000000|4.58|4.62|FUTURE_AADT|21329||2041|
12/31/2021|54|0230051000000|4.62|5.18|FUTURE_AADT|21329||2041|
12/31/2021|54|0230051000000|5.4|8.591|FUTURE_AADT|6865||2041|
12/31/2021|54|0230901000000|4.86|5.44|FUTURE_AADT|20321||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240001000000|8.14|9.32|FUTURE_AADT|5296||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240005000000|5.9|7.94|FUTURE_AADT|945||2041|
12/31/2021|54|0240009050000|1.67|3.26|FUTURE_AADT|1083||2041|
12/31/2021|54|0240009130000|0.4|1.92|FUTURE_AADT|4153||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240009270000|0|0.31|FUTURE_AADT|2889||2041|
12/31/2021|54|0240010010000|0|0.69|FUTURE_AADT|11721||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240011130000|0.28|0.41|FUTURE_AADT|231||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240011130000|0.41|0.55|FUTURE_AADT|231||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240011190000|0|0.31|FUTURE_AADT|241||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240011240000|0|0.85|FUTURE_AADT|6118||2041|
12/31/2021|54|0240011330000|0|0.26|FUTURE_AADT|421||2041|
12/31/2021|54|0240011370000|0|0.23|FUTURE_AADT|963||2041|Est Pct_CU_Trucks; 
12/31/2021|54|0240012000000|0|1.29|FUTURE_AADT|3141||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240013000000|0.43|1.03|FUTURE_AADT|2368||2041|
12/31/2021|54|0240013000000|1.03|1.5|FUTURE_AADT|2368||2041|
12/31/2021|54|0240013000000|2.75|3.716|FUTURE_AADT|3622||2041|
12/31/2021|54|0240015000000|0.939|0.94|FUTURE_AADT|4326||2041|
12/31/2021|54|0240015000000|2.78|3.06|FUTURE_AADT|13411||2041|
12/31/2021|54|0240019000000|1.55|3.438|FUTURE_AADT|1131||2041|
12/31/2021|54|0240019000000|3.438|4.04|FUTURE_AADT|1131||2041|
12/31/2021|54|0240030000000|4.175|4.37|FUTURE_AADT|2771||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240032000000|0|1.26|FUTURE_AADT|1114||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240032000000|1.26|1.565|FUTURE_AADT|12086||2041|
12/31/2021|54|0240032000000|1.565|2.15|FUTURE_AADT|12086||2041|
12/31/2021|54|0240034030000|0|1.01|FUTURE_AADT|361||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240036010000|1.6|1.98|FUTURE_AADT|3321||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240045050000|0.55|1.25|FUTURE_AADT|5417||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0240051070000|2.28|3.56|FUTURE_AADT|5833||2041|
12/31/2021|54|0274252001900|0|0.64|FUTURE_AADT|3130||2041|
12/31/2021|54|0274256001900|0|0.66|FUTURE_AADT|3250||2041|
12/31/2021|54|0274257001900|0|0.11|FUTURE_AADT|1052||2041|
12/31/2021|54|0274257001900|0.11|0.42|FUTURE_AADT|1052||2041|
12/31/2021|54|0274259001900|0|0.17|FUTURE_AADT|2214||2041|
12/31/2021|54|0274265001900|0|0.57|FUTURE_AADT|1324||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0274266001900|0|0.44|FUTURE_AADT|903||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0274268001900|0|0.48|FUTURE_AADT|7342||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0274273001900|0|0.11|FUTURE_AADT|6218||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|03201190000NB|0|2.93|FUTURE_AADT|12826||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|03201190000NB|9.44|11.49|FUTURE_AADT|14223||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|03201190000NB|11.49|12.83|FUTURE_AADT|14223||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|03201190000NB|12.83|13.54|FUTURE_AADT|18668||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|03201190000NB|16.97|17.83|FUTURE_AADT|10921||2041|
12/31/2021|54|0330003000000|8.17|9.78|FUTURE_AADT|3990||2041|
12/31/2021|54|0330003000000|9.78|11.14|FUTURE_AADT|3990||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0330085000000|10.67|13.13|FUTURE_AADT|1155||2041|
12/31/2021|54|0330085000000|34.05|34.35|FUTURE_AADT|9765||2041|
12/31/2021|54|0330094000000|0|3.01|FUTURE_AADT|3675||2041|
12/31/2021|54|0330099000000|0|1.84|FUTURE_AADT|1575||2041|
12/31/2021|54|0340005000000|5.42|6.96|FUTURE_AADT|630||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0340005000000|15.1|17.57|FUTURE_AADT|3465||2041|
12/31/2021|54|0340006000000|2.99|5.53|FUTURE_AADT|472||2041|Est Pct_Buses; 
12/31/2021|54|04100790000NB|44.6|46.18|FUTURE_AADT|10110||2041|
12/31/2021|54|04100790000NB|46.18|46.22|FUTURE_AADT|10110||2041|
12/31/2021|54|04100790000NB|46.22|49.73|FUTURE_AADT|9848||2041|
12/31/2021|54|04100790000NB|49.73|50.35|FUTURE_AADT|9848||2041|
12/31/2021|54|04100790000NB|50.35|51.47|FUTURE_AADT|9979||2041|
12/31/2021|54|04100790000NB|51.47|51.61|FUTURE_AADT|9979||2041|
12/31/2021|54|04100790000NB|51.61|52.61|FUTURE_AADT|10635||2041|
12/31/2021|54|04100790000NB|52.61|53.27|FUTURE_AADT|10635||2041|
12/31/2021|54|04100790000NB|53.27|54.18|FUTURE_AADT|10635||2041|
12/31/2021|54|04100790000NB|54.18|57.51|FUTURE_AADT|10635||2041|
12/31/2021|54|04100790000NB|57.51|59|FUTURE_AADT|17069||2041|
12/31/2021|54|04100790000NB|59|61.47|FUTURE_AADT|17069||2041|
12/31/2021|54|04100790000NB|61.47|62.04|FUTURE_AADT|17594||2041|
12/31/2021|54|04100790000NB|62.04|63.46|FUTURE_AADT|17594||2041|
12/31/2021|54|04100790000NB|63.46|64.83|FUTURE_AADT|17594||2041|
12/31/2021|54|04100790000NB|64.83|67.01|FUTURE_AADT|17857||2041|
12/31/2021|54|04100790000NB|67.01|67.52|FUTURE_AADT|17857||2041|
12/31/2021|54|04100790000NB|67.52|69.32|FUTURE_AADT|18513||2041|
12/31/2021|54|04100790000NB|69.32|70.83|FUTURE_AADT|18513||2041|
12/31/2021|54|04100790000NB|70.83|78.41|FUTURE_AADT|18513||2041|
12/31/2021|54|04100790000NB|78.41|78.9|FUTURE_AADT|17594||2041|
12/31/2021|54|04100790000NB|78.9|79.08|FUTURE_AADT|17594||2041|
12/31/2021|54|04100790000NB|79.08|83.15|FUTURE_AADT|16150||2041|
12/31/2021|54|04200190000NB|26.57|27.64|FUTURE_AADT|795||2041|Est Pct_MC; 
12/31/2021|54|0440032000000|6.27|6.5|FUTURE_AADT|6562||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|05200220000EB|3.17|3.35|FUTURE_AADT|24577||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|05200220000EB|3.35|3.45|FUTURE_AADT|24577||2041|Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
