BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
12/31/2021|54|02100810000NB|0|1.39|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|1.39|6.27|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|6.27|11.63|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|11.63|13.54|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|13.54|14.26|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|14.26|15.22|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|15.22|15.62|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|15.62|15.95|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|15.95|16.23|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|16.23|17.3|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|17.3|18.13|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|18.13|20.37|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|20.37|23|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|23|23.46|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|23.46|24.53|SIGNAL_TYPE|5|||
12/31/2021|54|02100810000NB|24.53|26|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|10.52|10.532|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|10.532|10.84|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|10.84|10.893|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|10.893|11.15|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|15.57|15.79|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|15.79|16.09|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|17.07|17.48|SIGNAL_TYPE|5|||
12/31/2021|54|0230009000000|18.18|20.16|SIGNAL_TYPE|2|||
12/31/2021|54|0230045000000|14.85|15.31|SIGNAL_TYPE|5|||
12/31/2021|54|05200220000EB|3.17|3.35|SIGNAL_TYPE|5|||
12/31/2021|54|05200220000EB|3.35|3.45|SIGNAL_TYPE|5|||
12/31/2021|54|05200220000EB|3.45|4.73|SIGNAL_TYPE|5|||
12/31/2021|54|05200220000EB|4.73|5.19|SIGNAL_TYPE|5|||
12/31/2021|54|05200220000EB|5.19|5.89|SIGNAL_TYPE|5|||
12/31/2021|54|05300020005SB|0|0.34|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|5.87|6.47|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|6.47|6.74|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|6.74|7.26|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|7.26|7.72|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|7.72|8.19|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|8.19|9.22|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|9.22|9.52|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|11.02|11.37|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|11.37|14.53|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|14.57|17.68|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|17.68|18.08|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|18.08|18.49|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|18.49|19.32|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|19.32|19.71|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|19.71|20.19|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|20.19|21.04|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|21.04|21.16|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|21.16|21.75|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|21.75|22.39|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|22.39|27.11|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|27.11|27.55|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|27.55|28.67|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|28.67|29.44|SIGNAL_TYPE|5|||
12/31/2021|54|06100640000EB|29.44|31.77|SIGNAL_TYPE|5|||
12/31/2021|54|06200520000EB|0.01|0.33|SIGNAL_TYPE|5|||
12/31/2021|54|06200520000EB|0.33|0.45|SIGNAL_TYPE|5|||
12/31/2021|54|06200520000EB|0.75|1.01|SIGNAL_TYPE|5|||
12/31/2021|54|06200520004NB|0|0.32|SIGNAL_TYPE|5|||
12/31/2021|54|06200520004NB|0.321|0.46|SIGNAL_TYPE|5|||
12/31/2021|54|0630010000000|15.69|15.82|SIGNAL_TYPE|3|||
12/31/2021|54|0630010000000|15.82|16.27|SIGNAL_TYPE|3|||
12/31/2021|54|10200190000NB|0|1.02|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|2.85|3.82|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|3.89|6.16|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|6.16|6.19|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|6.19|6.66|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|6.66|8.23|SIGNAL_TYPE|5|||
12/31/2021|54|10200190000NB|14.64|15.627|SIGNAL_TYPE|5|||
12/31/2021|54|13100640000EB|168.96|170.09|SIGNAL_TYPE|5|||
12/31/2021|54|13100640000EB|170.09|170.23|SIGNAL_TYPE|5|||
12/31/2021|54|15200220000EB|0|0.39|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|114.9|115.33|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|115.33|117.17|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|117.17|117.74|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|117.74|119.53|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|119.53|120.72|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|120.72|122.43|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|122.43|122.9|SIGNAL_TYPE|5|||
12/31/2021|54|17100790000NB|122.9|123.988|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|6.11|7.16|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|11.38|12.29|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|12.29|12.88|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|13.25|13.78|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|13.78|14.03|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|14.03|14.25|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|14.324|14.64|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|14.96|15.31|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|15.465|15.57|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|15.68|16.24|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|16.27|17.79|SIGNAL_TYPE|3|||
12/31/2021|54|17200500000EB|17.79|18|SIGNAL_TYPE|5|||
12/31/2021|54|17200500000EB|18|18.32|SIGNAL_TYPE|3|||
12/31/2021|54|17200500000EB|18.32|18.45|SIGNAL_TYPE|3|||
12/31/2021|54|17200500000EB|18.45|18.52|SIGNAL_TYPE|5|||
12/31/2021|54|19203400000NB|8.56|9.13|SIGNAL_TYPE|5|||
12/31/2021|54|19203400000NB|9.13|9.55|SIGNAL_TYPE|3|||
12/31/2021|54|19203400000NB|9.55|10.41|SIGNAL_TYPE|3|||
12/31/2021|54|19203400000NB|10.41|11.86|SIGNAL_TYPE|2|||
12/31/2021|54|19203400000NB|11.9|12.047|SIGNAL_TYPE|3|||
12/31/2021|54|1930009000000|4.97|6.35|SIGNAL_TYPE|5|||
12/31/2021|54|1930009000000|10.91|11.418|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|45.39|47.44|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|47.44|48.4|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|48.4|49.75|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|49.75|50.11|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|50.11|51.56|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|51.56|52.38|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|52.38|52.73|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|52.73|53.75|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|53.75|54.37|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|54.37|54.8|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|54.8|55.21|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|55.21|56.33|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|56.33|57.02|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|57.02|57.48|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|57.48|57.92|SIGNAL_TYPE|5|||
12/31/2021|54|20100640000EB|57.92|58.3|SIGNAL_TYPE|5|||
12/31/2021|54|20100640006EB|0|0.3|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|95.34|95.87|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|95.87|96.15|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|97.22|98.17|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|98.28|99.12|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|99.12|100.07|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|100.07|100.28|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|100.28|100.78|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|100.78|101.08|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|101.65|102.16|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|102.16|102.66|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|102.66|103.69|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|103.69|104.81|SIGNAL_TYPE|5|||
12/31/2021|54|20100770000NB|104.81|105.002|SIGNAL_TYPE|5|||
12/31/2021|54|20100770005SB|0|0.67|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|83.45|84.42|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|84.42|84.94|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|84.94|86.68|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|86.68|88.52|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|88.52|89.18|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|89.18|89.5|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|89.5|93.31|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|93.31|93.93|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|93.93|94.43|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|94.43|94.69|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|94.69|94.96|SIGNAL_TYPE|5|||
12/31/2021|54|20100770016NB|94.96|95.34|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|0|0.81|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|0.81|1.95|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|1.95|2.24|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|2.24|3.51|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|3.51|4.51|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|4.51|5.42|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|5.42|5.56|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|5.56|6.12|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|6.82|7.19|SIGNAL_TYPE|5|||
12/31/2021|54|20100790000NB|7.19|7.476|SIGNAL_TYPE|5|||
12/31/2021|54|20200600000EB|23.08|23.52|SIGNAL_TYPE|5|||
12/31/2021|54|20200600000EB|28.43|29.18|SIGNAL_TYPE|5|||
12/31/2021|54|20201190000NB|11.64|12.9|SIGNAL_TYPE|3|||
12/31/2021|54|20201190000NB|12.9|14.04|SIGNAL_TYPE|3|||
12/31/2021|54|20201190000NB|14.22|16.28|SIGNAL_TYPE|2|||
12/31/2021|54|20201190000NB|16.28|17.16|SIGNAL_TYPE|2|||
12/31/2021|54|20201190023NB|0|0.51|SIGNAL_TYPE|5|||
12/31/2021|54|20201190023NB|0.7|1.17|SIGNAL_TYPE|5|||
12/31/2021|54|2030114000000|0.5|1.44|SIGNAL_TYPE|3|||
12/31/2021|54|2040025470000|0.1|0.36|SIGNAL_TYPE|5|||
12/31/2021|54|2040025470000|0.36|0.57|SIGNAL_TYPE|2|||
12/31/2021|54|21100790000NB|98.4|98.63|SIGNAL_TYPE|5|||
12/31/2021|54|21100790000NB|98.63|98.925|SIGNAL_TYPE|5|||
12/31/2021|54|21200330000EB|19.84|20.19|SIGNAL_TYPE|5|||
12/31/2021|54|21200330000EB|20.19|21.03|SIGNAL_TYPE|3|||
12/31/2021|54|21200330000EB|21.25|22.25|SIGNAL_TYPE|5|||
12/31/2021|54|21200330000EB|22.25|22.84|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|1.44|2.2|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|2.2|2.54|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|2.54|2.67|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|2.67|3.37|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|3.37|3.59|SIGNAL_TYPE|5|||
12/31/2021|54|23201190000NB|3.59|5.27|SIGNAL_TYPE|5|||
12/31/2021|54|2330010000000|20.39|22.05|SIGNAL_TYPE|3|||
12/31/2021|54|2330073000000|0.31|2.15|SIGNAL_TYPE|2|||
12/31/2021|54|25100790000NB|129.22|129.52|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|129.52|130.48|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|130.53|133.37|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|133.37|134.97|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|134.97|135.66|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|135.66|136.64|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|136.64|139.1|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|139.1|139.82|SIGNAL_TYPE|5|||
12/31/2021|54|25100790000NB|139.82|140.352|SIGNAL_TYPE|5|||
12/31/2021|54|26202500000NB|36.47|36.69|SIGNAL_TYPE|5|||
12/31/2021|54|26202500000NB|38.92|39.2|SIGNAL_TYPE|5|||
12/31/2021|54|2630002000000|17.94|18.07|SIGNAL_TYPE|5|||
12/31/2021|54|2630002000000|18.07|18.08|SIGNAL_TYPE|5|||
12/31/2021|54|2630002000300|0|0.32|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|17.178|17.226|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|17.226|17.28|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|17.413|17.59|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|17.85|17.98|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|17.98|18.071|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|18.071|18.097|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|18.097|18.322|SIGNAL_TYPE|5|||
12/31/2021|54|27200350000NB|18.35|18.46|SIGNAL_TYPE|5|||
12/31/2021|54|28100770000NB|8.189|8.98|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|8.98|9.19|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|9.19|9.5|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|9.5|9.79|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|9.79|11.25|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|11.44|12.16|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|12.16|13.43|SIGNAL_TYPE|5|||
12/31/2021|54|28100770016NB|13.74|14.006|SIGNAL_TYPE|5|||
12/31/2021|54|28200190000NB|5.34|6.01|SIGNAL_TYPE|2|||
12/31/2021|54|28200190000NB|6.01|7.44|SIGNAL_TYPE|2|||
12/31/2021|54|28200520000EB|14.91|15.37|SIGNAL_TYPE|5|||
12/31/2021|54|28204600000EB|0.029|1.06|SIGNAL_TYPE|2|||
12/31/2021|54|28204600000EB|1.33|2.9|SIGNAL_TYPE|5|||
12/31/2021|54|28204600000EB|2.9|3.09|SIGNAL_TYPE|2|||
12/31/2021|54|28204600000EB|4.29|5.38|SIGNAL_TYPE|5|||
12/31/2021|54|28204600000EB|13.48|14.72|SIGNAL_TYPE|2|||
12/31/2021|54|28204600000EB|14.72|15.15|SIGNAL_TYPE|3|||
12/31/2021|54|31100680000EB|0|0.32|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|1.15|2.67|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|2.67|4.13|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|4.13|4.56|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|4.56|4.96|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|4.96|5.79|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|5.79|6.18|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|6.18|6.77|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|6.77|7.2|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|7.2|7.54|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|7.54|8.89|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|8.89|9.4|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|10.28|10.32|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|10.32|10.79|SIGNAL_TYPE|5|||
12/31/2021|54|31100680000EB|10.79|13.149|SIGNAL_TYPE|5|||
12/31/2021|54|31100680004NB|0|0.84|SIGNAL_TYPE|5|||
12/31/2021|54|31100680005SB|0.65|1.14|SIGNAL_TYPE|5|||
12/31/2021|54|31100680006EB|0|0.89|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|148.29|148.47|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|148.47|148.66|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|148.66|149.05|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|149.05|149.38|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|149.38|149.68|SIGNAL_TYPE|5|||
12/31/2021|54|31100790000NB|149.68|150.74|SIGNAL_TYPE|5|||
