YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|0230009000000|10.900|11.000|Faulting|0.100|0.05||4/2021|
2021|54|0230009000000|11.100|11.200|Faulting|0.100|0.04||4/2021|
2021|54|0230009000000|16.200|16.300|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.300|16.400|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.400|16.500|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.500|16.600|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.600|16.700|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.700|16.800|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.800|16.900|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|16.900|17.000|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|17.000|17.100|Faulting|0.100|0.03||4/2021|
2021|54|0230009000000|17.100|17.200|Faulting|0.100|0.03||4/2021|
2021|54|0230009000000|17.200|17.300|Faulting|0.100|0.03||4/2021|
2021|54|0230009000000|17.300|17.400|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|17.600|17.700|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|17.700|17.800|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|17.800|17.900|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|17.900|18.000|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.000|18.100|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.200|18.300|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.300|18.400|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.400|18.500|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.500|18.600|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.600|18.700|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.700|18.800|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.800|18.900|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|18.900|19.000|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.000|19.100|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.100|19.200|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.200|19.300|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.300|19.400|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.400|19.500|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.500|19.600|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.600|19.700|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.800|19.900|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|19.900|20.000|Faulting|0.100|0.03||4/2021|
2021|54|0230009000000|20.000|20.100|Faulting|0.100|0.02||4/2021|
2021|54|0230009000000|20.100|20.180|Faulting|0.080|0.02||4/2021|
2021|54|05200220000EB|0.600|0.700|Faulting|0.100|0.19||5/2021|
2021|54|05200220000EB|0.700|0.800|Faulting|0.100|0.02||5/2021|
2021|54|05200220000EB|0.800|0.900|Faulting|0.100|0.06||5/2021|
2021|54|05200220000EB|0.900|1.000|Faulting|0.100|0.05||5/2021|
2021|54|05200220000EB|1.000|1.100|Faulting|0.100|0.11||5/2021|
2021|54|05200220000EB|1.100|1.200|Faulting|0.100|0.03||5/2021|
2021|54|05200220000EB|1.200|1.300|Faulting|0.100|0.03||5/2021|
2021|54|05200220000EB|1.300|1.400|Faulting|0.100|0.03||5/2021|
2021|54|05200220000EB|1.400|1.500|Faulting|0.100|0.03||5/2021|
2021|54|05200220000EB|1.500|1.600|Faulting|0.100|0.04||5/2021|
2021|54|05200220000EB|1.600|1.700|Faulting|0.100|0.05||5/2021|
2021|54|05200220000EB|1.700|1.800|Faulting|0.100|0.03||5/2021|
