YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|01200330000EB|0.000|1.870|Grades_A|1.870|0.029|||
2021|54|01200330000EB|0.000|1.870|Grades_B|1.870|0.288|||
2021|54|01200330000EB|0.000|1.870|Grades_C|1.870|0.203|||
2021|54|01200330000EB|0.000|1.870|Grades_D|1.870|0.877|||
2021|54|01200330000EB|0.000|1.870|Grades_E|1.870|0.423|||
2021|54|01200330000EB|0.000|1.870|Grades_F|1.870|0.05|||
2021|54|01201190000NB|10.660|11.500|Grades_A|0.840|0.044|||
2021|54|01201190000NB|10.660|11.500|Grades_B|0.840|0.147|||
2021|54|01201190000NB|10.660|11.500|Grades_C|0.840|0.135|||
2021|54|01201190000NB|10.660|11.500|Grades_D|0.840|0.287|||
2021|54|01201190000NB|10.660|11.500|Grades_E|0.840|0.188|||
2021|54|01201190000NB|10.660|11.500|Grades_F|0.840|0.039|||
2021|54|01201190000NB|6.950|9.290|Grades_A|2.340|0.202|||
2021|54|01201190000NB|6.950|9.290|Grades_B|2.340|1.026|||
2021|54|01201190000NB|6.950|9.290|Grades_C|2.340|0.623|||
2021|54|01201190000NB|6.950|9.290|Grades_D|2.340|0.351|||
2021|54|01201190000NB|6.950|9.290|Grades_E|2.340|0.061|||
2021|54|01201190000NB|6.950|9.290|Grades_F|2.340|0.077|||
2021|54|0130020000000|0.000|2.150|Grades_A|2.150|0.371|||
2021|54|0130020000000|0.000|2.150|Grades_B|2.150|1.396|||
2021|54|0130020000000|0.000|2.150|Grades_C|2.150|0.286|||
2021|54|0130020000000|0.000|2.150|Grades_D|2.150|0.077|||
2021|54|0130020000000|0.000|2.150|Grades_E|2.150|0.02|||
2021|54|0130038000000|0.430|2.430|Grades_A|2.000|0.13|||
2021|54|0130038000000|0.430|2.430|Grades_B|2.000|0.822|||
2021|54|0130038000000|0.430|2.430|Grades_C|2.000|0.637|||
2021|54|0130038000000|0.430|2.430|Grades_D|2.000|0.284|||
2021|54|0130038000000|0.430|2.430|Grades_E|2.000|0.04|||
