YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|01200330000EB|0.000|1.870|Shoulder_Type|1.870|2|||
2021|54|01201190000NB|6.950|9.290|Shoulder_Type|2.340|2|||
2021|54|01201190000NB|10.660|11.500|Shoulder_Type|0.840|2|||
2021|54|0130020000000|0.000|2.150|Shoulder_Type|2.150|2|||
2021|54|0130038000000|0.430|2.430|Shoulder_Type|2.000|5|||
2021|54|0130038000000|5.530|6.310|Shoulder_Type|0.780|5|||
2021|54|0130076000000|1.750|6.620|Shoulder_Type|4.870|2|||
2021|54|0130092000000|8.640|10.730|Shoulder_Type|2.090|5|||
2021|54|0140006000000|0.110|3.130|Shoulder_Type|3.020|6|||
2021|54|0140010000000|7.410|8.630|Shoulder_Type|1.220|1|||
2021|54|0140011000000|3.050|3.780|Shoulder_Type|0.730|5|||
2021|54|0140024000000|1.640|2.790|Shoulder_Type|1.150|1|||
2021|54|0140024000000|2.790|4.740|Shoulder_Type|1.950|4|||
2021|54|0140030000000|6.140|6.830|Shoulder_Type|0.690|6|||
2021|54|0140030070000|0.000|0.920|Shoulder_Type|0.920|6|||
2021|54|0140030070000|0.920|2.000|Shoulder_Type|1.080|6|||
2021|54|0140046010000|0.000|1.620|Shoulder_Type|1.620|4|||
2021|54|02100810000NB|0.000|1.390|Shoulder_Type|1.390|2|||
2021|54|02100810000NB|1.390|6.270|Shoulder_Type|4.880|2|||
2021|54|02100810000NB|6.270|11.630|Shoulder_Type|5.360|2|||
2021|54|02100810000NB|11.630|13.540|Shoulder_Type|1.910|2|||
2021|54|02100810000NB|13.540|14.260|Shoulder_Type|0.720|2|||
2021|54|02100810000NB|14.260|15.220|Shoulder_Type|0.960|2|||
2021|54|02100810000NB|15.220|15.620|Shoulder_Type|0.400|2|||
2021|54|02100810000NB|15.620|15.950|Shoulder_Type|0.330|2|||
2021|54|02100810000NB|15.950|16.230|Shoulder_Type|0.280|2|||
2021|54|02100810000NB|16.230|17.300|Shoulder_Type|1.070|2|||
2021|54|02100810000NB|17.300|18.130|Shoulder_Type|0.830|2|||
2021|54|02100810000NB|18.130|20.370|Shoulder_Type|2.240|2|||
2021|54|02100810000NB|20.370|23.000|Shoulder_Type|2.630|2|||
2021|54|02100810000NB|23.000|23.460|Shoulder_Type|0.460|2|||
2021|54|02100810000NB|23.460|24.530|Shoulder_Type|1.070|2|||
2021|54|02100810000NB|24.530|26.000|Shoulder_Type|1.470|2|||
2021|54|02200110000NB|5.240|6.050|Shoulder_Type|0.810|5|||
2021|54|02200110000NB|13.650|13.780|Shoulder_Type|0.130|1|||
2021|54|02200110000NB|14.510|14.640|Shoulder_Type|0.130|2|||
2021|54|02200110000NB|16.480|17.510|Shoulder_Type|1.030|5|||
2021|54|02200110000NB|24.710|24.970|Shoulder_Type|0.260|5|||
2021|54|0230009000000|0.350|2.200|Shoulder_Type|1.850|5|||
2021|54|0230009000000|4.810|6.170|Shoulder_Type|1.360|2|||
2021|54|0230009000000|6.170|6.270|Shoulder_Type|0.100|2|||
2021|54|0230009000000|6.381|6.470|Shoulder_Type|0.089|2|||
2021|54|0230009000000|6.470|7.580|Shoulder_Type|1.110|5|||
2021|54|0230009000000|7.584|9.950|Shoulder_Type|2.366|5|||
2021|54|0230009000000|10.120|10.370|Shoulder_Type|0.250|5|||
2021|54|0230009000000|10.520|10.840|Shoulder_Type|0.320|5|||
2021|54|0230009000000|10.840|11.150|Shoulder_Type|0.310|2|||
2021|54|0230009000000|14.000|14.200|Shoulder_Type|0.200|1|||
2021|54|0230009000000|14.550|14.900|Shoulder_Type|0.350|2|||
2021|54|0230009000000|15.570|15.790|Shoulder_Type|0.220|2|||
2021|54|0230009000000|15.790|16.090|Shoulder_Type|0.300|2|||
