BeginDate|StateID|Metadata_Type|FSystem|IsUrban|IsStateOwned|ValueNumeric
12/31/2021|54|IRI_Report_Interval|1|N|N|528
12/31/2021|54|IRI_Report_Interval|1|N|Y|528
12/31/2021|54|IRI_Report_Interval|1|Y|N|528
12/31/2021|54|IRI_Report_Interval|1|Y|Y|528
12/31/2021|54|IRI_Report_Interval|2|N|Y|528
12/31/2021|54|IRI_Report_Interval|2|Y|Y|528
12/31/2021|54|IRI_Report_Interval|3|N|Y|528
12/31/2021|54|IRI_Report_Interval|3|Y|Y|528
12/31/2021|54|IRI_Report_Interval|3|Y|N|528
12/31/2021|54|IRI_Report_Interval|4|N|Y|528
12/31/2021|54|IRI_Report_Interval|4|Y|Y|528
12/31/2021|54|IRI_Report_Interval|4|Y|N|528
12/31/2021|54|IRI_Report_Interval|5|N|N|528
12/31/2021|54|IRI_Report_Interval|5|Y|N|528
12/31/2021|54|IRI_Report_Interval|5|N|Y|528
12/31/2021|54|IRI_Report_Interval|5|Y|Y|528
12/31/2021|54|IRI_Report_Interval|6|N|Y|528
12/31/2021|54|IRI_Report_Interval|6|Y|Y|528
12/31/2021|54|IRI_Report_Interval|6|N|N|528
12/31/2021|54|IRI_Report_Interval|7|N|Y|528
12/31/2021|54|IRI_Report_Interval|7|Y|Y|528
12/31/2021|54|Cracking_Method|1|N|N|5
12/31/2021|54|Cracking_Method|1|N|Y|5
12/31/2021|54|Cracking_Method|1|Y|N|5
12/31/2021|54|Cracking_Method|1|Y|Y|5
12/31/2021|54|Cracking_Method|2|N|Y|5
12/31/2021|54|Cracking_Method|2|Y|Y|5
12/31/2021|54|Cracking_Method|3|N|Y|5
12/31/2021|54|Cracking_Method|3|Y|Y|5
12/31/2021|54|Cracking_Method|3|Y|N|5
12/31/2021|54|Cracking_Method|4|N|Y|5
12/31/2021|54|Cracking_Method|4|Y|N|5
12/31/2021|54|Cracking_Method|4|Y|Y|5
12/31/2021|54|Cracking_Method|5|N|Y|5
12/31/2021|54|Cracking_Method|5|Y|Y|5
12/31/2021|54|Cracking_Method|5|Y|N|5
12/31/2021|54|Cracking_Method|5|N|N|5
12/31/2021|54|Cracking_Method|6|N|N|5
12/31/2021|54|Cracking_Method|6|N|Y|5
12/31/2021|54|Cracking_Method|6|Y|Y|5
12/31/2021|54|Cracking_Method|7|N|Y|5
12/31/2021|54|Cracking_Method|7|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|1|N|Y|5Cracking results from LCMS and manual review
12/31/2021|54|Cracking_Pct_Equip|1|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|1|N|N|5
12/31/2021|54|Cracking_Pct_Equip|1|Y|N|5
12/31/2021|54|Cracking_Pct_Equip|2|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|2|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|3|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|3|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|3|Y|N|5
12/31/2021|54|Cracking_Pct_Equip|4|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|4|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|4|Y|N|5
12/31/2021|54|Cracking_Pct_Equip|5|Y|N|5
12/31/2021|54|Cracking_Pct_Equip|5|N|N|5
12/31/2021|54|Cracking_Pct_Equip|5|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|5|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|6|N|N|5
12/31/2021|54|Cracking_Pct_Equip|6|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|6|Y|Y|5
12/31/2021|54|Cracking_Pct_Equip|7|N|Y|5
12/31/2021|54|Cracking_Pct_Equip|7|Y|Y|5
12/31/2021|54|Faulting_Equipment_Type|1|N|N|3
12/31/2021|54|Faulting_Equipment_Type|1|Y|N|3
12/31/2021|54|Faulting_Equipment_Type|1|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|1|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|2|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|2|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|3|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|3|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|3|Y|N|3
12/31/2021|54|Faulting_Equipment_Type|4|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|4|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|4|Y|N|3
12/31/2021|54|Faulting_Equipment_Type|5|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|5|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|5|Y|N|3
12/31/2021|54|Faulting_Equipment_Type|5|N|N|3
12/31/2021|54|Faulting_Equipment_Type|6|N|N|3
12/31/2021|54|Faulting_Equipment_Type|6|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|6|Y|Y|3
12/31/2021|54|Faulting_Equipment_Type|7|N|Y|3
12/31/2021|54|Faulting_Equipment_Type|7|Y|Y|3
12/31/2021|54|Faulting_Interval|1|N|Y|0.2The sampling interval on the LCMS is 4mm or 0.2 inches
12/31/2021|54|Faulting_Interval|1|Y|Y|0.2
12/31/2021|54|Faulting_Interval|1|N|N|0.2
12/31/2021|54|Faulting_Interval|1|Y|N|0.2
12/31/2021|54|Faulting_Interval|2|N|Y|0.2
12/31/2021|54|Faulting_Interval|2|Y|Y|0.2
12/31/2021|54|Faulting_Interval|3|N|Y|0.2
12/31/2021|54|Faulting_Interval|3|Y|Y|0.2
12/31/2021|54|Faulting_Interval|3|Y|N|0.2
12/31/2021|54|Faulting_Interval|4|N|Y|0.2
12/31/2021|54|Faulting_Interval|4|Y|Y|0.2
12/31/2021|54|Faulting_Interval|4|Y|N|0.2
12/31/2021|54|Faulting_Interval|5|N|N|0.2
12/31/2021|54|Faulting_Interval|5|Y|N|0.2
12/31/2021|54|Faulting_Interval|5|N|Y|0.2
12/31/2021|54|Faulting_Interval|5|Y|Y|0.2
12/31/2021|54|Faulting_Interval|6|N|N|0.2
12/31/2021|54|Faulting_Interval|6|N|Y|0.2
12/31/2021|54|Faulting_Interval|6|Y|Y|0.2
12/31/2021|54|Faulting_Interval|7|N|Y|0.2
12/31/2021|54|Faulting_Interval|7|Y|Y|0.2
12/31/2021|54|Faulting_Method|1|N|Y|2
12/31/2021|54|Faulting_Method|1|N|N|2
12/31/2021|54|Faulting_Method|1|Y|N|2
12/31/2021|54|Faulting_Method|1|Y|Y|2
12/31/2021|54|Faulting_Method|2|N|Y|2
12/31/2021|54|Faulting_Method|2|Y|Y|2
12/31/2021|54|Faulting_Method|3|N|Y|2
12/31/2021|54|Faulting_Method|3|Y|Y|2
12/31/2021|54|Faulting_Method|3|Y|N|2
12/31/2021|54|Faulting_Method|4|N|Y|2
12/31/2021|54|Faulting_Method|4|Y|Y|2
12/31/2021|54|Faulting_Method|4|Y|N|2
12/31/2021|54|Faulting_Method|5|Y|N|2
12/31/2021|54|Faulting_Method|5|N|N|2
12/31/2021|54|Faulting_Method|5|N|Y|2
12/31/2021|54|Faulting_Method|5|Y|Y|2
12/31/2021|54|Faulting_Method|6|N|N|2
12/31/2021|54|Faulting_Method|6|N|Y|2
12/31/2021|54|Faulting_Method|6|Y|Y|2
12/31/2021|54|Faulting_Method|7|N|Y|2
12/31/2021|54|Faulting_Method|7|Y|Y|2
