BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
12/31/2021|54|01200330000EB|0|1.87|PEAK_LANES|2|||
12/31/2021|54|01201190000NB|6.95|9.29|PEAK_LANES|1|||
12/31/2021|54|01201190000NB|10.66|11.5|PEAK_LANES|1|||
12/31/2021|54|0130020000000|0|2.15|PEAK_LANES|1|||
12/31/2021|54|0130038000000|0.43|2.43|PEAK_LANES|1|||
12/31/2021|54|0130038000000|5.53|6.31|PEAK_LANES|1|||
12/31/2021|54|0130076000000|1.75|6.62|PEAK_LANES|1|||
12/31/2021|54|0130092000000|8.64|10.73|PEAK_LANES|1|||
12/31/2021|54|0140006000000|0.11|3.13|PEAK_LANES|1|||
12/31/2021|54|0140010000000|7.41|8.63|PEAK_LANES|1|||
12/31/2021|54|0140011000000|3.05|3.78|PEAK_LANES|1|||
12/31/2021|54|0140024000000|1.64|2.79|PEAK_LANES|1|||
12/31/2021|54|0140024000000|2.79|4.74|PEAK_LANES|1|||
12/31/2021|54|0140030000000|6.14|6.2|PEAK_LANES|1|||
12/31/2021|54|0140030000000|6.2|6.83|PEAK_LANES|1|||
12/31/2021|54|0140030070000|0|0.92|PEAK_LANES|1|||
12/31/2021|54|0140030070000|0.92|2|PEAK_LANES|1|||
12/31/2021|54|0140046010000|0|1.62|PEAK_LANES|1|||
12/31/2021|54|02100810000NB|0|1.39|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|1.39|3.29|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|3.29|3.3|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|3.3|6.27|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|6.27|8.42|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|8.42|11.63|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|11.63|11.66|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|11.66|13.51|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|13.51|13.54|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|13.54|14.26|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|14.26|15.22|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.22|15.32|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.32|15.62|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.62|15.95|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|15.95|16.23|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|16.23|17.3|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|17.3|18.11|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|18.11|18.13|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|18.13|19.1|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|19.1|19.12|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|19.12|20.37|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|20.37|21.74|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|21.74|21.76|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|21.76|23|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|23|23.42|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|23.42|23.46|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|23.46|24.53|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|24.53|25.93|PEAK_LANES|2|||
12/31/2021|54|02100810000NB|25.93|26|PEAK_LANES|2|||
12/31/2021|54|02200110000NB|5.24|6.05|PEAK_LANES|1|||
12/31/2021|54|02200110000NB|13.65|13.78|PEAK_LANES|1|||
12/31/2021|54|02200110000NB|14.51|14.64|PEAK_LANES|1|||
12/31/2021|54|02200110000NB|16.48|17.51|PEAK_LANES|1|||
12/31/2021|54|02200110000NB|24.71|24.97|PEAK_LANES|1|||
12/31/2021|54|0230009000000|0.35|2.2|PEAK_LANES|1|||
12/31/2021|54|0230009000000|4.81|4.88|PEAK_LANES|1|||
12/31/2021|54|0230009000000|4.88|6.17|PEAK_LANES|1|||
12/31/2021|54|0230009000000|6.17|6.27|PEAK_LANES|1|||
12/31/2021|54|0230009000000|6.381|6.4|PEAK_LANES|1|||
12/31/2021|54|0230009000000|6.4|6.47|PEAK_LANES|1|||
12/31/2021|54|0230009000000|6.47|7.58|PEAK_LANES|1|||
12/31/2021|54|0230009000000|7.584|9.95|PEAK_LANES|1|||
12/31/2021|54|0230009000000|10.12|10.37|PEAK_LANES|1|||
12/31/2021|54|0230009000000|10.52|10.55|PEAK_LANES|2|||
12/31/2021|54|0230009000000|10.55|10.84|PEAK_LANES|2|||
12/31/2021|54|0230009000000|10.84|10.88|PEAK_LANES|2|||
12/31/2021|54|0230009000000|10.88|10.93|PEAK_LANES|2|||
12/31/2021|54|0230009000000|10.93|11.15|PEAK_LANES|2|||
12/31/2021|54|0230009000000|14|14.2|PEAK_LANES|1|||
12/31/2021|54|0230009000000|14.55|14.9|PEAK_LANES|1|||
12/31/2021|54|0230009000000|15.57|15.79|PEAK_LANES|2|||
12/31/2021|54|0230009000000|15.79|16.09|PEAK_LANES|2|||
12/31/2021|54|0230009000000|17.07|17.48|PEAK_LANES|2|||
12/31/2021|54|0230009000000|18.18|20.16|PEAK_LANES|2|||
12/31/2021|54|0230045000000|13.355|13.76|PEAK_LANES|1|||
12/31/2021|54|0230045000000|14.39|14.52|PEAK_LANES|1|||
12/31/2021|54|0230045000000|14.52|14.58|PEAK_LANES|1|||
12/31/2021|54|0230045000000|14.58|14.85|PEAK_LANES|1|||
12/31/2021|54|0230045000000|14.85|15.31|PEAK_LANES|2|||
12/31/2021|54|0230045000000|17.53|18.23|PEAK_LANES|1|||
12/31/2021|54|0230045000000|19.08|19.61|PEAK_LANES|1|||
12/31/2021|54|0230051000000|1.87|2.841|PEAK_LANES|1|||
12/31/2021|54|0230051000000|2.841|4.13|PEAK_LANES|1|||
12/31/2021|54|0230051000000|4.13|4.54|PEAK_LANES|1|||
12/31/2021|54|0230051000000|4.54|4.58|PEAK_LANES|1|||
12/31/2021|54|0230051000000|4.58|4.62|PEAK_LANES|1|||
12/31/2021|54|0230051000000|4.62|5.18|PEAK_LANES|1|||
12/31/2021|54|0230051000000|5.4|8.591|PEAK_LANES|1|||
12/31/2021|54|0230901000000|4.86|5.44|PEAK_LANES|1|||
12/31/2021|54|0240001000000|8.14|9.32|PEAK_LANES|1|||
12/31/2021|54|0240005000000|5.9|7.94|PEAK_LANES|1|||
12/31/2021|54|0240009050000|1.67|3.26|PEAK_LANES|1|||
12/31/2021|54|0240009130000|0.4|1.92|PEAK_LANES|1|||
12/31/2021|54|0240009270000|0|0.31|PEAK_LANES|1|||
12/31/2021|54|0240010010000|0|0.69|PEAK_LANES|1|||
12/31/2021|54|0240011130000|0.28|0.41|PEAK_LANES|1|||
12/31/2021|54|0240011130000|0.41|0.52|PEAK_LANES|1|||
12/31/2021|54|0240011130000|0.52|0.55|PEAK_LANES|1|||
12/31/2021|54|0240011190000|0|0.31|PEAK_LANES|1|||
12/31/2021|54|0240011240000|0|0.85|PEAK_LANES|1|||
12/31/2021|54|0240011330000|0|0.26|PEAK_LANES|1|||
12/31/2021|54|0240011370000|0|0.23|PEAK_LANES|1|||
12/31/2021|54|0240012000000|0|1.29|PEAK_LANES|1|||
12/31/2021|54|0240013000000|0.43|1.03|PEAK_LANES|1|||
12/31/2021|54|0240013000000|1.03|1.5|PEAK_LANES|1|||
12/31/2021|54|0240013000000|2.75|3.716|PEAK_LANES|1|||
12/31/2021|54|0240015000000|0.939|0.94|PEAK_LANES|1|||
12/31/2021|54|0240015000000|2.78|3.06|PEAK_LANES|1|||
12/31/2021|54|0240019000000|1.55|3.438|PEAK_LANES|1|||
12/31/2021|54|0240019000000|3.438|4.04|PEAK_LANES|1|||
12/31/2021|54|0240030000000|4.175|4.37|PEAK_LANES|1|||
12/31/2021|54|0240032000000|0|1.26|PEAK_LANES|1|||
12/31/2021|54|0240032000000|1.26|1.5|PEAK_LANES|1|||
12/31/2021|54|0240032000000|1.5|1.565|PEAK_LANES|1|||
12/31/2021|54|0240032000000|1.565|2.15|PEAK_LANES|1|||
12/31/2021|54|0240034030000|0|1.01|PEAK_LANES|1|||
12/31/2021|54|0240036010000|1.6|1.98|PEAK_LANES|1|||
12/31/2021|54|0240045050000|0.55|1.25|PEAK_LANES|1|||
12/31/2021|54|0240051070000|2.28|3.56|PEAK_LANES|1|||
12/31/2021|54|0274252001900|0|0.64|PEAK_LANES|1|||
12/31/2021|54|0274256001900|0|0.66|PEAK_LANES|1|||
12/31/2021|54|0274257001900|0|0.11|PEAK_LANES|1|||
12/31/2021|54|0274257001900|0.11|0.42|PEAK_LANES|1|||
12/31/2021|54|0274259001900|0|0.17|PEAK_LANES|1|||
12/31/2021|54|0274259001900|0.17|0.4|PEAK_LANES|1|||
12/31/2021|54|0274259001900|0.4|0.47|PEAK_LANES|1|||
12/31/2021|54|0274259001900|0.47|0.61|PEAK_LANES|1|||
12/31/2021|54|0274265001900|0|0.57|PEAK_LANES|1|||
12/31/2021|54|0274266001900|0|0.38|PEAK_LANES|1|||
12/31/2021|54|0274266001900|0.38|0.44|PEAK_LANES|1|||
12/31/2021|54|0274268001900|0|0.48|PEAK_LANES|1|||
12/31/2021|54|0274273001900|0|0.11|PEAK_LANES|1|||
12/31/2021|54|03201190000NB|0|2.93|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|9.44|11.49|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|11.49|12.36|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|12.36|12.66|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|12.66|12.83|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|12.83|13.54|PEAK_LANES|2|||
12/31/2021|54|03201190000NB|16.97|17.83|PEAK_LANES|2|||
12/31/2021|54|0330003000000|8.17|9.78|PEAK_LANES|1|||
12/31/2021|54|0330003000000|9.78|9.8|PEAK_LANES|1|||
12/31/2021|54|0330003000000|9.8|11.14|PEAK_LANES|1|||
12/31/2021|54|0330085000000|10.67|13.13|PEAK_LANES|1|||
12/31/2021|54|0330085000000|34.05|34.21|PEAK_LANES|1|||
12/31/2021|54|0330085000000|34.21|34.35|PEAK_LANES|1|||
12/31/2021|54|0330094000000|0|3.01|PEAK_LANES|1|||
12/31/2021|54|0330099000000|0|1.84|PEAK_LANES|1|||
12/31/2021|54|0340005000000|5.42|6.96|PEAK_LANES|1|||
12/31/2021|54|0340005000000|15.1|17.57|PEAK_LANES|1|||
12/31/2021|54|0340006000000|2.99|5.53|PEAK_LANES|1|||
12/31/2021|54|04100790000NB|44.6|46.18|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|46.18|46.22|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|46.22|49.41|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|49.41|49.61|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|49.61|49.73|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|49.73|50.35|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|50.35|51.02|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|51.02|51.47|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|51.47|51.61|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|51.61|52.61|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|52.61|53.27|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|53.27|54.18|PEAK_LANES|2|||
12/31/2021|54|04100790000NB|54.18|54.21|PEAK_LANES|2|||
